district,year,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_8,pre_9,pre_10,pre_11,pre_12,tmp_1,tmp_2,tmp_3,tmp_4,tmp_5,tmp_6,tmp_7,tmp_8,tmp_9,tmp_10,tmp_11,tmp_12,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7,ndvi_8,ndvi_9,ndvi_10,ndvi_11,ndvi_12,yield_mt
Chibombo,2001,259.8013916015625,298.151123046875,182.69668579101565,44.05390167236328,0.973641276359558,0.0158732570707798,0.12768062949180603,0.07058826088905334,2.963019609451294,12.69370937347412,128.91468811035156,211.9547576904297,23.16883087158203,22.78754997253418,23.056474685668945,22.10626220703125,19.427505493164063,17.530534744262695,16.1761417388916,19.974809646606445,23.39847755432129,25.329315185546875,24.08501625061035,23.138681411743164,7158.61181640625,7252.35498046875,7153.1591796875,6767.1103515625,5817.6591796875,5128.1533203125,4106.74072265625,3622.841552734375,3474.50244140625,3355.771728515625,4176.9677734375,6475.77978515625,NA
Kabwe,2001,277.4020690917969,284.02044677734375,205.13946533203125,48.61856460571289,0.45686230063438416,0.01036748476326465,0.03667441383004188,0.11222480982542038,2.519638776779175,11.927658081054688,134.3944854736328,236.02928161621097,22.939321517944336,22.6059627532959,22.844505310058594,21.800777435302734,19.30596160888672,17.753015518188477,16.118186950683594,19.911466598510746,23.257049560546875,25.084518432617188,23.76044464111328,22.853403091430664,7102.99853515625,7164.779296875,7087.45166015625,6670.67333984375,5618.119140625,4886.9267578125,3904.48193359375,3514.48486328125,3377.98193359375,3266.555419921875,4286.6328125,6502.5546875,NA
Kapiri Mposhi,2001,288.0228271484375,279.1853332519531,231.7672576904297,55.999176025390625,0.2380321174860001,0.13127702474594116,0.2250257283449173,0.15726007521152496,3.133141040802002,11.797252655029297,158.6112060546875,257.3280944824219,22.89652633666992,22.664953231811523,22.85427474975586,21.93475914001465,19.35226249694824,17.40522575378418,16.127676010131836,19.93877601623535,23.23962783813477,25.013399124145508,23.76593017578125,22.860342025756836,7201.0263671875,7242.27880859375,7077.4501953125,6885.95703125,6209.087890625,5646.1220703125,4740.267578125,4212.8408203125,3923.1103515625,3815.17578125,5065.77001953125,6834.92578125,NA
Mkushi,2001,292.78033447265625,280.736572265625,238.54722595214844,51.619632720947266,0.5904371738433838,1.4811078310012815,1.312955021858215,0.35246267914772034,3.774936199188232,8.286866188049316,176.70516967773438,252.8406219482422,23.001953125,22.823244094848633,23.090360641479492,22.276748657226563,19.855222702026367,17.975135803222656,16.914236068725586,20.155336380004883,23.310604095458984,25.02964210510254,24.189109802246097,23.219757080078125,7356.5458984375,7406.6044921875,7252.2412109375,7065.70166015625,6486.5068359375,5953.85302734375,5166.0986328125,4551.466796875,3883.37890625,3805.69482421875,5357.7998046875,7023.1396484375,NA
Mumbwa,2001,231.74749755859375,304.343505859375,176.80589294433594,37.97807312011719,1.2058298587799072,0.04323188215494156,0.15234096348285675,0.02303092740476131,4.8140549659729,15.210567474365234,130.45858764648438,225.04428100585935,23.600624084472656,23.183452606201172,23.312400817871097,22.54314422607422,19.61395263671875,16.86577796936035,15.998797416687012,20.19228744506836,23.786043167114254,25.69903564453125,24.2955379486084,23.316791534423828,7531.96630859375,7476.4169921875,7309.015625,6952.34423828125,6036.9453125,5257.322265625,4126.322265625,3623.593994140625,3605.11865234375,3780.662841796875,4813.78271484375,6984.9296875,NA
Serenje,2001,337.1959533691406,263.5020751953125,227.2001495361328,51.76890182495117,1.890269756317139,3.0051629543304443,0.08277736604213715,0.1434883326292038,1.1366811990737915,6.113318920135498,189.05947875976565,282.1475830078125,22.405263900756836,22.42598342895508,22.818458557128903,22.11429977416992,19.82280731201172,17.743610382080078,17.029800415039063,19.69060707092285,22.692068099975582,24.31294631958008,23.70869255065918,22.777677536010746,7258.17578125,7317.8798828125,7192.01611328125,7068.001953125,6593.8154296875,6043.55615234375,5229.02587890625,4653.32080078125,3896.322998046875,3868.99609375,5506.64794921875,7128.3369140625,NA
Chililabombwe,2001,387.8315734863281,267.470458984375,281.93316650390625,77.92692565917969,0.00228137150406837,0.99315345287323,0,0.2977186143398285,6.474895000457764,10.602289199829102,189.39695739746097,330.0533752441406,21.711408615112305,21.709123611450195,21.911405563354492,21.11368751525879,18.413686752319336,15.713688850402832,15.013687133789064,18.6091251373291,21.509124755859375,23.31140899658203,22.211406707763672,21.415966033935547,7332.38037109375,7410.2939453125,7361.98095703125,7115.064453125,6210.94970703125,5507.638671875,4525.59814453125,4055.26220703125,4346.83984375,4502.1279296875,5783.86474609375,7026.0458984375,NA
Chingola,2001,384.8585815429687,268.35040283203125,286.5193786621094,79.92412567138672,0.09266187995672226,0.8129799365997314,0,0.29804015159606934,6.0475873947143555,11.131879806518556,190.90402221679688,333.6545715332031,21.869070053100582,21.782072067260746,21.984033584594727,21.207860946655273,18.444692611694336,15.788429260253906,14.9812593460083,18.659940719604492,21.562639236450195,23.471771240234375,22.328033447265625,21.61995506286621,7099.0390625,7133.8095703125,7178.24755859375,6950.48779296875,5998.146484375,5290.1865234375,4349.466796875,3870.280029296875,4212.00341796875,4375.8076171875,5560.24267578125,6767.904296875,NA
Kalulushi,2001,377.9710083007813,280.1145935058594,289.75372314453125,83.82698822021484,0.23414309322834015,0.6317138075828552,0,0.30000001192092896,6.002429485321045,11.53414249420166,192.1415557861328,328.3492736816406,22.068286895751953,22.002429962158203,22.202430725097656,21.402429580688477,18.636571884155273,15.936572074890137,15.07071590423584,18.80242919921875,21.736572265625,23.702428817749023,22.60243034362793,22.002429962158203,7426.5966796875,7605.55126953125,7562.0126953125,7397.4921875,6385.6396484375,5685.55712890625,4795.6142578125,4255.44091796875,4268.439453125,4387.57421875,5778.63720703125,7187.18896484375,NA
Kitwe,2001,372.81451416015625,281.2909240722656,288.62646484375,80.55989074707031,0.30143216252326965,0.5023869276046753,0,0.29952260851860046,6.202864646911621,11.595226287841797,190.12242126464844,318.8377380371094,22.199522018432617,22.199522018432617,22.399999618530273,21.600954055786133,18.901432037353516,16.202863693237305,15.403818130493164,19.002864837646484,22.00238609313965,23.90047836303711,22.800477981567383,22.199522018432617,6997.18505859375,7251.1298828125,7083.9033203125,6759.06982421875,5743.82421875,5094.61962890625,4218.08447265625,3805.80419921875,3772.8916015625,3819.92578125,5131.310546875,6608.40625,NA
