district,year,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7,ndvi_8,ndvi_9,ndvi_10,ndvi_11,ndvi_12
Chibombo,2001,7158.61181640625,7252.35498046875,7153.1591796875,6767.1103515625,5817.6591796875,5128.1533203125,4106.74072265625,3622.841552734375,3474.50244140625,3355.771728515625,4176.9677734375,6475.77978515625
Kabwe,2001,7102.99853515625,7164.779296875,7087.45166015625,6670.67333984375,5618.119140625,4886.9267578125,3904.48193359375,3514.48486328125,3377.98193359375,3266.555419921875,4286.6328125,6502.5546875
Kapiri Mposhi,2001,7201.0263671875,7242.27880859375,7077.4501953125,6885.95703125,6209.087890625,5646.1220703125,4740.267578125,4212.8408203125,3923.1103515625,3815.17578125,5065.77001953125,6834.92578125
Mkushi,2001,7356.5458984375,7406.6044921875,7252.2412109375,7065.70166015625,6486.5068359375,5953.85302734375,5166.0986328125,4551.466796875,3883.37890625,3805.69482421875,5357.7998046875,7023.1396484375
Mumbwa,2001,7531.96630859375,7476.4169921875,7309.015625,6952.34423828125,6036.9453125,5257.322265625,4126.322265625,3623.593994140625,3605.11865234375,3780.662841796875,4813.78271484375,6984.9296875
Serenje,2001,7258.17578125,7317.8798828125,7192.01611328125,7068.001953125,6593.8154296875,6043.55615234375,5229.02587890625,4653.32080078125,3896.322998046875,3868.99609375,5506.64794921875,7128.3369140625
Chililabombwe,2001,7332.38037109375,7410.2939453125,7361.98095703125,7115.064453125,6210.94970703125,5507.638671875,4525.59814453125,4055.26220703125,4346.83984375,4502.1279296875,5783.86474609375,7026.0458984375
Chingola,2001,7099.0390625,7133.8095703125,7178.24755859375,6950.48779296875,5998.146484375,5290.1865234375,4349.466796875,3870.280029296875,4212.00341796875,4375.8076171875,5560.24267578125,6767.904296875
Kalulushi,2001,7426.5966796875,7605.55126953125,7562.0126953125,7397.4921875,6385.6396484375,5685.55712890625,4795.6142578125,4255.44091796875,4268.439453125,4387.57421875,5778.63720703125,7187.18896484375
Kitwe,2001,6997.18505859375,7251.1298828125,7083.9033203125,6759.06982421875,5743.82421875,5094.61962890625,4218.08447265625,3805.80419921875,3772.8916015625,3819.92578125,5131.310546875,6608.40625
Luanshya,2001,6992.345703125,7367.43701171875,7137.2197265625,6867.87255859375,5768.34033203125,5101.4013671875,4200.73095703125,3692.1171875,3631.5546875,3617.587158203125,4774.5322265625,6582.1328125
Lufwanyama,2001,7643.34716796875,7684.3583984375,7618.1201171875,7550.04248046875,6847.44091796875,6277.50634765625,5393.74072265625,4722.18115234375,4823.603515625,4945.35791015625,6458.8330078125,7411.20849609375
Masaiti,2001,7295.63525390625,7651.42724609375,7419.38916015625,7277.646484375,6415.28076171875,5755.6240234375,4874.7705078125,4296.7802734375,3991.580078125,3997.553955078125,5305.39990234375,7033.0810546875
Mpongwe,2001,7552.099609375,7642.5322265625,7550.572265625,7370.36962890625,6647.8330078125,6065.79931640625,5160.8505859375,4538.63916015625,4364.92919921875,4331.28076171875,5828.5947265625,7157.4501953125
Mufulira,2001,7183.3876953125,7252.490234375,7194.48291015625,6884.5048828125,6024.5673828125,5402.03466796875,4529.36376953125,4037.583251953125,4064.715576171875,4176.083984375,5538.70263671875,6953.46875
Ndola,2001,6873.83251953125,7348.21435546875,7192.734375,6944.740234375,5766.1923828125,5065.58056640625,4114.9345703125,3701.023681640625,3704.650146484375,3554.358642578125,4540.50439453125,6424.654296875
Chadiza,2001,6599.1259765625,6823.19482421875,6834.546875,6689.8662109375,6062.36328125,5557.79296875,4590.1728515625,3999.046630859375,3407.06884765625,3427.78564453125,4452.60888671875,6081.4306640625
Chipata,2001,7156.04296875,7360.9892578125,7280.85205078125,7060.88916015625,6199.7763671875,5650.1416015625,4403.26513671875,3783.870361328125,3341.634765625,3321.58251953125,4417.43896484375,6692.69189453125
Katete,2001,6754.91162109375,6990.30126953125,6924.7421875,6631.06787109375,5714.662109375,5133.8544921875,3915.16748046875,3324.169921875,3118.0673828125,3027.9619140625,4048.550048828125,6271.880859375
Lundazi,2001,7072.06787109375,7046.71142578125,7207.35107421875,6906.00927734375,6234.6015625,5769.14453125,4641.8212890625,4036.005615234375,3396.43798828125,3264.672119140625,4675.40673828125,6736.64892578125
Mambwe,2001,7595.8232421875,7740.046875,7603.29736328125,7337.55615234375,6422.6474609375,5830.0595703125,4345.60205078125,3716.561767578125,3246.244873046875,3339.8837890625,4754.67578125,7479.9306640625
Nyimba,2001,7320.23095703125,7428.306640625,7336.9169921875,7037.9189453125,6108.3232421875,5508.3564453125,4161.578125,3535.54296875,3229.051025390625,3200.01318359375,4703.29248046875,6928.64501953125
Petauke,2001,7781.7587890625,7804.98388671875,7585.31103515625,7366.0224609375,6652.46435546875,6072.40966796875,4843.98876953125,4052.5048828125,3462.970703125,3884.0556640625,5119.2490234375,7578.37939453125
Chiengi,2001,5219.81689453125,6490.66162109375,6351.07958984375,6568.3662109375,6328.4736328125,5666.29443359375,4422.23095703125,3231.601806640625,3287.23583984375,3913.2705078125,5265.328125,6311.94384765625
Kawambwa,2001,6728.80029296875,7590.61962890625,7541.1240234375,7427.38037109375,7071.52392578125,6525.65478515625,5597.39111328125,4907.1591796875,4370.099609375,4931.70654296875,6625.23388671875,7351.990234375
Mansa,2001,7296.693359375,7475.060546875,7391.4658203125,7232.1337890625,6489.4814453125,5815.8369140625,4901.92041015625,4327.2099609375,3968.74658203125,4022.238037109375,5925.67724609375,7366.56396484375
Milenge,2001,7526.39306640625,7670.16748046875,7489.52587890625,7364.82177734375,6719.21337890625,6055.21044921875,4979.31494140625,4396.857421875,4279.77197265625,4436.40087890625,6131.4052734375,7509.9736328125
Mwense,2001,7264.08154296875,7586.48779296875,7476.5234375,7395.76806640625,6866.6201171875,6265.654296875,5355.63330078125,4694.140625,4085.088134765625,4443.02783203125,6229.56396484375,7359.4072265625
Nchelenge,2001,4002.70068359375,6125.61279296875,5265.029296875,5813.09375,6479.00146484375,5512.93310546875,4999.3115234375,3868.521240234375,3785.135986328125,3341.041015625,4455.68603515625,5954.9169921875
Samfya,2001,6074.31591796875,6306.56591796875,6316.4052734375,6077.72802734375,5740.03955078125,5263.24658203125,4685.5791015625,4349.6083984375,4128.81640625,3510.010986328125,4589.50390625,6179.28515625
Chongwe,2001,7377.41796875,7465.14990234375,7331.6318359375,7102.07861328125,6478.79931640625,5958.02685546875,5081.40087890625,4496.92333984375,3765.228515625,3500.150146484375,4855.2890625,6761.9384765625
Kafue,2001,7178.77099609375,7522.232421875,7367.68310546875,7059.24462890625,6233.65625,5600.87890625,4627.236328125,4140.79833984375,3570.427490234375,3321.06494140625,4459.27734375,6540.53271484375
Luangwa,2001,7339.80859375,7616.0576171875,7524.64453125,7443.5439453125,6907.888671875,6389.509765625,5284.27001953125,4590.06103515625,3709.69140625,3082.899169921875,3691.284423828125,6919.8291015625
Lusaka,2001,5869.12939453125,6326.017578125,6139.9111328125,5669.06201171875,4666.21337890625,4107.990234375,3356.95166015625,3156.859375,3048.156494140625,2857.727783203125,3682.813232421875,5223.04052734375
Chama,2001,7258.5126953125,7286.5546875,7489.4052734375,7183.30517578125,6660.9765625,6104.06201171875,4903.26806640625,4208.3671875,3448.780517578125,3614.149169921875,5059.46435546875,7025.52978515625
Chinsali,2001,6861.50830078125,6986.982421875,6986.6298828125,6771.0625,6345.3359375,5916.130859375,5185.58251953125,4728.2294921875,4154.7705078125,3806.10009765625,5365.87548828125,6781.728515625
Isoka,2001,6897.71240234375,7206.9765625,7251.51416015625,7099.4228515625,6781.0146484375,6291.4501953125,5192.15087890625,4500.20654296875,3750.632080078125,3690.178955078125,5578.7607421875,6836.52490234375
Mpika,2001,7113.3623046875,7172.8779296875,7061.130859375,6851.05615234375,6387.65673828125,5919.23828125,5050.015625,4584.49462890625,3918.7041015625,3804.823974609375,5463.03662109375,6968.23388671875
Nakonde,2001,6557.3212890625,6616.37744140625,6856.462890625,6621.0166015625,6206.7890625,5575.123046875,4390.6865234375,3830.430908203125,3432.707763671875,3144.87548828125,4675.1953125,6398.2060546875
Chavuma,2001,5772.8837890625,6003.859375,5865.93310546875,5558.212890625,5120.8359375,4791.8876953125,3773.45361328125,3354.477783203125,3646.47900390625,3682.096923828125,4071.15625,5153.4921875
Kabompo,2001,7740.1162109375,7550.99755859375,7589.71875,7599.03955078125,7170.82666015625,6857.07275390625,5904.9404296875,5332.603515625,4984.2451171875,5173.7490234375,6334.509765625,7601.35400390625
Kasempa,2001,7662.841796875,7579.349609375,7574.859375,7452.673828125,6830.3701171875,6268.498046875,5317.7626953125,4639.0107421875,4386.83984375,4658.96630859375,6074.2353515625,7489.63720703125
Mufumbwe,2001,7632.0126953125,7459.03271484375,7420.25830078125,7341.23681640625,6702.69482421875,6136.5263671875,4974.68896484375,4440.4912109375,4353.8818359375,4641.3857421875,5737.119140625,7342.990234375
Mwinilunga,2001,7667.83544921875,7390.38818359375,7518.326171875,7398.96533203125,6788.185546875,6298.78369140625,5212.06640625,4819.29443359375,5357.1162109375,5711.91064453125,6807.19482421875,7691.1767578125
Solwezi,2001,7697.861328125,7480.47265625,7586.095703125,7416.5625,6773.197265625,6195.4931640625,5234.16650390625,4671.98046875,5045.57080078125,5417.3720703125,6559.77001953125,7641.09375
Zambezi,2001,6770.859375,6628.20068359375,6656.83154296875,6563.18994140625,6110.0400390625,5817.4755859375,4976.94580078125,4370.69677734375,4229.2421875,4343.498046875,5193.1806640625,6296.4755859375
Chilubi,2001,5823.35986328125,6442.8369140625,6343.666015625,5996.4228515625,5695.953125,5253.6298828125,4806.5283203125,4382.29833984375,3973.948486328125,3344.323486328125,4588.78662109375,6204.59765625
Kaputa,2001,6261.4482421875,6929.7685546875,7067.48193359375,6775.85302734375,6294.81201171875,5713.33935546875,4255.4814453125,3487.962158203125,3349.537109375,3789.228515625,5326.85546875,6633.4892578125
Kasama,2001,7013.150390625,7359.71484375,7339.61962890625,7099.3359375,6583.7265625,6014.0185546875,5207.435546875,4729.59228515625,4186.15283203125,4078.22412109375,5890.04931640625,7130.78857421875
Luwingu,2001,7199.6669921875,7536.23681640625,7449.58203125,7259.57666015625,6633.04443359375,5947.033203125,5156.39013671875,4609.48388671875,4208.318359375,4090.0380859375,5746.29052734375,7224.162109375
Mbala,2001,6747.125,6972.978515625,7022.330078125,6824.5859375,6375.65234375,5775.96533203125,4659.31982421875,4105.43115234375,3716.616455078125,3721.404541015625,5193.3857421875,6679.18505859375
Mporokoso,2001,6948.39892578125,7414.39111328125,7426.9853515625,7244.95703125,6799.9814453125,6237.986328125,5295.87109375,4670.7900390625,4239.84326171875,4597.857421875,6136.63330078125,7106.2451171875
Mpulungu,2001,6499.76416015625,6987.9013671875,7113.24560546875,6948.67724609375,6434.4619140625,5946.748046875,4893.90576171875,4037.98388671875,3800.405517578125,3899.702392578125,5550.3984375,6762.91796875
Mungwi,2001,6607.56005859375,6910.9521484375,6996.20947265625,6660.1748046875,6283.7041015625,5821.02978515625,4844.08935546875,4312.30908203125,3787.0625,3728.762939453125,5407.00830078125,6658.55615234375
Choma,2001,6609.66796875,6840.8115234375,6851.5087890625,6548.0146484375,5588.849609375,4858.4189453125,4032.375732421875,3456.421142578125,3332.73583984375,3218.14990234375,4312.9619140625,6206.14404296875
Gwembe,2001,6493.60107421875,6802.6318359375,6785.45556640625,6730.26904296875,6042.57470703125,5445.0166015625,4574.9736328125,4064.3564453125,3356.375244140625,2892.6171875,3646.688720703125,5826.5400390625
Itezhi-Tezhi,2001,6662.185546875,6759.11474609375,6774.9453125,6383.83642578125,5509.0341796875,4822.759765625,3778.477294921875,3240.36572265625,3156.564453125,2889.763671875,3529.765380859375,6160.12841796875
Kalomo,2001,6305.11572265625,6527.16845703125,6679.71826171875,6238.2021484375,5260.84326171875,4594.5546875,3728.85009765625,3189.816650390625,3118.752197265625,3062.901123046875,4192.85107421875,6009.3193359375
Kazungula,2001,6301.5380859375,6727.98583984375,6987.68408203125,6554.04931640625,5688.4609375,5034.61474609375,3984.318359375,3371.327880859375,3112.25830078125,3042.1767578125,3855.4306640625,5914.2568359375
Livingstone,2001,5902.1376953125,6466.02001953125,6997.8095703125,6386.697265625,5434.3701171875,4805.66259765625,3936.896484375,3350.044921875,3037.314453125,3004.508056640625,3948.926025390625,5599.4580078125
Mazabuka,2001,6573.26220703125,7048.22119140625,7271.03515625,6763.07177734375,5846.2373046875,5180.68994140625,4196.86279296875,3725.013916015625,3496.30615234375,3233.21630859375,4090.930419921875,6067.9736328125
Monze,2001,6551.22265625,6893.27685546875,7016.99169921875,6661.75048828125,5625.24658203125,4853.15087890625,3908.09375,3396.42236328125,3129.021728515625,2835.106689453125,3664.177978515625,5959.06396484375
Namwala,2001,7116.83642578125,7210.21337890625,7058.7392578125,6709.4716796875,5821.45556640625,5102.93603515625,4073.271728515625,3505.2763671875,3380.677490234375,3453.096923828125,4275.9794921875,6597.58447265625
