split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.5463346484580163, 0.5695007566588876, 0.7469144871942864]]",0.7640683594180251,0.8750444348196275,0.7657027629088012,0.9161524059529178,0.9583288373953581,0.9183941605835387,0.7463450184711391,0.8640260746730356,0.7465410577148941,0.03132695709343425,0.4100727184862326,0.168159634446689,-0.05672742799015662,0.2875632298153153,0.08269261114181584
1,116739,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100000000000000.0, 10.0, 9.999999999999995e-18]]","[[0.49586570174911815, 0.501067123231903, 0.7727391679788267]]",0.7701198572050933,0.8787386308574574,0.7721815813612388,0.9094953743948602,0.9540122231963337,0.9101393220080113,0.8090766079889089,0.8999537537254975,0.8099167588446133,0.02113350688014648,0.3532850766516765,0.12481034538478096,0.5485752135407598,0.7518343216536273,0.5652548472163699
2,26225,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[1e+16, 10.0, 0.0009999999999999998]]","[[0.4685900384383291, 0.5239410467907708, 0.7256399175613775]]",0.7386228997156714,0.8597029085469042,0.7390890909640068,0.9042369307704238,0.9524745392422368,0.9072077479047113,0.7988861070927195,0.8946406936342801,0.8003819707064258,-0.13604930422616834,0.23332775496118893,0.054441841235228626,0.4471500492880307,0.6686932808874454,0.44715070390401596
3,777572,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[1e+16, 10.0, 9.999999999999997e-06]]","[[0.5322142053180198, 0.5537868963546979, 0.7717769563770894]]",0.7744782343306461,0.8814091743227972,0.7768821325803951,0.905829676981814,0.9520613816507919,0.9064208744308149,0.7939013217505891,0.8969301256087951,0.804483650224609,-0.03996821091240044,0.2881858493068315,0.08305108374069979,0.534903513519902,0.7385960122639689,0.5455240693322368
4,288389,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[1000000000000000.0, 10.0, 0.0009999999999999998]]","[[0.5035937266043128, 0.5239558305675328, 0.7161161845420347]]",0.727382903324121,0.8531342873119181,0.7278381121872144,0.8954271122585089,0.947792312837766,0.8983102682743617,0.8229655819811514,0.9111552261593928,0.8302038461575743,-0.08700671164825446,0.27307550777530554,0.07457023294674095,0.4775614257124712,0.6940672164635966,0.48172930096952504
5,256787,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[1e+16, 10.0, 9.999999999999997e-06]]","[[0.39743981403169626, 0.49234782342627303, 0.7883469508717346]]",0.7918168140210343,0.8913187743502595,0.7944491575092488,0.91055508789357,0.9545423693225118,0.9111511348318345,0.7894173326147322,0.8896290760520233,0.7914398929571768,0.08837905560017667,0.4159682006749418,0.17302954397274864,0.24741476914870264,0.49741329903668235,0.24741999005855597
6,234053,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100000000000.0, 10.0, 9.999999999999998e-05]]","[[0.5407510348335871, 0.5474745368219713, 0.7783199288315654]]",0.7842357983989817,0.8860533036941914,0.785090456987391,0.9094685752616066,0.9540639193892936,0.9102379622804605,0.8008079831712354,0.8951814319311945,0.8013497960743838,0.0580941487265183,0.3701291417791813,0.1369955815941933,0.3844729088192236,0.620764482019005,0.38534854213632364
7,146316,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100000000000000.0, 10.0, 0.0009999999999999998]]","[[0.5737107101241893, 0.5760762462719611, 0.7709440607291069]]",0.7769826515993996,0.8814797087207821,0.7770064768864748,0.9042305059256313,0.9524086323769698,0.90708220302617,0.8017087716776145,0.8957174982228704,0.8023098366226378,0.08296366470945049,0.40683264003903524,0.16551279700113122,0.27679701971990467,0.5532575870234687,0.3060939575990311
8,772246,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[1e+16, 10.0, 0.0009999999999999998]]","[[0.5391219093663319, 0.5618916057425324, 0.736644849870179]]",0.7453168642502719,0.8636511639822583,0.7458933330479096,0.9027115320625694,0.9515894537656411,0.9055224885179911,0.8158466739082568,0.9059468729014494,0.8207397365199148,-0.08695202462398943,0.2808254071326527,0.07886290929122014,0.3231295732335743,0.5725546233602076,0.32781879673114916
9,107473,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[1000000000000000.0, 10.0, 9.999999999999995e-18]]","[[0.46991702257825435, 0.5223123763908026, 0.7517692241016977]]",0.7618596123663197,0.8747833375135928,0.7652458875914204,0.9088381198335693,0.9536463345756733,0.9094413314496169,0.785444656808336,0.8900230322609426,0.7921409979549628,0.008683519898397218,0.34738997272488054,0.12067979314979324,-0.025824616706222825,0.3282508855037975,0.10774864383402717
