split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.43272780261174876, 0.47702612828460056]]",0.5185612560111272,0.7278097075433928,0.529706970394399,0.8898155001103693,0.947741091241423,0.8982131760274833,0.5361513763533123,0.7369467589257336,0.5430905254911433,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.5385836453632258, 0.5476541036338153]]",0.589441163834197,0.770450667652235,0.5935942312857747,0.8916904422916828,0.9487760366557435,0.9001759677321808,0.5113276671989988,0.7392976313552782,0.5465609877275247,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[10.0, 100.0]]","[[0.47298670854589986, 0.48962474534288025]]",0.5232403972652349,0.7277661378920744,0.5296435514623459,0.8447939493516716,0.925267917562412,0.8561207192702824,0.492323073321427,0.7023648001227822,0.49331631245151586,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[100.0, 10.0]]","[[0.4835871949710384, 0.5331725043465403]]",0.5547356671184266,0.7454812006266441,0.5557422204877428,0.8123588509506738,0.9072072031286511,0.8230249094085096,0.49675915819026495,0.7620065055831726,0.5806539145510777,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[1.0, 10.0]]","[[0.3868166831333647, 0.3934182001969237]]",0.397531053883206,0.6808649247941199,0.4635770458149025,0.9694796908383875,0.9867203890706989,0.9736171262078315,0.7533871588590724,0.8684231315686854,0.7541587354435624,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[1.0, 10.0]]","[[0.5249414554025227, 0.5397333944628253]]",0.5592741518664502,0.7595410554898371,0.5769026149746158,0.9782199318864246,0.9902397328705552,0.9805747285555486,0.1715270428306176,0.5829494105216114,0.33983001522749423,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[100.0, 1.0]]","[[0.5593521229092838, 0.5593521229092838]]",0.5835380235916731,0.7698422257441404,0.592657052538692,0.916439237034461,0.9602203735573513,0.9220231657946194,0.5728925162054541,0.7576272717116674,0.5739990828412648,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[100.0, 10.0]]","[[0.5262056958311911, 0.5681277439284923]]",0.5793072116314064,0.7612284164779499,0.5794687020535272,0.8112485211546289,0.9075129909668378,0.8235798287735758,0.5507692619154464,0.7495914381558307,0.5618873241565266,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[10.0, 100.0]]","[[0.3658895570016074, 0.4929657833765443]]",0.5138303966500102,0.7243374967387414,0.5246648091817462,0.8507727262397572,0.9277296537560568,0.860682310458333,0.4326477408266536,0.6948762450347022,0.48285299591352754,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[100.0, 100.0]]","[[0.4003287686481528, 0.5213404907649742]]",0.552099966664986,0.7441093940106649,0.553698790254919,0.7167903846914223,0.857067885229345,0.7345653598915016,0.47534272666284194,0.7006354564298667,0.49089004280668763,,,,,,
0,670487,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[100.0, 10.0]]","[[0.41487308633076714, 0.46157073089529554]]",0.4883326547836212,0.6990426612991509,0.48866064231619943,0.7139856748172657,0.8560010318586625,0.732737766543095,0.5332770209074654,0.7448077201682844,0.5547385400222775,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[100.0, 1.0]]","[[0.554323603830589, 0.554323603830589]]",0.5773838994618674,0.7598815253483001,0.5774199325656593,0.8374397376299221,0.9220859167261625,0.8502424378247274,0.49434290528099367,0.7047434498381017,0.4966633300897089,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.463646764228599, 0.4956997385597274]]",0.5326579913536502,0.7353675853831891,0.540765485632302,0.8516993953273471,0.9277007532060297,0.8606286874990349,0.4020556565141842,0.6561311653219299,0.43050810610671375,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.46456350427420345, 0.5051521103390966]]",0.5201805093779037,0.727189002516939,0.5288038453815807,0.8517274524533676,0.9277773196207916,0.8607707548027405,0.3215415467200694,0.6690874794100913,0.44767805510334935,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.47639214801408, 0.5179741996884479]]",0.5609673456271151,0.7528599993574454,0.5667981786324927,0.8625762806950341,0.9345770796308887,0.8734343177714003,0.5362895595342829,0.7344276657538619,0.5393839962246663,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[1.0, 10.0]]","[[0.37665523175703053, 0.4093807017730867]]",0.4227279488510003,0.6880325910506746,0.47338884634790485,0.9575230055969528,0.9809365899930932,0.9622365935872779,0.5917314923311732,0.7760935033674455,0.6023211259691552,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[100.0, 1.0]]","[[0.5077258943410893, 0.5077258943410893]]",0.5173475561825611,0.7193406559221165,0.5174509792624608,0.8095109434948777,0.9068361505262993,0.822351803901357,0.5559033304931957,0.7569249756082115,0.5729354186994915,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[100.0, 1.0]]","[[0.5167592791889979, 0.5167592791889979]]",0.5394017024542956,0.7347524422361044,0.5398611513719199,0.8169987400629547,0.9112074498072531,0.8302990165842377,0.49252581275522167,0.7239889234484673,0.5241599612760707,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[100.0, 1.0]]","[[0.5110136983678067, 0.5110136983678067]]",0.5503113075239336,0.7423462780964498,0.5510779966036516,0.8258213287252105,0.915861645118346,0.8388025529988832,0.5394677215450656,0.7364367341763158,0.5423390634442776,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.451854202136583, 0.5095792108166167]]",0.5359991705405676,0.7348159700895304,0.5399545098986176,0.8378460292204448,0.920924227738227,0.8481014332352498,0.5378994545851041,0.7446296496048231,0.5544733150706017,,,,,,
0,670487,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.4259264090912381, 0.4770000807292082]]",0.5255256731398834,0.7345608837019469,0.5395796918649852,0.9082309130240641,0.9567538813867401,0.9153779895485924,0.4893787019832072,0.7150551079681399,0.5113038074313282,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[0.09999999999999999, 10.0]]","[[0.43417146583086785, 0.4419702975020206]]",0.49202857609919515,0.7438839881698088,0.5533633878554203,0.9984976099975968,0.999330769177828,0.9986619862255495,-0.03338429551885658,0.5884060857392134,0.34622172173494253,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[10.0, 100.0]]","[[0.4219984374067982, 0.4894024122006456]]",0.5276693591983247,0.7312180217857899,0.5346797953843239,0.8535866377400437,0.9296779597236854,0.8643011087959944,0.5080251301759855,0.713407725351442,0.5089505825911186,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.4723324308298643, 0.49250478700805367]]",0.5305609172629997,0.7340199041575343,0.5387852196994358,0.9006707702672945,0.9527974489825748,0.9078229787877022,0.5370801586145908,0.7730114540092695,0.597546708029525,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[1.0, 1.0]]","[[0.390662046606435, 0.390662046606435]]",0.40190595831007314,0.6936680303285669,0.48117533629991366,0.9869207795963776,0.9942589184320219,0.9885507968816138,0.6883062329409018,0.8422737114816395,0.7094250050530562,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.5144633897727501, 0.563332121151891]]",0.5761906130022775,0.7638338260936756,0.5834421138849034,0.9126480943178661,0.9588251195311299,0.9193456098438856,0.3352183978140104,0.6428139718603607,0.4132098024188926,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[1.0, 10.0]]","[[0.38075626445120675, 0.38431793556193716]]",0.41919220534160084,0.6907286966076387,0.4771061323172874,0.9729095795534435,0.9879103597297243,0.9759668788613133,0.5419926710355754,0.7368274593458845,0.542914704846111,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[100.0, 10.0]]","[[0.51116604670712, 0.5612176803193213]]",0.5757858586666,0.7590037945703747,0.5760867601722276,0.8281309472504705,0.9168333832610798,0.840583452661958,0.5627322994702557,0.7596186624218013,0.5770205122994866,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.4876106440641161, 0.5257197586589616]]",0.5485083542079765,0.7448489579866296,0.5547999702137679,0.9020937077380337,0.9535833270433531,0.9093211616150706,0.5632002929153729,0.7661068892617471,0.5869197657743108,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,414,331,83,"[[10.0, 10.0]]","[[0.4696307832024794, 0.520215050334967]]",0.5609039461364033,0.7573553232171075,0.5735870856052894,0.9034877346151592,0.9542494020578383,0.9105919213277418,0.542120571579396,0.7416777323671253,0.5500858586892412,,,,,,
0,670487,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,426,340,86,"[[10.0, 1.0]]","[[0.4373422198775776, 0.4373422198775777]]",0.47130055963323014,0.6951330082562039,0.4832098991673197,0.9208300240730886,0.9632481329698983,0.9278469656699949,0.5715126406120374,0.7587616303423497,0.5757192116797805,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,426,340,86,"[[1.0, 10.0]]","[[0.47791095297734587, 0.5089896632311335]]",0.5362263724251015,0.7508104168198758,0.5637162820052357,0.9725508101634596,0.9878517999057955,0.9758511785771199,0.3057831141932442,0.6623076563039546,0.43865143159883724,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,426,340,86,"[[10.0, 100.0]]","[[0.4373871770626385, 0.4782522583411911]]",0.5154676946706627,0.7231163090521993,0.5228971964172757,0.83232139997756,0.9176583853310238,0.8420969121683418,0.3875691081281677,0.6479951105623584,0.41989766331272305,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.5099819352580457, 0.5166406141394198]]",0.5381849361015962,0.736247991142587,0.5420611044614948,0.8702739370630895,0.9375308655601323,0.8789641238779309,0.34938455705851645,0.6702209752514002,0.44919615566693805,,,,,,
