split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1000000000.0]]","[[0.5163155725659859, 0.5163155725659858, 0.57516213136142]]",0.614156182054775,0.7921657235094228,0.6275265335032073,0.97279253966944,0.9877439833002333,0.9756381765458115,0.4542231286699704,0.7388803882176543,0.5459442280926716,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.44856090981788566, 0.4485609098178857, 0.4917489489712459]]",0.5430435275065011,0.7496000023820072,0.5619001635711052,0.9858683113021856,0.9937936207854504,0.9876257607138557,0.6466914025207793,0.8141415866359967,0.6628265230901781,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1000000000.0]]","[[0.3684768792864828, 0.3684768792864829, 0.4462593746620655]]",0.5206263443599739,0.7375353218607863,0.5439583509922936,0.9695244247437305,0.9862399050208265,0.9726691502554888,0.6992888230470953,0.8363999466604468,0.6995648707735983,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 1000000000.0]]","[[0.4735274147629143, 0.4735274147629143, 0.4875350629340513]]",0.488873626659479,0.7394000745901832,0.5467124703039685,0.996857408755532,0.9986185077460827,0.9972389240130131,0.6532104267353944,0.8208343207590271,0.6737689821359334,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 1000000000.0]]","[[0.47478438820060004, 0.5060242946298642, 0.5536790903699557]]",0.5701779228550119,0.7668396909862221,0.5880431116718445,0.9509834386049901,0.9779263380490646,0.9563399226500534,0.5299767665212103,0.7472104006000012,0.5583233827648143,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.48804987318853, 0.48804987318853, 0.5000907749227972]]",0.5217866103859452,0.7521562329930132,0.5657389988302399,0.9845756626626556,0.9930326389133339,0.9861138219471799,0.555285379981376,0.7481320413626013,0.559701551313373,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1000000000.0]]","[[0.49523146619274955, 0.4952314661927496, 0.536786163834989]]",0.5575734100737733,0.7643161863417937,0.5841792327040635,0.9714668777595972,0.9869270960012083,0.9740250928213783,0.5143852236908114,0.7470426206771829,0.5580726771082333,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.4920344332253258, 0.492034433225326, 0.5121976620072104]]",0.5175693111968284,0.7355851854448268,0.5410855650459002,0.9865682781202116,0.9940278322153601,0.988091331218768,0.38181501341912827,0.6421249504644514,0.41232445200897416,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.4869145721074573, 0.4869145721074576, 0.5211527496306896]]",0.5391145346106271,0.7546225182743697,0.5694551450867513,0.9857879368932441,0.9937017867411813,0.987443240972616,0.6884395764679585,0.8305073226576496,0.6897424129879773,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.4199433479012347, 0.4199433479012347, 0.4564003879065689]]",0.5017722491059124,0.7404835399441763,0.5483158729282585,0.984601798504712,0.9932136222078952,0.9864732993393276,0.7080486239270061,0.8439811929997838,0.7123042541373383,,,,,,
