split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998, 0.0009999999999999998]]","[[0.6691655630007097, 0.7179276189879552, 0.7250484289472391, 0.8004582961046506]]",0.808667325897096,0.9002259344543414,0.8104067330641922,0.9673283248979447,0.9838684185953557,0.967997065109326,0.8714446721153549,0.9427064825428404,0.8886955122282947,0.19953313359562752,0.5219599484489512,0.2724421877848318,0.5555209056493158,0.7500584364827735,0.5625876581389827
1,116739,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 1.0, 0.0009999999999999998]]","[[0.7040656510027823, 0.7464439227964693, 0.7464439227964693, 0.7970378736664921]]",0.8095989206389728,0.9005006726057244,0.810901461363362,0.9653979554047698,0.9829210884764408,0.9661338661717112,0.8053965310331077,0.9014009828653968,0.8125237319107034,0.146753003988647,0.47763873417436353,0.2281387603836883,0.5511790943206926,0.7489437111864136,0.5609166825256781
2,26225,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.09999999999999999]]","[[0.7374015418218017, 0.7643926847519658, 0.7671545194446086, 0.8055458593995166]]",0.8075552437934179,0.8990169393541607,0.8082314572457227,0.9540689846482626,0.9784099653949115,0.957286060384072,0.8204594536382022,0.9071517453426697,0.8229242890782519,0.16109287089240332,0.473315207637768,0.22402728578118344,0.5638860735583839,0.7537888247084352,0.5681975922553241
3,777572,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.009999999999999998]]","[[0.6925841165897074, 0.7412504314493243, 0.7422019958554437, 0.8043070486579463]]",0.8094420849522908,0.9002093757349816,0.8103769201611652,0.9559481173058741,0.9783982029780477,0.957263043590673,0.8774728828268026,0.9367857032656451,0.8775674538429094,0.22822985049712252,0.5246350042555961,0.2752418876902693,0.41059891308859175,0.6539440246436651,0.42764278736715444
4,288389,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.009999999999999998]]","[[0.7320836221305328, 0.7708895867933001, 0.7737868385202364, 0.8349938832665448]]",0.8386277879198314,0.9157963180657278,0.8386828961827437,0.9690145135949599,0.9848697348860194,0.9699683946944581,0.8137125921614236,0.9079471253044312,0.8243679823485806,0.3038404184560074,0.5766811140210957,0.33256110726861193,0.31464010110108,0.6385542959432813,0.40775158886761964
5,256787,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 1.0, 0.009999999999999998]]","[[0.7346419706142946, 0.7611533179036588, 0.7611533179036588, 0.8186408238724041]]",0.8218779847928536,0.9068829973364585,0.822436770857959,0.9565704405353894,0.9786775114671467,0.957809671451527,0.8056617822938723,0.9042201967496212,0.8176141642099236,0.19715680724924378,0.48796375782363854,0.23810862894936657,0.43891846799684875,0.6686075545712107,0.4470360620296945
6,234053,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.009999999999999998]]","[[0.6998136867851376, 0.7406316123092099, 0.7428342758648526, 0.8060825841061094]]",0.8153197265150316,0.9031412197824535,0.815664062870138,0.9678367058737994,0.9843171101920294,0.9688801734167877,0.8493891988153415,0.9235901230191352,0.8530187153385014,0.2725863224869396,0.5596702012253589,0.31323073413963376,0.3179104165609783,0.6182737372875476,0.38226241421951146
7,146316,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.09999999999999999]]","[[0.7369625629611077, 0.7767118185304996, 0.7778364972230414, 0.8170139183661143]]",0.8190807506856022,0.9054009765702652,0.8197509283743899,0.954173889977299,0.9784814308115575,0.9574259104430327,0.7981339225956309,0.8945792889146527,0.8002721041550456,0.2706221700902228,0.5532402688263497,0.3060747950510517,0.21704642440096922,0.5363146833106108,0.2876334395345608
8,772246,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.009999999999999998]]","[[0.7292161495769303, 0.7545573072406303, 0.7587258364830423, 0.7897360793832086]]",0.7921076415546145,0.8906524900578232,0.7932618580462009,0.9643692147213067,0.9825651818982665,0.9654343366787734,0.8792599741609078,0.9414322633623591,0.8862947064995742,0.16331973281895296,0.4869830307095212,0.23715247219903046,0.5965838746169526,0.7759448907914511,0.602090473545357
9,107473,rcf_ndvi,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.009999999999999998]]","[[0.69240055285202, 0.7483725083756279, 0.7495032440608937, 0.7940754175181894]]",0.8085630924377007,0.8993379962713051,0.8088088315372859,0.9549903426816382,0.9778537285620557,0.9561979144627144,0.8555483742872101,0.9259802357860466,0.8574393970663825,0.17391033249492338,0.47539495819244043,0.2260003662747922,0.5247988594645909,0.732980807704846,0.5372608644636484
