split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1000000000.0]]","[[0.5195123806550269, 0.519512380655027, 0.5195123806550269, 0.578334616817698]]",0.6169926617907611,0.793801475483961,0.6301207824805135,0.9731354976072782,0.987898580577927,0.975943605507883,0.4662235342038471,0.7436081383494132,0.55295306341948,,,,,,
1,116739,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.4525302532990314, 0.4525302532990313, 0.4656764952936401, 0.5061321239477377]]",0.5613020028814395,0.7600989685180481,0.5777504419422007,0.9862240987620275,0.9939188252206922,0.9878746311280808,0.6817253443494788,0.8334527006360202,0.6946434041974755,,,,,,
2,26225,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1000000000.0]]","[[0.3692869672153429, 0.3692869672153429, 0.369286967215343, 0.44688746592902423]]",0.5216634014706952,0.7382459581676752,0.5450070947509089,0.9699419674257355,0.9864352226798371,0.9730544485434197,0.709643349399802,0.8424777339562859,0.7097687322121184,,,,,,
3,777572,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.4761769560238619, 0.4761769560238619, 0.49197123204196247, 0.5011903444511819]]",0.501391032140637,0.7442175026749487,0.5538596912877373,0.9971016862239578,0.9987107075375663,0.9974230773501863,0.6504903063957651,0.8222488312641762,0.6760931405153038,,,,,,
4,288389,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.47894054602773883, 0.5176398199802404, 0.5310659111011853, 0.5764521773625301]]",0.5897933058715698,0.7779241311299684,0.6051659537943163,0.9545780397813476,0.9793905944767154,0.959205936549454,0.556075276779902,0.7595841702572416,0.5769681117053821,,,,,,
5,256787,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.49201987400000285, 0.49203835854265987, 0.5114049686786886, 0.5534937434834438]]",0.5799873126925825,0.7716998965628272,0.5955207303550782,0.9520897139283984,0.9783845357733972,0.957236299840526,0.5719107636708087,0.7567552872574659,0.5726785647921298,,,,,,
6,234053,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.5029981906640846, 0.503930182281391, 0.5080858298702611, 0.5889209078885926]]",0.5998091932437093,0.7777857998200571,0.604950750401726,0.9035975064512006,0.9548963383119231,0.9118270169215187,0.4228518793169814,0.6867723206026985,0.4716562203460158,,,,,,
7,146316,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.49955190826284956, 0.4995519082628494, 0.5309065542097047, 0.548764674444007]]",0.5523394569577029,0.7573811019185536,0.5736261335433624,0.9878233541821174,0.9945177942571328,0.9890656430940727,0.3406377180829232,0.6234876283775015,0.3887368227398014,,,,,,
8,772246,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.489958044768353, 0.48995804476835286, 0.498352834845574, 0.5316768072970669]]",0.548992607179575,0.7598607479339782,0.5773883562507848,0.9864258039648293,0.9939677392682698,0.9879718667060751,0.7192300933265806,0.8482569378570926,0.7195398326226914,,,,,,
9,107473,rcf_ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.4225583063482114, 0.4225583063482114, 0.42877359050548824, 0.46417277653315203]]",0.5110741728699575,0.7453407276445279,0.5555328002856742,0.9850902284126112,0.9934068630736584,0.9868571956018464,0.7379467781036353,0.8615952514310523,0.7423463772885383,,,,,,
