split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 1.0, 0.0009999999999999998]]","[[0.694665508651611, 0.694665508651611, 0.8144279208567207]]",0.8206287941647088,0.9066343701089705,0.8219858810628897,0.9994438954855875,0.9997406620432252,0.9994813913426263,0.7223858180137472,0.8549495732978664,0.7309387728822038,0.2962389056811322,0.587061813108592,0.3446415724103474,0.18042209816531807,0.572473777467324,0.32772622588770717
1,116739,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[10.0, 10.0, 0.009999999999999998]]","[[0.654661570815154, 0.6727189791628436, 0.7585087007727946]]",0.7724761223333703,0.879458874410544,0.773447911779461,0.9827009122311311,0.9918056783334779,0.9836785035745302,0.8537445389253803,0.9278339706338007,0.8608758770620845,0.1591699151016046,0.4790667152783916,0.22950491768762754,0.40524314003112893,0.650761673730331,0.42349075599630176
2,26225,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.0009999999999999998]]","[[0.7221322654227821, 0.7221322654227821, 0.7567362410328474]]",0.7606694574314754,0.8749085669882142,0.7654650005893705,0.9999317608335766,0.9999681546721977,0.9999363103585203,0.744164097330255,0.8668049406082704,0.7513508050629072,-0.008076251119742528,0.44034539784942434,0.1939040694071678,0.35897884015968107,0.6412948215498064,0.4112590481465981
3,777572,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998]]","[[0.6924854144059507, 0.6973700678332263, 0.761789307316076]]",0.7768366435903586,0.8818711286736698,0.7776966875881722,0.9965958337073083,0.9984308726659781,0.9968642074925466,0.8449995490584862,0.9203829667778257,0.8471048055347522,0.0969629007979882,0.45293511505007117,0.2051502184454212,0.4830670199917001,0.6998859062653696,0.48984028178889777
4,288389,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998]]","[[0.6241847636889756, 0.6298702449947859, 0.7003785998025809]]",0.715526081658163,0.851609853463928,0.725239342516853,0.9960030706061438,0.9981397799868094,0.9962830203921162,0.8294213077249826,0.9155145151267015,0.8381668274076792,-0.12061044115360553,0.3626890169969068,0.13154332305018257,0.4623725626539661,0.6830950070877375,0.4666187887081962
5,256787,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998]]","[[0.7077366656375099, 0.7159570631927729, 0.7482117019716386]]",0.7582494803447998,0.871555981871886,0.7596098295366672,0.9970267846761585,0.998621516820729,0.9972449338573335,0.7775049749224593,0.8914993654703832,0.7947711186340959,0.05886548882627951,0.43638254106207003,0.19042972214378923,0.47834518047537633,0.714932028911473,0.5111278059634753
6,234053,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.009999999999999998]]","[[0.685634010781225, 0.685634010781225, 0.7276666251313326]]",0.7462269073804779,0.8648049829492374,0.7478876585338308,0.9999220132866522,0.9999652121052227,0.999930425420643,0.8180340131592349,0.9098583226095585,0.8278421672218793,0.1507233181156019,0.5124720550785931,0.2626276072364765,0.10380668475923827,0.6104371917835965,0.37263356511264334
7,146316,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.0009999999999999998]]","[[0.6795783212387454, 0.6795783212387454, 0.7282718711359302]]",0.7476987843215386,0.8684580826716418,0.7542194413577042,0.9999370602364903,0.9999708155808698,0.9999416320134699,0.8198027322421074,0.9079328213025006,0.8243420079983186,0.017178133884505842,0.4406104422447324,0.19413756181509867,0.4963937367725719,0.7138581392738504,0.5095934430075241
8,772246,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 1.0, 0.0009999999999999998]]","[[0.7259344069737652, 0.7259344069737652, 0.7847349277241571]]",0.791745311038176,0.8915650387081605,0.7948882182466838,0.9992917327885715,0.9996693621451826,0.9993388336117563,0.8410950228928701,0.9225351581610552,0.8510711180432432,0.15994209773509183,0.5127244455172746,0.26288635703099666,0.557398164459485,0.7632757735745925,0.5825899065258926
9,107473,rcf,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998]]","[[0.6991614732489777, 0.6996306939749269, 0.7750945642039937]]",0.7876517833480654,0.8882502184447544,0.7889884505671538,0.9970595648497462,0.9986293478051181,0.9972605742976756,0.7827949946713895,0.885376267665738,0.7838911353457124,0.15352169484275147,0.500099098411458,0.2500991082319532,0.4058948187522371,0.643651893378866,0.41428775985019906
