split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6832513046590394, 0.6832513046590394]]",0.6832878122081645,0.8285541754301117,0.6865020216226723,0.9940118623995753,0.9973758894096262,0.9947586647756429,0.5682656816456783,0.7847423115570722,0.6158204955479369,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6359270344026149, 0.6359270344026149]]",0.6409033841107525,0.8059424265203341,0.6495431948654842,0.993907769641251,0.997446738692821,0.9948999965289447,0.7573875539730157,0.8715029392877355,0.7595173731871624,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.654030085308156, 0.654030085308156]]",0.6777261987227301,0.8241324274783406,0.6791942580213424,0.9935313417379187,0.997228706122084,0.9944650923139259,0.7005300764715767,0.8484805653631178,0.719919269798916,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6357530014976441, 0.6357530014976441]]",0.6599311972901635,0.8160228634551114,0.6658933136814794,0.9920473549002292,0.9966052595393005,0.9932220433413964,0.8184682790162296,0.9052492297167952,0.819476167902851,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.4762775639459173, 0.4762775639459173]]",0.559978003162795,0.7519259626176937,0.5653926532585454,0.9933059575333674,0.997161823162224,0.9943317015722105,0.7605404536619483,0.8728425007202046,0.7618540310635005,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6523318403428526, 0.6523318403428526]]",0.6670078315947503,0.8185647237878063,0.6700482070298076,0.9935587158728554,0.9972585934698182,0.9945247022494,0.7786296360842926,0.8835060390400417,0.7805829210202236,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6242310452395173, 0.6242310452395173]]",0.6366956830056099,0.8071303426872628,0.6514593900864583,0.9941113591956967,0.9974872746778185,0.9949808631441818,0.7478416385651562,0.8841079649629434,0.7816468937109172,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6155170724593789, 0.6155170724593789]]",0.6356310094405264,0.8024184755216569,0.6438754098584999,0.9937048857524131,0.9972799198175897,0.9945672384713781,0.7128269511952963,0.8475848529272709,0.7184000829117435,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0]]","[[0.5604742727232791, 0.5604742727232791]]",0.5830105069111108,0.7733717915405437,0.5981039279506302,0.9989143602067623,0.9995632915910098,0.999126773896254,0.6995929075796368,0.8382790623769254,0.7027117864195371,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0]]","[[0.686661582211431, 0.686661582211431]]",0.6877346194460022,0.8356243029116125,0.6982679756165183,0.9985875727780864,0.9994139813625892,0.9988283061430218,0.8455285006781521,0.9205643478177548,0.8474387184731281,,,,,,
