split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 1.0, 0.0009999999999999998, 0.0009999999999999998]]","[[0.6949439894843221, 0.6949439894843221, 0.7051625598049495, 0.8329529559917613]]",0.840017840922102,0.9170214201359551,0.8409282849881639,0.9995721378980418,0.9997995643714481,0.9995991689173375,0.7156305392430283,0.8519020172766587,0.7257370470400405,0.3611144214587636,0.6287090546200733,0.3952750753612663,0.17452019409696495,0.5714108763022098,0.3265103895564593
1,116739,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[10.0, 10.0, 1.0, 0.009999999999999998]]","[[0.6556218949566001, 0.6743695843881901, 0.6743695843881901, 0.7596389778270061]]",0.7736095500705604,0.8800935498507833,0.7745646564889531,0.9828121386238076,0.9918568324384719,0.9837799760548789,0.8536309141375583,0.9277845794673877,0.8607842258974774,0.1628922637971525,0.4814033427697701,0.23174917842990875,0.40556474892178485,0.6508075649963946,0.4235504866565364
2,26225,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.009999999999999998, 0.0009999999999999998]]","[[0.722246259330128, 0.722246259330128, 0.7269652002195306, 0.7595308374886347]]",0.763585697928961,0.87642893736552,0.7681276822516545,0.9999334728493267,0.999968948242554,0.9999378974493196,0.7502000307875232,0.870205374373751,0.7572573935889602,0.003757845347039712,0.44625353656962474,0.1991422189008974,0.375526322106685,0.6502773761594544,0.4228606659448245
3,777572,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.009999999999999998]]","[[0.6929210751441648, 0.6988059152639741, 0.7087053879012128, 0.7611986371883451]]",0.7757393984460841,0.8813954161787975,0.7768578796609956,0.9968260671602545,0.9985304415099703,0.9970630426220962,0.8488796497085523,0.9232768150636589,0.8524400772340938,0.089774328684318,0.45698246300843304,0.20883297149725388,0.5100862486371505,0.721085246629249,0.5199639329063649
4,288389,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.009999999999999998]]","[[0.6247818982248481, 0.631573476005846, 0.6398438627682985, 0.7022201119837888]]",0.7174342005050112,0.8526387025710772,0.7269927571220899,0.996303656829083,0.9982729091045613,0.9965488010520838,0.8408004369763357,0.9208319572712689,0.8479314935320359,-0.11268630491022136,0.3784471990267563,0.14322228245119728,0.4770630466736019,0.6965757446077477,0.4852177679758382
5,256787,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.009999999999999998]]","[[0.7083367691562883, 0.7176650704311599, 0.7326791308426019, 0.7539140656042222]]",0.7640664654018762,0.8748188413469111,0.7653080051755521,0.9973038687431749,0.998747204317853,0.9974959781327273,0.7873140033543462,0.8964138615071006,0.8035578111020713,0.0844689715842144,0.45807850106953224,0.20983591314210945,0.5124833156968558,0.7378617556822404,0.5444399704984783
6,234053,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.009999999999999998, 0.009999999999999998]]","[[0.6858623708049075, 0.6858623708049075, 0.6965185333656095, 0.7318288302760839]]",0.7483642238267585,0.8659465640412454,0.7498634517748387,0.9999221704581046,0.9999651606928985,0.9999303225995744,0.8161149191846635,0.9085943015760597,0.8255436048564877,0.1598431745515938,0.517680687148741,0.2679932938467927,0.10199892517285203,0.609962228765574,0.3720539205206665
7,146316,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.0009999999999999998, 9.999999999999998e-05]]","[[0.6797539352140539, 0.6797539352140539, 0.688470073656761, 0.7461637775355431]]",0.769129431272832,0.8818196095352867,0.7776058237609655,0.9999479120655586,0.9999753587641056,0.9999507181354017,0.830196946129703,0.912531608634017,0.8327139367561869,0.06562784120467757,0.4791397296453857,0.2295748805246533,0.5409646045174223,0.7434221962476071,0.5526765618736156
8,772246,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 1.0, 0.009999999999999998, 0.0009999999999999998]]","[[0.7263664378972201, 0.7263664378972201, 0.7313459806736423, 0.7877506795778203]]",0.7949644215834392,0.8933036378936823,0.797991389474087,0.9993193968934425,0.9996814128189615,0.999362927135715,0.8436202273339638,0.9237032610115369,0.8532277144033474,0.17284205374374018,0.5190891266979105,0.2694535214559994,0.559749766583562,0.7651576472426357,0.5854662251338857
9,107473,rcf_ndvi,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.009999999999999998]]","[[0.7001458819775506, 0.7017907458261626, 0.7276915390854709, 0.7826868237253637]]",0.7945149390403735,0.8920320523140818,0.7957211823556727,0.9974648787134386,0.9988173905303481,0.9976361796258539,0.7783704770575184,0.8832768791868656,0.7801780453060888,0.18538427713630012,0.5224973295539417,0.27300345939100035,0.40252152167002664,0.6453711699950277,0.416503947060751
0,670487,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 1.0, 0.0009999999999999998, 0.0009999999999999998, 0.0009999999999999998]]","[[0.6989843984722661, 0.6989843984722661, 0.7088087965799168, 0.7481319473270636, 0.8405019092667214]]",0.8485792121659467,0.9216300178947321,0.8494018898846442,0.9996211574605766,0.9998209666927105,0.999641965438346,0.724969500081319,0.8588418058445532,0.7376092474663332,0.393000431143267,0.6548030503835668,0.4287670347916239,0.20483834087839403,0.6135169599149959,0.3764030601033387
1,116739,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[10.0, 10.0, 1.0, 0.009999999999999998, 0.009999999999999998]]","[[0.6627278683880702, 0.6913485029440392, 0.6913485029440392, 0.7258163927481676, 0.7822356197897915]]",0.7966041560790491,0.8930318904181287,0.7975059573037766,0.9850087618654031,0.992811959585259,0.985675587095522,0.8711279241166847,0.936787510005169,0.8775708389016846,0.24786930154051312,0.550025020576279,0.30252752325993615,0.4704522824960825,0.6961591934298884,0.4846376225969528
2,26225,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.009999999999999998, 0.009999999999999998, 0.009999999999999998]]","[[0.7227609743224501, 0.7227609743224501, 0.7274651576960192, 0.7406190608469906, 0.76292393240978]]",0.7657598608559283,0.8764637932290631,0.7681887808414779,0.9999208927550022,0.9999641014269081,0.9999282041425237,0.7604913830953514,0.8742641482633111,0.7643378009385728,0.05835824022044578,0.4770347746868393,0.22756217626052355,0.3409176491154695,0.6202965456487113,0.3847678045437238
3,777572,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.09999999999999999, 0.009999999999999998]]","[[0.6965549114973839, 0.7032414954690707, 0.7133939133362721, 0.7270156962055102, 0.7637127048618237]]",0.7781659914921523,0.882752246526329,0.7792515287472808,0.9968564948813498,0.9985407399958862,0.9970836094315321,0.8493044281577675,0.9239665826224083,0.8537142458029316,0.09491846120322456,0.46037396414953907,0.2119441868667611,0.514802710600312,0.7244397850460754,0.524813002157604
4,288389,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.009999999999999998, 0.009999999999999998]]","[[0.6288474088530838, 0.6385142757243265, 0.6460495711717815, 0.6800322132322751, 0.7126250300511195]]",0.7270506692992598,0.8585814894442293,0.7371621740162713,0.9964356891886902,0.9983201776535756,0.9966431771102667,0.848192187962,0.9246693109954932,0.8550133346968801,-0.07663182232721599,0.40344927184421137,0.16277131495162436,0.47599141587141125,0.6967471133688518,0.48545653998782756
5,256787,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 10.0, 0.009999999999999998, 0.09999999999999999, 0.009999999999999998]]","[[0.7102509181925285, 0.7197311844881085, 0.7350192596013707, 0.7400763820653877, 0.7547184096752277]]",0.7652638322697709,0.8755364950228273,0.7665641541168572,0.9973194506004222,0.9987510228437878,0.9975036056315123,0.7898232645065524,0.8976086351852843,0.8057012619591889,0.08803662645139398,0.4600646843474389,0.2116595137837086,0.5210365263645041,0.7424472032479912,0.5512278496107639
6,234053,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.009999999999999998, 9.999999999999998e-05, 0.009999999999999998]]","[[0.6863276880104862, 0.6863276880104862, 0.6969886474987803, 0.7172671413637834, 0.7545445944888479]]",0.772131899379024,0.8809788221375441,0.7761236850548545,0.999931996930084,0.9999686218361326,0.9999372446568543,0.8076371385187354,0.9031125015883917,0.8156121905252429,0.19731616462127388,0.545370084371604,0.2974285289274904,0.2011358980277741,0.6635587097131008,0.4403101612361152
7,146316,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[0.09999999999999999, 1.0, 0.0009999999999999998, 0.0009999999999999998, 9.999999999999998e-05]]","[[0.680359220888938, 0.680359220888938, 0.68898530403597, 0.7120439156889196, 0.7567125147675278]]",0.7793044380115957,0.8876005584593026,0.7878347513772659,0.9999523137200182,0.9999773831194454,0.9999547667504141,0.8431044240658533,0.920419926906003,0.847172841845652,0.10486231765198806,0.5095345677727342,0.25962547575534706,0.5759350560184797,0.7634221467423491,0.5828133741366968
8,772246,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,"[[1.0, 1.0, 0.009999999999999998, 0.0009999999999999998, 0.0009999999999999998]]","[[0.728459921082526, 0.728459921082526, 0.7332632754900893, 0.7623927482849542, 0.8047518776370886]]",0.8097922560027409,0.9016226411427484,0.8129233870212252,0.9993930970101847,0.9997121306217114,0.9994243441122017,0.8414510920683593,0.9245216468118795,0.8547402754237498,0.22961996469958013,0.5666881870692594,0.32113550136384394,0.5522524927200785,0.7631046261574848,0.5823286704629546
