split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6847091706432872, 0.6847091706432872, 0.6941657254325764, 0.6941657254325764]]",0.6985506533711013,0.8376578779304978,0.7016707204590248,0.9949864723695678,0.9977805601084162,0.9955660461302648,0.5150215898406743,0.7711983834964977,0.5947469467076112,,,,,,
1,116739,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.6367567748322978, 0.6367567748322978, 0.6402230490124144, 0.6402230490124144]]",0.6439857268257239,0.8075022336880726,0.6520598574112266,0.9941706328347978,0.9975469229729762,0.995099863532853,0.7506992753699089,0.8678233901604322,0.7531174365095458,,,,,,
2,26225,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.6555455705118495, 0.6555455705118495, 0.6631674331410653, 0.6631674331410653]]",0.6856940508137306,0.8288529550369111,0.6869972210734199,0.993899170107901,0.9973840933013725,0.9947750295706008,0.7090080209769511,0.8533550869376105,0.7282149044022969,,,,,,
3,777572,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.6365228391169817, 0.6365228391169817, 0.6403471125504047, 0.6403471125504047]]",0.6631922989425303,0.8177118312505296,0.6686526389670946,0.9922398543902029,0.9966803931412725,0.9933718060722416,0.8269959309248315,0.9100562106175937,0.828202306483654,,,,,,
4,288389,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.47722467357334875, 0.47722467357334875, 0.48047410128896073, 0.48047410128896073]]",0.5669190488881848,0.7566667693903135,0.5725445998995738,0.9936284725331841,0.9972936266544578,0.994594577765601,0.7649582928856431,0.875440108081996,0.7663953828386169,,,,,,
5,256787,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6540683657682711, 0.6540683657682711, 0.6699030707118824, 0.6699030707118824]]",0.6839629254578825,0.8292905730474556,0.6877228545453773,0.9940439308448249,0.9974225477742856,0.994851738808547,0.7831893188125283,0.8873463372693269,0.78738352226529,,,,,,
6,234053,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 1.0, 0.09999999999999999]]","[[0.6244004256218327, 0.6244004256218327, 0.6244004256218327, 0.6244004256218327]]",0.6369724386466936,0.8072254923955356,0.651612995573215,0.9941400684966446,0.9974990962494116,0.9950044470183929,0.7490351133844282,0.8844127541223663,0.7821859196543092,,,,,,
7,146316,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6167341436531517, 0.6167341436531517, 0.630372768390645, 0.630372768390645]]",0.6485026163488192,0.810783336577606,0.6573696188719156,0.9945155521383103,0.9975926055293998,0.9951910066069366,0.7033088240891875,0.8415343566014779,0.7081800733406634,,,,,,
8,772246,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.5610188806104671, 0.5610188806104671, 0.5741187982765261, 0.5741187982765261]]",0.5969998433847881,0.7826409570565088,0.6125268676623281,0.9989839927606436,0.9995824366789601,0.9991650477170472,0.6946554585206866,0.8357972329546982,0.6985570146147301,,,,,,
9,107473,rcf_ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6875903071246281, 0.6875903071246281, 0.7071367536717582, 0.7071367536717582]]",0.7068724221451459,0.8467855412985993,0.7170457529523618,0.9987056060733038,0.9994513603179642,0.9989030216414292,0.8429213609341125,0.9197114882646411,0.8458692216459611,,,,,,
