split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.42186498400346795, 0.5099810559593161, 0.707204118087962]]",0.7123934932196716,0.8515341736854779,0.7251104489542096,0.9772963966243544,0.9888822911739363,0.9778881857974138,0.8524761538528942,0.9315363059711426,0.8677598893423621,-0.16142405429870754,0.3590268449061056,0.12890027536323279,0.4763920239666195,0.7272464329317747,0.5288873742119903
1,116739,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10000.0, 10.0, 0.0009999999999999998]]","[[0.5298295952714585, 0.5509562755925115, 0.7925963092904587]]",0.8042231648365816,0.8968095869607813,0.8042674352647671,0.9301423374439772,0.9656883642898147,0.9325540169247379,0.7964328381644137,0.8954695241970662,0.8018656687657201,0.11983931420581151,0.47216242645284434,0.22293735695383765,0.685266474606754,0.8290275847690022,0.6872867363079251
2,26225,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.4935505203743789, 0.5604219853238265, 0.7863571426718728]]",0.7882762273050397,0.8905035269735255,0.7929965315522886,0.9598027027959829,0.9800533816754458,0.9605046309334769,0.8154877611957281,0.9054788412134395,0.8198919318852331,0.0674469652516193,0.44668773022164354,0.1995299283305638,0.5893239327114481,0.7677454230339085,0.5894330345895151
3,777572,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5303521245449948, 0.5497934489599489, 0.8001592744026731]]",0.8027022679549898,0.8959588403460493,0.8027422435942375,0.9382695192325997,0.9700582170614627,0.9410129444884638,0.8470092757486954,0.9203740568643398,0.847088404548923,0.2250693585401644,0.5509197547482678,0.3035125761718916,0.4671987577383979,0.6965137090150972,0.48513134684596754
4,288389,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6133583117549364, 0.6228583158273169, 0.7951246462234438]]",0.7980129480901277,0.8960552954604427,0.8029150925227013,0.9585904031401731,0.9794172875613941,0.9592582231741186,0.7906999035804919,0.901922815466457,0.8134647650589407,0.16182559285557319,0.5036563378288001,0.25366970663511845,0.42419884946872344,0.7048709276265389,0.4968430246130975
5,256787,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1e+17, 10.0, 9.999999999999998e-05]]","[[0.4888903269734829, 0.5317468675015617, 0.8005477110514917]]",0.8072175884309158,0.8996346602167407,0.8093425218632904,0.9383171932579003,0.9689050841417044,0.9387770620756433,0.8286420502153253,0.9185769111057948,0.8437835416166631,0.10602567739640822,0.45751560388917,0.20932052780207192,0.3316047078731058,0.576244655456916,0.3320579029426599
6,234053,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5096449931501812, 0.545986343234933, 0.7801733458804471]]",0.7898161715508782,0.888733178958842,0.789846663382289,0.9394349990986295,0.9707658691327918,0.9423863726731447,0.8316346103190106,0.9147260410738612,0.8367237302186593,0.18873644669863165,0.5121148643751849,0.26226163431401406,0.35940849905248473,0.7067747929652112,0.4995306079710171
7,146316,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10.0, 1.0, 9.999999999999998e-05]]","[[0.5879075965153453, 0.5879075965153454, 0.7718844052434092]]",0.7742042465748232,0.8836293332472503,0.7808007985749802,0.9826933078321649,0.9915284147986124,0.9831285973530492,0.7485963388945274,0.8711850220620695,0.7589633426652885,0.059126053899142494,0.4755047243967248,0.22610474292360522,-0.1902107466488494,0.31963264045648015,0.10216502484518152
8,772246,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5734240607917377, 0.591066899811451, 0.787303299594386]]",0.7880012647399328,0.8896227383325078,0.7914286165582297,0.9545644480513905,0.9774041807185929,0.9553189324861838,0.8783918818291477,0.9386066722954038,0.8809824852774516,0.15011345346735738,0.4954826398127835,0.24550304635584455,0.5338851777845445,0.7317116433194902,0.5354019289693089
9,107473,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1.0, 100.0, 9.999999999999998e-05]]","[[0.4377370889220945, 0.5016841969702458, 0.717232928571797]]",0.7280189135510874,0.8577049031112955,0.7356577008211569,0.9670072932386335,0.983810460950364,0.9678830230753676,0.8552644788218009,0.9258603295588963,0.857217349850908,-0.18762091828325578,0.3066772785302062,0.09405095316669368,0.6665518650280476,0.8175726102831055,0.6684249730851306
