split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 0.0009999999999999998]]","[[0.48033310274272295, 0.593714508372534, 0.7645186879884552]]",0.7719712383795562,0.8787144063057779,0.7721390078493158,0.926933655997699,0.9642936070127002,0.9298621605255638,0.8600758309412123,0.9296557477744001,0.8642598093699789,0.09579629076417873,0.43975421086947103,0.1933837659774312,0.35460729401364754,0.6479243781538608,0.41980599980606725
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.0009999999999999998]]","[[0.5750839228283178, 0.6397292545434313, 0.7404303211734957]]",0.7524457129853768,0.869530438675447,0.7560831837831152,0.9707630974585514,0.9860049116253004,0.9722056857492164,0.7968714160938476,0.8937369538971084,0.7987657427612821,-0.08704003670609306,0.4286969395807247,0.1837810660058795,0.6635210760658714,0.8217009139712406,0.6751923920211721
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 9.999999999999998e-05]]","[[0.5331238992110641, 0.6275244912727957, 0.7942916522567075]]",0.7948617776014144,0.8933438758193768,0.7980632804639861,0.9332518927782649,0.9663312340868444,0.9337960539718037,0.8294419367360888,0.9107474987322411,0.8294610064470336,0.08247821304004666,0.41410918449598244,0.1714864166839276,0.5453039545589797,0.7604118458776913,0.5782261753511178
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 9.999999999999998e-05]]","[[0.5661610760647848, 0.5661610760647847, 0.6858437081577227]]",0.6908271614837683,0.8473601096369635,0.7180191554039668,0.9974934389477954,0.998804459026857,0.9976103473719324,0.8087724747802256,0.8997169886931711,0.8094906597431077,-0.15689539201205438,0.49817207393222307,0.24817541524593234,0.35400832990062847,0.6575995390772916,0.4324371537946664
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 1.0, 9.999999999999998e-05]]","[[0.6338744663170623, 0.6338744663170622, 0.7811752813878143]]",0.7864473938744252,0.8907969852350824,0.7935192689039117,0.9765026641055027,0.9883843146080238,0.9769035533631729,0.4369140450757576,0.7818352841689163,0.6112664115714902,0.16457041610165368,0.538433203033758,0.28991031412919205,-1.5703290262253433,0.3645349468527001,0.1328857274769009
5,256787,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.5967214077072286, 0.6455961064788243, 0.7775810187505278]]",0.7848195307577521,0.8891438245187998,0.7905767406799182,0.9788682140616215,0.989611715869716,0.9793313481866035,0.7940706300233461,0.8942781278991863,0.7997333700388733,0.05580894996066388,0.47767896281298694,0.22817719151409097,0.13187287512473245,0.38356632705827065,0.14712312725297225
6,234053,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 9.999999999999998e-05]]","[[0.5426832251140775, 0.5426832251140776, 0.6827140735961187]]",0.6923575129009598,0.8497264967251108,0.7220351192367297,0.9977010947602754,0.9989048462855561,0.9978108919327704,0.7618938773227368,0.8748695821521008,0.7653967857749914,-0.07227053064526467,0.48612121181638773,0.2363138325778333,0.2904491796035805,0.6767268294739357,0.4579592017298452
7,146316,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 9.999999999999998e-05]]","[[0.5945025533139351, 0.615686417986425, 0.7992034822343974]]",0.8031334675961026,0.8977905482075392,0.8060278684507938,0.9414969577261624,0.9706255360498651,0.942113931232088,0.7997841934787382,0.8977846539588581,0.8060172848840266,0.1437416699948979,0.47677804379403466,0.22731730304406642,0.09235934876904628,0.5063600731954991,0.25640052372655125
8,772246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5825533392832207, 0.6041016682880148, 0.7790974004140985]]",0.7817468681398012,0.8844577945148254,0.7822655902780291,0.932817943057848,0.967218657644384,0.935511931695404,0.8784242212273105,0.9445974315290557,0.8922643076512892,0.13446712531099092,0.4869892480083801,0.23715852767576756,0.5777804563772397,0.7606573904784778,0.5785996656895275
9,107473,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 9.999999999999998e-05]]","[[0.5323246397473357, 0.5323246397473358, 0.675371091370117]]",0.6887319174084574,0.8492935701241942,0.7212995682542995,0.9971015126572961,0.9986165360936026,0.9972349861595854,0.7971285214850954,0.9032607294889092,0.8158799454368365,-0.21347393916152146,0.45851644263397373,0.2102373281657141,0.4880705017593069,0.7098231682457107,0.5038489301783785
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10.0, 100.0, 0.0009999999999999998]]","[[0.4989285982392607, 0.5904484024615932, 0.7666464052786607]]",0.7737126602582791,0.8796714417234222,0.7738218453837641,0.9267384115604891,0.9641729412378766,0.9296294606152977,0.863911103792173,0.9312849417287103,0.8672916426906474,0.09697851872159202,0.4404016668983784,0.19395362820687023,0.3894923434399189,0.6671168907677871,0.4450449459476796
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1.0, 10.0, 0.0009999999999999998]]","[[0.5660415062907507, 0.6367069608249695, 0.7334461199326133]]",0.7461583262802768,0.8662607001652433,0.7504076006507775,0.971122353679681,0.9861846052715493,0.9725600756746015,0.7914033236853422,0.8908300482420707,0.7935781748509699,-0.0992819476114335,0.4221125549220471,0.17817900902281822,0.6528332848420842,0.812779664594482,0.6606107831783187
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[10.0, 100.0, 0.0009999999999999998]]","[[0.5365320969441425, 0.6255479677559115, 0.7961978056142056]]",0.7973333639700315,0.8930399692232003,0.7975203866301745,0.9303408661862663,0.9657620609541129,0.9326963583783356,0.8194043450143664,0.9059633353512594,0.8207695650007785,0.1065630110190342,0.4405159717667607,0.19405432138161352,0.4940067760067345,0.7167426089844582,0.513719967533848
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.5754891404979234, 0.6158503474981882, 0.7513944852787695]]",0.7540350329443753,0.8763595958670589,0.7680061412682748,0.9757175520791826,0.9880608543788167,0.9762642519557974,0.8541668053712999,0.9251209918730392,0.8558488496041559,0.036388601387905006,0.5003533698772531,0.2503534947475232,0.5562045480815896,0.7462347294150374,0.5568662713851341
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6098506343734895, 0.6313619822129616, 0.8175286221499661]]",0.8185989979252047,0.9048276876735487,0.818713144380661,0.939925620963223,0.9708399274088009,0.9425301646511257,0.8168180110294674,0.9087173689491465,0.8257672566298592,0.2566893783208567,0.5567924867746175,0.31001787332866254,0.40716338084346704,0.6871850664682111,0.4722233155769197
5,256787,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.6049606587721581, 0.6461021054112936, 0.7730481000307654]]",0.7805380099026213,0.8870088457005003,0.786784692350934,0.9791895595087454,0.9897667634796661,0.9796382460890133,0.7918888084117142,0.893804555869979,0.7988865840939303,0.03714430472449959,0.4679292543579728,0.2189577870840084,0.18963360064121126,0.440622761401476,0.19414841786506204
6,234053,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[0.09999999999999999, 1.0, 9.999999999999998e-05]]","[[0.5506712309372326, 0.5506712309372326, 0.691559383598811]]",0.7007325680833939,0.8519896786003538,0.7258864124415342,0.9978789803791038,0.9989920006906347,0.997985017443877,0.7511440060647206,0.8675780505089485,0.7526916737249076,-0.06356450964828908,0.48494835947993575,0.235174911362281,0.29387370948654035,0.669675769293347,0.4484656359786362
7,146316,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[1.0, 100.0, 9.999999999999998e-05]]","[[0.586189619837547, 0.6039719066177713, 0.7735523205368423]]",0.7786257526763879,0.8876414840050137,0.7879074041266231,0.9679903933809855,0.9841569223370299,0.9685648477838947,0.7266493420979665,0.868705944282786,0.7546500176322469,0.06484310361928625,0.47143454893224734,0.22225053392695152,0.15843357783672207,0.5056244353240014,0.2556560695967152
8,772246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5660188619525652, 0.6137190588741676, 0.795860049580139]]",0.7968804397328871,0.8931056166959681,0.7976376425738855,0.9348652896647699,0.9682257689471534,0.9374611396533065,0.8663404241524734,0.9372428675663792,0.8784241928040494,0.19298177857911458,0.5144261551036309,0.2646342690547049,0.5510506524778801,0.7424755113276149,0.5512698849212032
9,107473,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,"[[0.09999999999999999, 10.0, 9.999999999999998e-05]]","[[0.49550088512521107, 0.5113206244360036, 0.6877442405052946]]",0.6967546228105399,0.8523441564652197,0.7264905610604069,0.9942141857927932,0.9972029351189768,0.9944136938099023,0.7665819195346653,0.8936192155996499,0.7985553024889335,-0.15739217947444262,0.4587800657882289,0.21047914876465162,0.39501149567346294,0.6634782493544107,0.4402033873663936
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 9.999999999999998e-05]]","[[0.5922818341817351, 0.592281834181735, 0.7300533100369957]]",0.7381479736950751,0.8651254736591416,0.7484420851739542,0.9879242474913031,0.9940986431047467,0.9882321122226986,0.754091141877925,0.9040115239809118,0.8172368354902906,-0.010548888168045334,0.469441464682214,0.22037528876298235,-0.02818179414846811,0.5690850527448106,0.32385779725756386
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.0009999999999999998]]","[[0.6063537724010044, 0.6557844240372359, 0.7530989985683592]]",0.7657724980980368,0.8758132688080387,0.7670488818202218,0.97250175558366,0.9868186286136174,0.9738110057788605,0.7891043464209612,0.8890737739602108,0.790452175543852,-0.0015491306540533767,0.43761223319510834,0.19150446664200987,0.5553144410358437,0.754569066996768,0.5693744768683728
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.554788297712037, 0.6327083822011922, 0.74943686970785]]",0.7542286300068637,0.8753012751428217,0.7661523222666498,0.9767975727319185,0.9885837888930391,0.9772979076621169,0.8293741236323908,0.9110426484193516,0.8299987072389462,-0.07861623886421598,0.40775897460441785,0.16626738137044628,0.6237938722473494,0.7901432587736302,0.624326369385412
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6206567711746762, 0.6484791782468642, 0.7887801199668201]]",0.79194807679109,0.8926967209644988,0.7969074356207683,0.9541798672454751,0.9771827640314703,0.9548861543201842,0.8688337072397356,0.9324671706769336,0.8694950243902457,0.18717228473239345,0.5242104856288112,0.2747966332431941,0.4333743242797309,0.6618419362101773,0.43803474852643637
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6469502283046588, 0.7094990701654167, 0.812677041701337]]",0.8166562323121774,0.9044135864950968,0.817963935436924,0.9570884351985647,0.9786586955025461,0.9577728422827453,0.832854510659033,0.916598614002764,0.840153019191788,0.23976692582878734,0.5323846034542539,0.2834333659951431,0.6204694967579423,0.8018230270841287,0.6429201667623553
5,256787,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 9.999999999999997e-06]]","[[0.5873112446950088, 0.5873112446950088, 0.7322688335500278]]",0.7462916534103249,0.8746775428664202,0.7650608039948383,0.9980992556186002,0.9990758646864448,0.9981525833989674,0.7446356989908143,0.86296244722903,0.7447041853275165,-0.06801052101429672,0.4786231501097481,0.22908011982097845,0.08290097925574258,0.3581274394006963,0.12825526285169941
6,234053,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5622393329977282, 0.6367658528088291, 0.7743441833241574]]",0.7816479124968221,0.8855141237360691,0.7841352633360582,0.9545049864399716,0.9773458493541253,0.9552049092497366,0.8409641220514027,0.9183426387117236,0.8433532020760113,0.16853303370349426,0.4935695234517882,0.2436108744804253,0.4190435440030794,0.6756471484603248,0.45649906922256817
7,146316,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5690385377039239, 0.6272300031256759, 0.7820092045889806]]",0.7812083671254506,0.8841406047378948,0.7817046089462903,0.9382788903899779,0.9698700544297145,0.9406479224794975,0.8290516990341005,0.9136736011184693,0.8347994493807918,0.07383742313448849,0.44149769339239675,0.19492021327080677,0.3673465193024632,0.6082601096313112,0.3699803609686947
8,772246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6196713563150387, 0.6694008446100643, 0.793256532470797]]",0.7934305422235519,0.8920731516817321,0.7957945079513785,0.9512799531001016,0.9756982147426736,0.9519870062520404,0.8853473653035369,0.9442218149803427,0.8915548358847726,0.17653213531199263,0.4942065429221178,0.24424010706703106,0.5112986674587947,0.7158826350858627,0.5124879472174785
9,107473,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5911219101773045, 0.6636697396376526, 0.7923326121753297]]",0.7997592809916518,0.8964806956535544,0.8036776376794807,0.9534322050918611,0.9767634657780073,0.9540668680786645,0.8392733322345117,0.9206054514244387,0.8475143971923946,0.1352220555540966,0.4879596619593636,0.23810463169949636,0.6218015243339922,0.7932027566950312,0.6291706132285968
