split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[10.0, 100.0]]","[[0.3786464885589734, 0.4111062557653935]]",0.4218615897298964,0.6540454362507312,0.4277754326804093,0.8985289140239836,0.9577019252605024,0.9171929776476728,0.6346673725960585,0.8082480544007452,0.65326491744259,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[1.0, 1.0]]","[[0.445963667281306, 0.445963667281306]]",0.49487666542535913,0.7246745479790472,0.5251532004886363,0.9966208078885608,0.9985916497540404,0.997185282958496,-2.5465052593578207e+25,0.12823671420786745,0.016444654870830272,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[10.0, 10.0]]","[[0.45228794742505585, 0.4795821382902722]]",0.48527087957663506,0.7045093575396816,0.4963334348609749,0.9369638145950111,0.9731709274596743,0.9470616540527226,0.547926065661137,0.740447500428067,0.5482625008901723,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[1.0, 1.0]]","[[0.43120418706838937, 0.43120418706838937]]",0.5182140141550939,0.7380516694854202,0.544720266830216,0.9967962692411396,0.9986768750255168,0.9973555007107318,0.4990183090207543,0.7716953695973593,0.595513743458005,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[1000.0, 10.0]]","[[0.315285947884315, 0.4175864579429532]]",0.4589763465187552,0.6779199603208813,0.4595754726014653,0.7672026201353592,0.8869137551899215,0.7866160091450881,0.3399851152159238,0.5862279995960723,0.34366326751041254,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[100.0, 10.0]]","[[0.4093956244112154, 0.4397851036171632]]",0.4518743152575512,0.6744402441038636,0.45486964286687914,0.8288738434693884,0.9234096400735671,0.8526853633807947,0.5537857037379375,0.7587602049888365,0.5757170486747011,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[1.0, 10.0]]","[[0.48168168816708795, 0.49671482806264455]]",0.5260492677301322,0.7424218962769978,0.5511902720715334,0.9920978387523082,0.9967137533479729,0.9934383061130037,0.449203599035211,0.6972263044251124,0.48612451958229946,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[1.0, 10.0]]","[[0.4790482330643414, 0.4841338165395855]]",0.49663945961106937,0.7209386598398533,0.5197525512516836,0.991506345246295,0.9964131538373641,0.9928391731401225,0.5280098725758624,0.7614460275165063,0.579800052820668,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[10.0, 1.0]]","[[0.3764029542358427, 0.3764029542358427]]",0.4264743585676174,0.6734489126020051,0.45353343788482314,0.9771836464832262,0.990460433269427,0.9810118698722611,0.6795628293440117,0.8287350519197645,0.6868017862804547,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[1.0, 1.0]]","[[0.5293760063043342, 0.5293760063043342]]",0.5418670660145163,0.7531488269149764,0.5672331554834051,0.9961938982346963,0.9984550970892064,0.9969125809034166,0.7872988725058574,0.8877773309563279,0.7881485893599415,,,,,,
0,670487,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,276,220,56,"[[10.0, 1.0]]","[[0.5205075720474188, 0.5205075720474188]]",0.5480315438418266,0.7545764340244697,0.5693855947850849,0.9840328432133543,0.9930055013747476,0.9860599257605139,0.5481237178896005,0.8352902395535758,0.6977097842934701,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,276,220,56,"[[10.0, 1.0]]","[[0.5799041978981776, 0.5799041978981776]]",0.616279337101161,0.7919205537450056,0.6271381634437962,0.9840558263745586,0.9929423733631583,0.9859345568200616,0.3471241791958949,0.6918273850739388,0.47862513073824403,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,276,220,56,"[[10.0, 1.0]]","[[0.5546944307781313, 0.5546944307781313]]",0.5759333830455181,0.7713303368552209,0.5949504885531886,0.9838443606957334,0.9928620523421628,0.9857750549810917,0.6965264850211016,0.8356263818736523,0.6982714500832511,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,276,220,56,"[[10.0, 10.0]]","[[0.5296256627814078, 0.5401632948252448]]",0.5578228606592487,0.7511339163994069,0.5642021603655111,0.9544895787186393,0.9804432818811107,0.9612690289858031,-2.38887709028912e+25,0.13298691569741156,0.017685519746710447,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,276,220,56,"[[1000.0, 1.0]]","[[0.5064440254810757, 0.5064440254810757]]",0.5860171389089682,0.7784555827370573,0.6059930942944914,0.955776706489932,0.9793500231817556,0.9591264679061051,0.618348719515097,0.8096721776081023,0.6555690351926463,,,,,,
