split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 100.0, 0.09999999999999999]]","[[0.6262593037266446, 0.694789161928113, 0.7666906948846283]]",0.7816465289522515,0.884463877891008,0.7822763512939999,0.9400271440075458,0.9714973801239212,0.9438071595876426,-195.26600821706958,-0.06478967102606299,0.004197701471665466,0.12493239509633824,0.4452131899723186,0.19821478452532787,-2.67525527981462,-0.004565903238834124,2.0847472386395942e-05
1,116739,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100.0, 100.0, 0.009999999999999998]]","[[0.573033142026644, 0.6934040000515681, 0.7753850200251636]]",0.7755984859176781,0.8807128706056769,0.7756551604504919,0.8933485246653721,0.9460523687889543,0.8950150844911915,0.8257563484990863,0.910274406843087,0.8285994957535339,0.03384213673491099,0.2839519061248499,0.08062868499193557,0.49315319186319373,0.7655666175474,0.5860922459029669
2,26225,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100.0, 100.0, 0.09999999999999999]]","[[0.5458339206612594, 0.6518226916468702, 0.7410251371858327]]",0.7527865147210562,0.8679547001737461,0.7533453615536975,0.8882340418871083,0.9459143319692825,0.894753923424894,0.7897315660337108,0.8886858007227739,0.7897624524062778,-0.08146644323847108,0.18119707355038414,0.03283237946322332,0.24982576014765356,0.5326789964854823,0.2837469132967805
3,777572,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 100.0, 0.009999999999999998]]","[[0.645162585084776, 0.7146689399129559, 0.7825491425960535]]",0.7869368146234051,0.8880630108850405,0.7886559113022035,0.943247971131278,0.9718859281239371,0.9445622572853267,-11.014345133985705,0.08365472436761347,0.006998112909021382,0.01716844055967104,0.34575886627563884,0.1195491936082151,-37.27724789504805,0.23404827774888748,0.05477859631722038
4,288389,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100.0, 100.0, 0.09999999999999999]]","[[0.5816103057591676, 0.6579398632078565, 0.7396086198307599]]",0.7469586683073297,0.864817941187431,0.7479100713996669,0.8843491740013107,0.9438158046219719,0.8907882730542203,-0.9336279804481831,0.47446927942658595,0.2251210971195837,-0.02213965985416455,0.22926779604063122,0.052563722301328476,-11.941838418086949,0.2355993048893275,0.055507032464334305
5,256787,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 10000.0, 0.009999999999999998]]","[[0.5571997355606143, 0.7226036690678265, 0.7998969679482064]]",0.8027785479106271,0.8964216888426917,0.8035718442275835,0.9354738958717851,0.9679520857669807,0.9369312403406483,-7.605230137168322,0.07057799648376568,0.004981253587662441,0.14260200215373786,0.4340826660296697,0.18842776094742578,-30.534912370476896,-0.01974003855896511,0.0003896691223094294
6,234053,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 100.0, 0.09999999999999999]]","[[0.6401416867561769, 0.719509058762801, 0.7780992144595944]]",0.783829731933279,0.8854611727741694,0.7840414884906074,0.9376522871296982,0.970294596137258,0.9414716032931646,-88.89613332899678,-0.04786148284550683,0.0022907215401707444,0.09964377272316649,0.42567695131740074,0.18120086688287676,-471.062426312012,0.3037091246409995,0.09223923239020215
7,146316,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6616524883860633, 0.7232989086145629, 0.7883327885693099]]",0.7957230184834853,0.892497667139958,0.7965520858502674,0.9422087101493118,0.9713953328564003,0.9436088926951968,-270.5357174758081,0.027743851854023647,0.0007697213156980114,0.14325414203017972,0.4464796560436106,0.19934408326082084,-1399.6645681084779,0.1476637332075915,0.02180457810480276
8,772246,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6259151264492895, 0.6988903330741864, 0.7552504358727988]]",0.7709035052076013,0.8793556806568741,0.7732664131035143,0.9443974747364222,0.9724875928694906,0.9457321182850961,-13.280646695281842,0.10128575263822877,0.010258803687492466,0.023245060161732778,0.34565187755468635,0.11947522045707988,-9.795484988935302,0.1567190060354763,0.02456084685274766
9,107473,rcf,False,ZMB,2016-2022,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[[100.0, 100.0, 0.009999999999999998]]","[[0.5795274108656814, 0.6932288564629323, 0.7789525667155395]]",0.7888978148080137,0.8882524677524414,0.7889924464683019,0.8965940580177415,0.9477780673036836,0.8982832648619059,0.7862860131666605,0.8906571469350082,0.7932701533864088,0.10223655399049825,0.3555964524013716,0.12644883696044096,0.15720089061881004,0.41579279982850287,0.17288365238922546
