year,district,split,observed,predicted
2017,Chadiza,val,0.08529937368543739,0.05411448709392855
2018,Chadiza,val,-0.14227036031162804,-0.05488332917810113
2019,Chadiza,val,-0.008177799096902083,0.01596321419107484
2020,Chadiza,val,0.05563018980761636,0.05746430283775287
2021,Chadiza,val,0.05452728745231439,-0.03242758858178626
2017,Chama,val,0.04952194102600632,0.03959763428937207
2018,Chama,val,-0.043836185457490184,-0.014604879966861163
2019,Chama,val,-0.017122818128681383,-0.03189916008798169
2020,Chama,val,0.06215156054406096,-0.022590396341539094
2021,Chama,val,0.06571082492852626,-0.027442120631789975
2017,Chavuma,val,-0.01242421553577333,0.027126217769775758
2018,Chavuma,val,-0.03871561926978212,0.05504724708709939
2019,Chavuma,val,-0.15688900928295585,-0.09169562710680372
2020,Chavuma,val,0.020765888502522145,0.03616819971484072
2021,Chavuma,val,0.12304610059548338,0.06356204536224817
2017,Chibombo,val,0.023658590012316405,0.06224490290786961
2018,Chibombo,val,0.012249962681184723,0.022457558359616832
2019,Chibombo,val,-0.15218726589584697,-0.14013071846862185
2020,Chibombo,val,-0.01458371625716881,-0.0678078170050627
2021,Chibombo,val,0.039036597466846734,0.0298151892489014
2017,Chiengi,val,-0.044073255707390124,0.055059317159481834
2018,Chiengi,val,-0.04033033135808156,-0.01324216961156728
2019,Chiengi,val,-0.014224826206661156,0.07763667603705895
2020,Chiengi,val,0.04911110621528597,0.10683533121588522
2021,Chiengi,val,-0.015442112714791345,0.010433767427375
2017,Chililabombwe,val,-0.08861688755559372,-0.04102601330287621
2018,Chililabombwe,val,-0.018182574832474874,-0.02081130733062475
2019,Chililabombwe,val,-0.008046739459111052,0.012579586275599424
2020,Chililabombwe,val,0.0019528593796006577,-0.016513564325401082
2021,Chililabombwe,val,0.12251069499143918,0.07586388642773159
2017,Chilubi,val,0.07177876218263068,0.04272204626168967
2018,Chilubi,val,-0.004252398685485326,0.030946924742231485
2019,Chilubi,val,0.053913051604069784,-0.009111802256468621
2020,Chilubi,val,-0.07179418558608508,-0.0018978061026729575
2021,Chilubi,val,-0.002857167735820898,-0.0014900227134317843
2017,Chingola,val,-0.053977591498097666,-0.018739620964443045
2018,Chingola,val,-0.07320735090563657,0.018227282483906725
2019,Chingola,val,-0.05937810115219566,0.005448626942745338
2020,Chingola,val,-0.007916342904599305,-0.01593462738585602
2021,Chingola,val,0.1913712602062546,0.07831682309298366
2017,Chinsali,val,0.06672188621414998,0.10764418340734126
2018,Chinsali,val,-0.00835722040516429,-0.009259587380777534
2019,Chinsali,val,-0.0500104368714408,0.0015841252682031219
2020,Chinsali,val,-0.01728867621466823,-0.03025083176054156
2021,Chinsali,val,0.028550987081559898,-0.019723271620679272
2017,Chipata,val,0.008510319327628468,0.04370055661895479
2018,Chipata,val,-0.02797152360163213,-0.0002313486195177801
2019,Chipata,val,-0.04748836788119465,-0.046305434470572414
2020,Chipata,val,0.04348630170907841,-0.010027287183198607
2021,Chipata,val,0.05130519243434972,-0.016439236109685073
2017,Choma,val,0.10992595138816114,0.07606265735101202
2018,Choma,val,-0.02750872955904954,0.04101465125210723
2019,Choma,val,-0.3001630538629537,-0.15940406566699739
2020,Choma,val,0.05999103323829014,0.0029758387887179856
2021,Choma,val,0.08072057258733473,0.02277302914717965
2017,Chongwe,val,0.07497185944833279,0.10600130860245481
2018,Chongwe,val,-0.0032454558291505897,0.032160105808180586
2019,Chongwe,val,-0.25472122135480657,-0.09246136653480617
2020,Chongwe,val,0.04390074716583675,0.03143448213717679
2021,Chongwe,val,0.05541265157069836,0.025717674283042245
2017,Gwembe,val,0.14094445571894448,0.15375947787717187
2018,Gwembe,val,-0.06468779210532538,0.07244604952810328
2019,Gwembe,val,-0.3178981005293946,-0.13237393803234793
2020,Gwembe,val,-0.012257303072055414,-0.00127229360268156
2021,Gwembe,val,0.10655692532023314,0.1033711065698622
2017,Isoka,val,0.0010913836746365702,0.03581959901019367
2018,Isoka,val,0.0024858513235125335,0.011741023475281307
2019,Isoka,val,-0.01596019848335606,-0.018315884196872422
2020,Isoka,val,-0.04588476689976706,-0.0657651337357414
2021,Isoka,val,0.03795036698570642,0.02283886766799953
2017,Itezhi-Tezhi,val,0.10849131050277427,-0.006000781305511306
2018,Itezhi-Tezhi,val,0.024681655291172666,-0.003445214432091656
2019,Itezhi-Tezhi,val,-0.17432656490304568,-0.14174773237890015
2020,Itezhi-Tezhi,val,-0.08345212021139065,-0.08198875576473821
2021,Itezhi-Tezhi,val,0.11839843281076307,0.11315253592868812
2017,Kabompo,val,-0.005649822170014307,0.010719867639248589
2018,Kabompo,val,-0.03120810295419052,0.03866489764008802
2019,Kabompo,val,-0.039176993640744784,-0.027023891242299956
2020,Kabompo,val,0.024030893468514614,0.029885440754914686
2021,Kabompo,val,-0.005185021447468019,0.006140049744285385
2017,Kabwe,val,0.08904440412194048,0.005766373382931641
2018,Kabwe,val,-0.11163104287007775,-0.07505819379463932
2019,Kabwe,val,-0.05326998584509346,-0.0898468314302688
2020,Kabwe,val,-0.04359991997020157,-0.004246838850417614
2021,Kabwe,val,0.10282780358350396,0.04358331521268613
2017,Kafue,val,0.09088321030193741,0.0892562666605111
2018,Kafue,val,-0.022702568022281988,0.07407841892607012
2019,Kafue,val,-0.2688443727420989,-0.1385704527569711
2020,Kafue,val,0.0002884655163847838,0.010628122419395586
2021,Kafue,val,0.09420630322591222,0.0821499747843892
2017,Kalabo,val,0.023070442897192178,0.09517873984910748
2018,Kalabo,val,0.038598443829940376,0.12990423385436203
2019,Kalabo,val,-0.10878659022366097,-0.06813738967405346
2020,Kalabo,val,0.002612291179727305,0.030086728248711517
2021,Kalabo,val,0.059765374830681395,0.029755373847561974
2017,Kalomo,val,0.09890229191628802,0.05358786164768561
2018,Kalomo,val,0.02630596399457119,0.036297397278284654
2019,Kalomo,val,-0.2762795135684883,-0.16593865606514618
2020,Kalomo,val,0.03036021034544578,0.00579854058828798
2021,Kalomo,val,0.05721859991909439,0.04974538162852662
2017,Kalulushi,val,-0.010500617207333529,0.007361831074748233
2018,Kalulushi,val,-0.07598909493075501,-0.010753751731151324
2019,Kalulushi,val,-0.021637039739426767,0.03353964973781232
2020,Kalulushi,val,0.06327595057251756,-0.03433279501812213
2021,Kalulushi,val,0.04505269059552908,0.046418729395003216
2017,Kaoma,val,0.029177350165041582,-0.005059456030737368
2018,Kaoma,val,0.047794117807854586,0.0578096060502742
2019,Kaoma,val,-0.19278199271633187,-0.0892048812044768
2020,Kaoma,val,0.008484411602664776,0.04640464081026885
2021,Kaoma,val,0.015883881459369364,0.016831825067973885
2017,Kapiri Mposhi,val,0.04201220402918271,0.030770239915777875
2018,Kapiri Mposhi,val,-0.02497022563804896,-0.011687103579951131
2019,Kapiri Mposhi,val,-0.046461244603382856,-0.009154029994581439
2020,Kapiri Mposhi,val,0.041255181284408304,-0.00768164251431668
2021,Kapiri Mposhi,val,-0.07688655585399984,-0.08840892949446845
2017,Kaputa,val,-0.0792723197804106,-0.02309257618177301
2018,Kaputa,val,-0.03393434227548425,0.08494440168683569
2019,Kaputa,val,0.02175801277608308,0.06862383663207211
2020,Kaputa,val,-0.028645855624484684,0.06886638930257988
2021,Kaputa,val,0.01937429461662815,0.02740048149863874
2017,Kasama,val,0.0058043477422586864,0.012347062626761184
2018,Kasama,val,-0.05323975496659539,-0.003654992511051596
2019,Kasama,val,-0.004789934420981301,0.0031368829123112744
2020,Kasama,val,-0.007924805668567347,-0.08777423338356577
2021,Kasama,val,0.09237997436698309,0.027847966049229032
2017,Kasempa,val,-0.05847432690445131,-0.026291026210428038
2018,Kasempa,val,-0.0123892235008225,0.009930025352617031
2019,Kasempa,val,-0.03218352689461501,-0.021453206437462815
2020,Kasempa,val,0.07769686328418246,0.03163989923683859
2021,Kasempa,val,0.005485956624108446,0.017000042902755308
2017,Katete,val,0.048724506391325195,0.047766771482258295
2018,Katete,val,-0.10258391751339696,-0.05440790511523541
2019,Katete,val,-0.005174424237560427,-0.06096674684116221
2020,Katete,val,0.04736130820916251,0.025964965094534824
2021,Katete,val,0.06871359987716652,0.04064827663150436
2017,Kawambwa,val,-0.0018241418086254457,-0.02005122742421906
2018,Kawambwa,val,-0.01622604910455816,-0.01670696467691147
2019,Kawambwa,val,-0.045043567813305985,-0.03480222002068869
2020,Kawambwa,val,0.03605226979287024,-0.03393885272020701
2021,Kawambwa,val,0.033763155079649776,-0.030924497376738448
2017,Kazungula,val,0.14713097884618226,0.06074845076721394
2018,Kazungula,val,0.023386332586354086,0.05136776965862267
2019,Kazungula,val,-0.23909026401563774,-0.19709242690313128
2020,Kazungula,val,-0.010039563865596068,-0.05719761692603673
2021,Kazungula,val,0.07955266432408731,0.07350547327889853
2017,Kitwe,val,-0.009680301420970538,0.03217245242696725
2018,Kitwe,val,-0.028395098600322966,-0.026257357043449503
2019,Kitwe,val,-0.0653799092305336,0.007595412006568698
2020,Kitwe,val,0.027489861722217568,-0.022677872961890104
2021,Kitwe,val,0.05876301963168096,0.030859366810285734
2017,Livingstone,val,0.04615647028358913,-0.07286235367936766
2018,Livingstone,val,-0.01190323992345435,0.0031604409484363317
2019,Livingstone,val,-0.2126097085340825,-0.23135259476568332
2020,Livingstone,val,-0.012821939099029261,-0.059729356012973606
2021,Livingstone,val,0.3015609824627298,0.11108773086393449
2017,Luangwa,val,0.023438904977644295,0.058026878155499256
2018,Luangwa,val,-0.05450931301429984,-0.03551973793739627
2019,Luangwa,val,0.001202173945985846,0.007930978990964269
2020,Luangwa,val,0.02213055257213488,-0.041233179372389225
2021,Luangwa,val,0.08642633822063105,0.023731702307122703
2017,Luanshya,val,-0.00902983522204126,0.005067280503856557
2018,Luanshya,val,0.0005985000627477532,-0.057624405960548984
2019,Luanshya,val,-0.0012279963243518877,-0.035870341471431574
2020,Luanshya,val,0.048718311810202364,-0.06594103420557457
2021,Luanshya,val,0.010687558574882794,0.03578893127054971
2017,Lufwanyama,val,0.02079527811646631,0.08733946975114587
2018,Lufwanyama,val,-0.08515628507349104,-0.028205837672372523
2019,Lufwanyama,val,-0.020554426242923696,0.015649287530421153
2020,Lufwanyama,val,0.0014043852264460366,-0.001230154955626104
2021,Lufwanyama,val,0.02183472150532295,0.022067695226038436
2017,Lukulu,val,0.057551504881494464,0.018304821683905008
2018,Lukulu,val,0.016134118328287206,0.07024236834488114
2019,Lukulu,val,-0.19419049796771773,-0.11264535786163689
2020,Lukulu,val,0.01930147257357262,0.02147666917205813
2021,Lukulu,val,0.03882877088724962,-0.007514403640328898
2017,Lundazi,val,0.08521602032329867,0.03221095208808062
2018,Lundazi,val,-0.0195823192971456,-0.0035694648901633003
2019,Lundazi,val,-0.030232015469764284,-0.048611724253833456
2020,Lundazi,val,0.004463857331457488,-0.04225378988231781
2021,Lundazi,val,-0.009002150436804968,-0.06871617133301197
2017,Lusaka,val,-0.044385177747291504,-0.037705945296912076
2018,Lusaka,val,-0.04890191108766134,0.029710916345060685
2019,Lusaka,val,-0.18433729165297597,-0.07465686616812675
2020,Lusaka,val,0.06649683969186704,-0.033235046257952545
2021,Lusaka,val,-0.07463079546867857,-0.04205087804263426
2017,Luwingu,val,0.02225829185385142,0.08382956237732869
2018,Luwingu,val,0.00929590629734045,0.03873688617148781
2019,Luwingu,val,-0.03901335025629438,0.0034245791857614
2020,Luwingu,val,-0.052900445653144446,-0.062018658780718314
