split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 9.999999999999995e-18]]","[[0.6230944150652585, 0.6882523433126989, 0.8138086019431903]]",0.8212509320670928,0.9075122387253843,0.823578463436359,0.9719707653897857,0.9860882703525851,0.9723700769269529,0.8198459014286839,0.9060156589246597,0.8208643742166853,0.19931036018946446,0.5248364610935216,0.27545331089317154,0.39327106773511633,0.6382598164537757,0.4073755932996075
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5627982698330664, 0.6501958268833852, 0.776288403361848]]",0.7858730554072951,0.8869573618252038,0.7866933616959255,0.942252916851453,0.9718926981979157,0.9445754168104248,0.8520092911895417,0.9280923660179343,0.8613554398607673,0.153068430988214,0.492484364756112,0.2425408495292312,0.6544629946431884,0.8162176519591662,0.6662112553697346
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[10.0, 100.0, 9.999999999999998e-05]]","[[0.6039018566619251, 0.661591195578757, 0.8004283751525095]]",0.8031016497931122,0.8970838548012737,0.8047594425451128,0.9547522096665116,0.9774653884292086,0.9554385855770636,0.8374884417545052,0.9153831539666644,0.837926318565958,0.1657659702068558,0.49930528488339515,0.2493057675124884,0.35570153133993776,0.627024604233726,0.39315985431446066
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5847712986813681, 0.6473795597160652, 0.7748214799054259]]",0.7771907701887402,0.8821013556246704,0.7781028015948812,0.9435441560915366,0.9725518194883467,0.9458570415900937,0.8419345239046816,0.9197124743259565,0.8458710354307731,0.10597450761666583,0.45151158835280447,0.20386271441687237,0.18863434237327303,0.5365788376101831,0.28791684897109526
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.5872939141838657, 0.6830015592300238, 0.7864859073189127]]",0.7925941403899759,0.8907381724063947,0.7934144917818842,0.9643393079380647,0.9828163403624008,0.9659279588833425,0.8209004213072493,0.9086759127855727,0.8256919144766937,0.02743648321126857,0.4340907630050576,0.1884347905263131,0.5711138582759732,0.7564714538872523,0.5722490605462933
5,256787,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[0.09999999999999999, 10.0, 9.999999999999997e-06]]","[[0.5633878420953409, 0.5662787854408438, 0.6792500989306538]]",0.6987758541809632,0.8523792956012387,0.7265504635696639,0.9994529069633542,0.9997372969325401,0.9994746628779818,0.6080351391239773,0.8259762115512709,0.6822367020485898,-0.19028276506489772,0.4405231041510729,0.194060605290897,-1.899143978356968,0.08926082196254974,0.007967494337430001
6,234053,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[10.0, 100.0, 0.0009999999999999998]]","[[0.5805656060339175, 0.6727446294373653, 0.770057661118973]]",0.7773235711531867,0.881720441372075,0.7774309367333666,0.9530045421563308,0.9772952970701783,0.9551060976754879,0.7993996752354015,0.8980319157974315,0.8064613217908051,0.12069477835011766,0.4782581237393595,0.2287308329226925,0.5848551288390137,0.7910643635489149,0.6257828272770497
7,146316,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[10.0, 100.0, 0.0009999999999999998]]","[[0.5936463360592749, 0.6487623125424751, 0.7806122260204519]]",0.798228810592373,0.8935129392974971,0.7983653726920528,0.9554701362489598,0.9785997368582914,0.9576574449791171,0.7508231892993951,0.8684785218196206,0.7542549428619932,0.1111967284796237,0.4717138861271711,0.22251399036519773,0.4816939073181282,0.7320185768059132,0.5358511967889547
8,772246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[0.09999999999999999, 1.0, 9.999999999999998e-05]]","[[0.60182385106664, 0.60182385106664, 0.7161309484931746]]",0.718317172259735,0.8518423237773657,0.7256353445784223,0.9996826380698709,0.9998526562921851,0.9997053342945385,0.6979870639831075,0.8522615338781735,0.7263497221283771,-0.015428439328624366,0.4995851650504577,0.24958533713849304,0.1139949714886952,0.6204322293054768,0.38493615116096375
9,107473,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,414,331,83,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.5996063675091764, 0.6451554291006595, 0.7263205696556335]]",0.7331816792536578,0.8648294691215103,0.7479300106609933,0.99259107276777,0.9964237653995889,0.9928603202530949,0.7193850327843895,0.8614507283993619,0.7420973574597911,-0.10311955208011936,0.4904613081254957,0.24055229476817244,0.2571200237085919,0.5934829878772363,0.3522220568996918
