,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,reg_param,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1000.0,0.5552962364428737,0.8504417653485203,0.9280680536028044,0.8613103121180978,0.6531168403159617,0.8088105412837588,0.6541744916917269,0.4155561857444853,0.6668212175510042,0.4446505361762037
1,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,100.0,0.5499443824570495,0.9688511642706666,0.985437574896429,0.9710872140177552,0.6908239058832759,0.8352151344790466,0.6975843208628519,0.6853738192564441,0.8343613473680704,0.696158857981862
2,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,426,340,86,10000.0,0.5945009728536169,0.8426911508192578,0.9231788018560282,0.8522591001963318,0.6204719123035127,0.7992791378977258,0.6388471402785317,0.5376414318935523,0.7339568373184152,0.5386926390464506
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,1000.0,0.635486628538502,0.9013938584975137,0.9521377508918549,0.9065662966733999,0.723400669415791,0.8562040673269956,0.7330854049072905,0.6131262064703462,0.7834288988369185,0.6137608395328267
4,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,426,340,86,1000.0,0.5971583301643429,0.9657847830110387,0.9841822922916231,0.968614784460394,0.6711781476430925,0.8308825755169517,0.6903658542976828,0.7490867098494677,0.8660016626447871,0.7499588797035356
5,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,432,345,87,1000.0,0.6571980040319415,0.9319094923849423,0.9680779744884717,0.937174964689702,0.7183327700959783,0.8500878288451393,0.7226493167506429,0.6842451136226309,0.8274271489208992,0.6846356867713679
6,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,504,403,101,1000.0,0.58361405995821,0.8632749447103466,0.9358139133663859,0.8757476804501095,0.6207338260617221,0.7898297378329677,0.6238310147652946,0.47188979370179374,0.7073520375214689,0.5003469049857736
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,497,397,100,1000.0,0.6447103221658712,0.9377260624613551,0.9705324238244015,0.9419331856944677,0.7299202859596041,0.8557547158181003,0.7323161336449175,0.6439200513874186,0.8043074842932385,0.646910529290118
8,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,1000.0,0.6572172268764629,0.915364175545765,0.959591540438697,0.9208159244815114,0.7485326349989428,0.871760591552184,0.7599665289834138,0.6328676588255615,0.7955647154606855,0.6329232164860416
9,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,432,345,87,1000.0,0.6356208727744165,0.9264946450586656,0.9664197635673404,0.9339671594135541,0.7321376324237279,0.8562574780271128,0.7331768686773517,0.6921651143923064,0.8332486320636195,0.6943032828358933
10,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.6432966282934715,0.9309873254082752,0.9679623442329947,0.9369510998530345,0.663701805703413,0.8185822940117682,0.6700769720695688,0.6498544200669708,0.808131247965094,0.6530761139376201
11,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.6583801999222629,0.9280729091603489,0.9658942225776123,0.93295164920881,0.7361363808514851,0.8610076100033579,0.7413341044836944,0.6868669095822495,0.8291543442942972,0.687496926662106
12,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,432,345,87,1000.0,0.6335496697581814,0.9268779110935977,0.9666436627086373,0.9343999706547698,0.7338867199794303,0.8573963662074223,0.7351285287856922,0.69419193841134,0.8343856174502603,0.6961993586078521
13,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,432,345,87,1000.0,0.6041054456986744,0.9137612400702158,0.9598014111079461,0.9212187487648047,0.7027313241898758,0.8388055699215098,0.7035947841313488,0.6713071070547665,0.8221443838510742,0.6759213878978625
14,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,282,225,57,1000.0,0.7001341086906269,0.9736945444794054,0.9881047694970949,0.976351035502907,0.6034055714180802,0.7857565145335926,0.6174133001319799,0.6875649317902872,0.8307981553643801,0.6902255749568565
15,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,False,False,True,432,345,87,1000.0,0.6457064456607213,0.9356563720649039,0.9698722645677661,0.9406522095778068,0.6631754923162865,0.8193068803810211,0.6712637642396807,0.6462445333567259,0.809526462394643,0.6553330933171854
16,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,False,False,False,432,345,87,1000.0,0.6209178986495612,0.9255267118371995,0.9645834712550008,0.9304212730183469,0.6310644499495889,0.8013161829941912,0.64210762512838,0.627249970221741,0.800625510257414,0.6410012076749445
17,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.5971631509179934,0.91580533604866,0.9598830511818679,0.9213754719462124,0.6915550665389787,0.8316098321015116,0.6915749128479044,0.5627493820390014,0.7555305277703874,0.5708263783930002
18,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,288,230,58,1000.0,0.585699801515896,0.9745932004403595,0.9888109663198134,0.9777471271143231,0.7924285751825867,0.8929427995742667,0.797346843311529,0.804233756781101,0.8985616098259267,0.8074129666529609
