,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,True,497,397,100,1000.0,0.659060236642701,0.662471316737687,0.8169685493822175,0.6674376106796848,0.9439320722266056,0.9737144486743686,0.9481198275572297,0.7492611449550381,0.8674873114360452,0.7525342355025381,0.6605001508775064,0.8136344060457132,0.6620009467013606,1000.0,0.4948057920000822,0.5613464875592654,0.7517297356626849,0.56509759547949
1,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,497,397,100,1000.0,0.6447103221658712,0.6481628858733117,0.8091209407224697,0.6546766967156142,0.9377260624613551,0.9705324238244015,0.9419331856944677,0.7299202859596041,0.8557547158181003,0.7323161336449175,0.6439200513874186,0.8043074842932385,0.646910529290118,10000.0,0.4752522470488037,0.5327901152071255,0.730178323594248,0.5331603842469063
2,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1000.0,0.5552962364428737,0.5646981975530505,0.7529366753020886,0.5669136370149629,0.8504417653485203,0.9280680536028044,0.8613103121180978,0.6531168403159617,0.8088105412837588,0.6541744916917269,0.4155561857444853,0.6668212175510042,0.4446505361762037,10000.0,0.35491197286261716,0.4192505776854659,0.6489308068846267,0.42111119212393266
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,1000.0,0.5216713543142283,0.5316387271887564,0.7323868686080326,0.5363905253094796,0.8219990607578722,0.911878326337845,0.8315220820447095,0.606923756468216,0.779997621018236,0.6083962887941077,0.3761424706184061,0.6492156991230498,0.42148102398783027,10000.0,0.33468377508494046,0.40212232705615814,0.6357797809059056,0.4042159298087613
4,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,1000.0,0.6614598148236046,0.6736231146169117,0.8208582516191444,0.6738082692512386,0.9366099990649637,0.9708429635955256,0.942536059962943,0.6901500355713832,0.834452514826977,0.6963109995010663,0.6599534036536363,0.8137777104718108,0.6622341620607424,1000.0,0.536362816885941,0.5968232337407473,0.7728800796664665,0.5973436175452437
5,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.6439865367938625,0.6573931411471423,0.8110960073849247,0.6578767331957659,0.9276560705060244,0.9662073759351263,0.9335566933114424,0.6680796151349652,0.8215972188949208,0.6750219900958684,0.6435114603764163,0.8049743934816818,0.6479837741612015,1000.0,0.5072946836754828,0.5742215018617033,0.7585837988198103,0.5754493798318945
6,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1000.0,0.6562483246028282,0.6666672793355861,0.8165341182875839,0.666727966327682,0.913722323622216,0.9598042361195761,0.921224171673083,0.7070298177728587,0.8420000061809473,0.7089640104087153,0.6147717035972194,0.7861626368143699,0.6180516915229229,1000.0,0.4602119822196621,0.542947769997558,0.7431870928365878,0.552327054958899
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,1000.0,0.629094193077466,0.6408047090535447,0.8006312783294572,0.6410104438394608,0.8992077159595765,0.9521578189157004,0.9066045121223038,0.6758111342560633,0.8228788657442457,0.6771296276885364,0.5918448664815965,0.7733946125891531,0.5981392267819262,10000.0,0.4376763222493752,0.5020314180633609,0.7098890828272725,0.5039425099173461
8,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,1000.0,0.6490194161956253,0.6540553810964529,0.809783236691316,0.6557488904262639,0.9476969046688977,0.9757415141431746,0.9520715024224149,0.7482978436324059,0.8682212731971959,0.7538081792321598,0.7032645106534084,0.8386152939427122,0.7032756112346216,1000.0,0.4489438404341216,0.538110799695285,0.7422434753479754,0.5509253766966405
9,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,490,392,98,1000.0,0.634892409430762,0.6402682430110095,0.8017018405071475,0.6427258410725478,0.9425291756922505,0.9731353761020085,0.9469924602211975,0.7301072970882292,0.8567566276277053,0.7340319189839986,0.6891584959905757,0.8302363468339217,0.6892923916041359,10000.0,0.4338176224044957,0.49943357886902684,0.7097942379911804,0.5038078602854804
