,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,True,497,397,100,1000.0,0.659060236642701,0.662471316737687,0.8169685493822175,0.6674376106796848,0.9439320722266056,0.9737144486743686,0.9481198275572297,0.7492611449550381,0.8674873114360452,0.7525342355025381,1000.0,0.4948057920000822,0.5613464875592654,0.7517297356626849,0.56509759547949,0.6605001508775064,0.8136344060457132,0.6620009467013606,0.8208421364361878,0.9090058475993685,0.8262916309698464
1,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,497,397,100,1000.0,0.6447103221658712,0.6481628858733117,0.8091209407224697,0.6546766967156142,0.9377260624613551,0.9705324238244015,0.9419331856944677,0.7299202859596041,0.8557547158181003,0.7323161336449175,10000.0,0.4752522470488037,0.5327901152071255,0.730178323594248,0.5331603842469063,0.6439200513874186,0.8043074842932385,0.646910529290118,0.5585140019907984,0.7512415174586541,0.5643638175535812
2,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1000.0,0.5552962364428737,0.5646981975530505,0.7529366753020886,0.5669136370149629,0.8504417653485203,0.9280680536028044,0.8613103121180978,0.6531168403159617,0.8088105412837588,0.6541744916917269,10000.0,0.35491197286261716,0.4192505776854659,0.6489308068846267,0.42111119212393266,0.4155561857444853,0.6668212175510042,0.4446505361762037,0.290167324910242,0.5452735113459547,0.297323202175547
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,1000.0,0.5216713543142283,0.5316387271887564,0.7323868686080326,0.5363905253094796,0.8219990607578722,0.911878326337845,0.8315220820447095,0.606923756468216,0.779997621018236,0.6083962887941077,10000.0,0.33468377508494046,0.40212232705615814,0.6357797809059056,0.4042159298087613,0.3761424706184061,0.6492156991230498,0.42148102398783027,0.2840703341574121,0.5411848357864117,0.29288102648516545
4,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,432,345,87,1000.0,0.6614598148236048,0.6736231146169118,0.8208582516191443,0.6738082692512384,0.9366099990649641,0.9708429635955259,0.9425360599629437,0.6901500355713841,0.8344525148269778,0.6963109995010676,1000.0,0.5363628168859386,0.5968232337407454,0.7728800796664652,0.5973436175452416,0.6599534036536367,0.813777710471811,0.6622341620607427,0.7752714777467273,0.8827896707542784,0.7793176027904473
5,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,432,345,87,1000.0,0.6439865367938623,0.6573931411471422,0.8110960073849246,0.6578767331957657,0.9276560705060246,0.9662073759351263,0.9335566933114424,0.6680796151349657,0.8215972188949209,0.6750219900958685,1000.0,0.5072946836754807,0.5742215018617011,0.758583798819809,0.5754493798318924,0.6435114603764167,0.8049743934816818,0.6479837741612015,0.7628793398845074,0.8748353892248544,0.7653369582402024
6,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1000.0,0.6562483246028282,0.6666672793355861,0.8165341182875839,0.666727966327682,0.913722323622216,0.9598042361195761,0.921224171673083,0.7070298177728587,0.8420000061809473,0.7089640104087153,1000.0,0.4602119822196621,0.542947769997558,0.7431870928365878,0.552327054958899,0.6147717035972194,0.7861626368143699,0.6180516915229229,0.7170643715588372,0.8483328271463211,0.7196685856140699
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,1000.0,0.629094193077466,0.6408047090535447,0.8006312783294572,0.6410104438394608,0.8992077159595765,0.9521578189157004,0.9066045121223038,0.6758111342560633,0.8228788657442457,0.6771296276885364,10000.0,0.4376763222493752,0.5020314180633609,0.7098890828272725,0.5039425099173461,0.5918448664815965,0.7733946125891531,0.5981392267819262,0.4756555850450207,0.6916508500081986,0.47838089831706365
8,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,1000.0,0.6490194161956253,0.6540553810964529,0.809783236691316,0.6557488904262639,0.9476969046688977,0.9757415141431746,0.9520715024224149,0.7482978436324059,0.8682212731971959,0.7538081792321598,1000.0,0.4489438404341216,0.538110799695285,0.7422434753479754,0.5509253766966405,0.7032645106534084,0.8386152939427122,0.7032756112346216,0.8204416645396503,0.9082957188454115,0.8250011128729028
9,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,490,392,98,1000.0,0.634892409430762,0.6402682430110095,0.8017018405071475,0.6427258410725478,0.9425291756922505,0.9731353761020085,0.9469924602211975,0.7301072970882292,0.8567566276277053,0.7340319189839986,10000.0,0.4338176224044957,0.49943357886902684,0.7097942379911804,0.5038078602854804,0.6891584959905757,0.8302363468339217,0.6892923916041359,0.556666995094315,0.7480126151987319,0.559522872496446
