,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,426,340,86,10000.0,0.5925096069500482,0.6395779775904553,0.8004439291275749,0.6407104836771902,0.8412933935227775,0.9224612200237675,0.8509347024477376,0.6209923128206473,0.7997116393561402,0.6395387061216853,426,340,86,10000.0,0.49700099595102554,0.5317075698594227,0.7297610591000263,0.5325512033787921,0.8173786387350849,0.9104765821892817,0.8289676067150759,0.5310420633915336,0.791238266480094,0.6260579943424243,0.5403519388891188,0.7358634080673083,0.541494955332434,-10.785273820980295,0.7105523727813247,0.5048846744651706
1,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,426,340,86,10000.0,0.5924486542353943,0.6395209336508062,0.8004072418484537,0.640651752803449,0.8412417100074008,0.9224314177241166,0.8508797204045238,0.6209190171155952,0.7996729739841674,0.6394768653206828,426,340,86,10000.0,0.49690959771318405,0.5316236630227298,0.7297018779228216,0.5324648306440924,0.8173105494794967,0.9104362000216252,0.8288940743098167,0.5309873541853898,0.7911931665888389,0.6259866268568741,0.540315413481548,0.7358401325147563,0.5414607006193342,-10.78632333962679,0.7105273378606467,0.5048490978473376
2,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,497,397,100,1000.0,0.6081746098194533,0.6114478345709387,0.7844992720811327,0.615439107895827,0.9229087902865974,0.9636271063736636,0.9285772001380799,0.7143453828139508,0.8474602357200145,0.7181888511266226,497,397,100,10000.0,0.4077275841067489,0.44488478393019437,0.6671764286304419,0.44512438692007117,0.756992419635715,0.8801477427504141,0.774660049068649,0.40208200579491826,0.6712312487993155,0.4505513893646886,0.5925008778330256,0.7725225503950166,0.596791090868821,-12.87376484319475,0.6013092157065034,0.36157277289357026
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,497,397,100,1000.0,0.6079094388981867,0.6111853585615172,0.7843496177779801,0.6152043229084634,0.9227827106130224,0.9635611199477853,0.9284500318750302,0.7139976652665481,0.847238250239893,0.7178126526695555,497,397,100,10000.0,0.40758126548184737,0.4447493830098146,0.6670736458405098,0.44498724897494984,0.7568947942417614,0.8800870031479242,0.7745531331098944,0.4019310302017256,0.6711279797145523,0.4504127651557365,0.5921499475730322,0.7723269499562729,0.5964889176287593,-12.87641449378822,0.6012704552026288,0.3615261602995764
4,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,282,225,57,1.0,0.6456486282438065,0.6509934926211295,0.8088568292554493,0.6542493702331791,0.9999999608114895,0.9999999832012155,0.9999999664024314,0.8017261225244474,0.8955732182023962,0.8020513891613967,282,225,57,10000.0,0.5644727322750408,0.5918683922675578,0.773875072562718,0.5988826279339521,0.8800250721654359,0.9439957318662324,0.8911279417816638,0.5121147376407285,0.7506045947170581,0.563407257610359,0.8613753323748307,0.9297235815423259,0.8643859380758899,-9.689964366426533,0.741019662238373,0.5491101398238725
5,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,282,225,57,10.0,0.6454976479398485,0.6508316980799891,0.8087375036062048,0.6540563497391961,0.9999961425115808,0.9999983462206851,0.9999966924441052,0.8015232714799052,0.895462313777837,0.8018527553963575,282,225,57,10000.0,0.5644088056762192,0.5918096190372883,0.7738364174515583,0.5988228009742624,0.8799864372541152,0.943974266498962,0.8910874158122533,0.5120840642741289,0.7505815431107877,0.5633726528585713,0.8614759027219889,0.9296866842116073,0.8643173308003728,-9.690443244443454,0.7410050478958567,0.5490884810071409
6,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,True,504,403,101,1000.0,0.6135656432656597,0.6259929961364956,0.7913495134492922,0.6262340524364315,0.8609669345814324,0.9322711140392872,0.8691294300720537,0.6486451563980218,0.8081064028234596,0.6530359582842715,504,403,101,10000.0,0.39939229056618936,0.4565729783679442,0.6886708084011813,0.4742674823439366,0.6543797055720837,0.8203847245700113,0.6730310963078133,0.26783205752603567,0.7252408575644661,0.5259743014808422,0.5860769767163411,0.7726212079257181,0.5969435309365957,-14.386255872583801,0.63735256241877,0.40621828882177213
7,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,504,403,101,1000.0,0.6127418849497438,0.6251991157662588,0.790855450899585,0.6254523442175859,0.860431628815442,0.9319686301551585,0.8685655275932826,0.6475773477604807,0.8074059036399299,0.6519042932326118,504,403,101,10000.0,0.39912976022657953,0.45634170038519173,0.6884851282128804,0.4740117717703064,0.6541573736408031,0.8202291431130577,0.6727758472119809,0.2675267887334506,0.725010151803384,0.5256397202179659,0.5855059358188577,0.7723315859038934,0.596496078584823,-14.388898490613629,0.637317540063918,0.4061736468731238
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,497,397,100,1000.0,0.5829718158388137,0.5922409180487602,0.7730844524013849,0.5976595705447492,0.9196534938929304,0.9621927782446004,0.9258149425060627,0.7448506608625984,0.8658328757004974,0.749666568643793,497,397,100,10000.0,0.35195110964858767,0.42768289411217497,0.6662302135543607,0.44386269745268914,0.7404789382906707,0.870766646500901,0.758234552658425,0.41879480123710333,0.6669671442728833,0.44484517153952513,0.6599091632319878,0.8163186268406212,0.6663761005269573,-12.368826153473439,0.6915777514970621,0.4782797863657322
9,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,497,397,100,1000.0,0.5824289367468983,0.5917098082509316,0.7727776863322051,0.597185352492956,0.9194510586017841,0.9620861742556772,0.9256098066939253,0.744406956176527,0.8655441694982949,0.7491667093524931,497,397,100,10000.0,0.3517362923733442,0.42749694895760504,0.6660975032541454,0.4436858838414062,0.7403399612163917,0.8706778161937393,0.7580798596118988,0.41860578662478376,0.6668071934305764,0.4446318332107621,0.6595024373374172,0.8161132029443221,0.6660407600200403,-12.370710774129853,0.6915387056674668,0.47822578143623523
