,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,True,490,392,98,10000.0,0.614762543168138,0.6206149048761702,0.7881677449588088,0.6212083941934539,0.8177416758173903,0.9111783744864994,0.8302460301318594,0.606772602476006,0.7853980941261443,0.6168501662569797,490,2940,490,1000.0,0.5402130781576708,0.7537004390833414,0.45074987722738,0.6957138607172815,0.4840177759941449,0.9322236466177998,0.9709867726152579,0.9027749252474874,0.9525822031913261,0.907412853836841,0.4167693464957223,0.6823538691170753,0.4656068026990427,0.5531388296535871,0.7438610985323901,0.5533293339098142,-0.6995813416341834,0.055512076661654045,0.0030815906552893557
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,490,392,98,10000.0,0.6146814180458947,0.620534547161926,0.7881151623580931,0.6211255091387234,0.8176654185883205,0.9111332595218748,0.8301638166069562,0.6066515613033183,0.785309573514022,0.6167111262527751,490,2940,490,1000.0,0.5399693203236451,0.753525692948284,0.45042668516652495,0.69551644916339,0.4837431310568504,0.9321197401079736,0.9709324930451284,0.902677851907519,0.9525311616953168,0.9073156140006298,0.41637721841139774,0.6821076719614398,0.4652708761486552,0.5531041906691652,0.7438369408458104,0.5532933945668537,-0.7001241801035805,0.05569408315894837,0.003101830898915856
2,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,1000.0,0.6218210073959864,0.6318142415321242,0.7960898901291368,0.6337591131658211,0.8739639514214546,0.9378454517568958,0.879554091381096,0.6811692472469886,0.8346836187775307,0.6966967434555542,504,3024,504,1000.0,0.552935054603542,0.7465038735664937,0.5055436228276649,0.7158260508826854,0.5124069351223008,0.8784411028196233,0.9404587934625499,0.8760626002541246,0.9390071146761465,0.8817343614124218,0.5643261018544793,0.7539661933048464,0.568465020646601,0.611313631384973,0.7832974918617696,0.6135549607569389,-0.28328455402610486,0.2260371222746154,0.05109278064618943
3,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,1000.0,0.6211636433179107,0.6311712928491116,0.7957102240527975,0.6331547606621531,0.87349576010791,0.9375832395966082,0.8790623311724708,0.6803038218303348,0.8341030386068469,0.6957278790131751,504,3024,504,1000.0,0.5521943272200938,0.7460185896515491,0.5047582610219192,0.7153303056790528,0.511697446222887,0.8779457680703735,0.9401826351797565,0.875562354562359,0.9387277584056107,0.8812098044012227,0.5634052321327043,0.7534008174714926,0.5676127917667133,0.6108577154792774,0.7830341795465854,0.6131425263381941,-0.2837545436655404,0.22646228969894788,0.051285168655690196
4,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,288,230,58,1000.0,0.6556974834003142,0.6676150588238876,0.8178345365923988,0.6688533292433037,0.9728879892155716,0.9878899925084352,0.9759266372983162,0.796700413117028,0.8943424315100899,0.7998483847993798,288,1440,288,10000.0,0.6517266255235765,0.8083578378653244,0.6209443348405632,0.788231776232617,0.6213093330628263,0.9502409744102014,0.9789667603800017,0.9356200432877284,0.9700305564280212,0.9409592804040563,0.6163411877028315,0.786521065378938,0.6186153862848196,0.7938273781651887,0.8931266510471921,0.7976752148107729,-0.36484215282190924,0.11208741148245688,0.012563587812837606
5,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,288,230,58,1000.0,0.6555800452834811,0.6675133872564452,0.8177749834738465,0.6687559235956498,0.9728623944157975,0.9878776693037742,0.975902289509057,0.7965828815320196,0.8942718266531287,0.7997220999455233,288,1440,288,10000.0,0.6516442732064971,0.8083049059555982,0.6208535810391931,0.7881750051986738,0.6212198388199295,0.9502096174711991,0.9789513543825206,0.9355882570755474,0.9700145954835473,0.9409283154511099,0.6162109871673542,0.786445438342918,0.6184964274903845,0.7937604990153324,0.893081268037677,0.797594151319785,-0.3650473474806766,0.11224951020821425,0.012599952541983995
6,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,432,345,87,1000.0,0.6358941705608403,0.65515492820976,0.8122152454188772,0.6596936048908469,0.8984867554055567,0.9507985582104126,0.9040178982949993,0.6306452956793518,0.8129993159349015,0.6609678877106178,432,2160,432,1000.0,0.5352432333084615,0.7410105706651646,0.4575353305679619,0.686548925212715,0.4713494267107342,0.8080635397400734,0.9076364470255619,0.7916584464171651,0.8957069148895817,0.8022908773810122,0.49187942054640954,0.7092472223912492,0.503031622469702,0.6533811791109246,0.8124540065826159,0.6600815128121453,-0.3916157883579674,0.2551302720975328,0.06509145574056113
7,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,432,345,87,1000.0,0.6353729840107695,0.6546722696198026,0.8119468392384999,0.6592576697493904,0.898158195986257,0.9506184893844049,0.9036755123594878,0.6298055343300673,0.812586921051572,0.6602975042640737,432,2160,432,1000.0,0.5349842603244844,0.7408309028824792,0.4572522144730977,0.6863663932473737,0.4710988257794084,0.8078400273301606,0.9074998744058436,0.7914486406931198,0.8955807319016009,0.8020648473534072,0.4913931400846493,0.7089645663078644,0.5026307562800982,0.6530537261576088,0.8122910589587126,0.6598167644642666,-0.39218461481502254,0.25526426164572713,0.06515984327353824
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,490,392,98,1000.0,0.5699158787970363,0.5825540306909047,0.7647381593464164,0.584824452360545,0.8557169371203753,0.9294944789796477,0.8639599864536467,0.5414611179707893,0.7377723081070772,0.544307978609644,490,2940,490,100000.0,0.32493234405114646,0.597069303958767,0.16432054419984488,0.44697666566027877,0.19978813964478062,0.7111719330165751,0.9210060019330759,0.5847210444131687,0.7737544339197819,0.5986959240105222,-0.3724678530698877,0.31433934120930024,0.09880922143189688,0.5392091611965976,0.7427796444122327,0.5517216001531627,-3.066605798477257,0.08684320689210552,0.007541742583305044
9,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,490,392,98,1000.0,0.5692251008919814,0.5818757748730852,0.7643222887863194,0.5841885611355577,0.8551732633879405,0.9291853679257422,0.863385447967297,0.5405821799200055,0.7372147683673979,0.543485614698996,490,2940,490,100000.0,0.32428770707828813,0.5962185537516943,0.1626670764234952,0.4458511968887152,0.1987832897670999,0.7107324066958767,0.920674300954812,0.584410047718533,0.773549901061387,0.5983794494320817,-0.37500008420019215,0.31376899719561696,0.09845098360114309,0.538762046366269,0.7425486039049806,0.5513784291612357,-3.074434179835179,0.0871296442023578,0.0075915748988294625
