country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,426,340,86,1000.0,0.6825934576708025,0.6937848021050558,0.8338463211348325,0.6952996872700942,0.9689509459100888,0.9858936578846491,0.9719863046571735,0.7158171630969142,0.8509854004835554,0.7241761518361572,0.760014330029149,0.8722968178842744,0.7609017384910309
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,False,426,340,86,1000.0,0.674051270712303,0.6853760085542577,0.8290476276579339,0.6873199689252483,0.9666052906830072,0.9847438421603246,0.9697204346726783,0.698115820451372,0.8410531606870738,0.7073704191017168,0.7506631282546495,0.8672857513449503,0.752184574485975
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,426,340,86,1000.0,0.603376274640928,0.6541783805130146,0.8109653691711666,0.6576648299949265,0.9685012320323863,0.9856435452230898,0.9714931982399412,0.6496146405872731,0.8188010202400183,0.6704351107460949,0.7553037088686247,0.8698298353178793,0.756603942409129
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,426,340,86,1000.0,0.5915402263418648,0.6428787335102266,0.8043839205610146,0.6470334916571087,0.9658704378865317,0.9843610810610051,0.9689667379075906,0.6268685019867766,0.8080551199849358,0.6529530769338691,0.7467487189177874,0.8653724852237737,0.7488695381823706
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,True,490,392,98,1000.0,0.6307659100698965,0.6392836479996419,0.8033094045704514,0.6453059994713332,0.9280172432719554,0.9653913312169565,0.9319804223888475,0.6207758627294226,0.7896656542674607,0.6235718455296568,0.5967064179158847,0.7757042750316723,0.6017171223024123
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,490,392,98,1000.0,0.6152508274134485,0.6233470365930678,0.7942538657323631,0.6308392032308027,0.9179067614703015,0.9600782929751825,0.9217503286421405,0.5935515686691509,0.7740872663339363,0.5992110959003465,0.5772947414383274,0.7650964974481368,0.5853726504074068
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,1000.0,0.683940062176488,0.6875031015345157,0.8305990268432998,0.6898947433930366,0.9319144463767404,0.9679022483085961,0.9368347622808352,0.7198473710230457,0.8562909471494897,0.7332341861701702,0.5959254969635834,0.7734743969814271,0.5982626427857822
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,1000.0,0.6521658166952581,0.6564386305676551,0.8131039050704223,0.6611379604407703,0.9207109333040914,0.9621306970511596,0.9256954782081502,0.6991404825439808,0.8447793506612261,0.7136521513036028,0.5751196836466492,0.7618191621497997,0.5803684358186229
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,420,336,84,1000.0,0.6144322542266336,0.6164532164482075,0.7901294839547387,0.6243046014145817,0.9400728041221813,0.9723154389358879,0.9453973127930884,0.5448618502174831,0.7505519254195899,0.5633281927510537,0.6677286472785514,0.8260170924742499,0.6823042370596135
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,420,336,84,1000.0,0.583658724813276,0.5865798621125665,0.7738723864433078,0.5988784704994603,0.9287543276912391,0.9664312329475537,0.9339893280165289,0.5069899765338133,0.7300649253655346,0.5329947952489835,0.6473787678841636,0.8168333233767411,0.6672166781786917
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,1000.0,0.659972081836375,0.6647720188235752,0.8170879263387469,0.6676326793685535,0.9531363813294115,0.9782394248095795,0.9569523722517769,0.6197511950173551,0.7958600275477143,0.6333931834482487,0.6018239640950672,0.7806970315284334,0.6094878550373077
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,639,511,128,1000.0,0.6402397878304896,0.6455252715463493,0.80612045357806,0.6498301856768971,0.9478414482877202,0.9756065018657049,0.9518080464826376,0.5868703445618273,0.7790547248516678,0.6069262643137079,0.5774565708349358,0.7680521375669648,0.5899040860211838
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,True,497,397,100,1000.0,0.6142692353124887,0.6165946124505954,0.7872373511636015,0.6197426470670836,0.9282295029203558,0.966965988907545,0.9350232237039465,0.7237761463502159,0.8553533963051904,0.731629432570824,0.6208162940567199,0.790208971371598,0.6244302184361589
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,False,497,397,100,1000.0,0.5964367342151735,0.5989313223295678,0.7769852546371747,0.6037060859235952,0.9201031200589505,0.96282130453386,0.9270248644642839,0.6967613317648484,0.8374748872294066,0.7013641867399072,0.5969355264472123,0.7774247460116763,0.6043892357113194
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,490,392,98,1000.0,0.5836378385645492,0.5913308487578798,0.7723581837702055,0.5965371640368106,0.9157176344834691,0.9605322660956496,0.9226222342108438,0.706843970461002,0.8445088090142255,0.7131951285026257,0.6394453383725904,0.79986131402332,0.639778121671112
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,490,392,98,1000.0,0.5582362105600952,0.5663278010681033,0.7575220429265325,0.5738396455195873,0.9018957817866678,0.9532164394040642,0.9086215803501619,0.6799335091259284,0.8266787454361189,0.6833977481558354,0.6190969934278647,0.7877772485943664,0.6205929934029101
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,497,397,100,1000.0,0.6340386983183371,0.6406451825498131,0.8021477079996456,0.6434409454490847,0.9381695521547169,0.9711930333175659,0.9432159079645747,0.7364812371517213,0.8590005842267658,0.737882003701925,0.6652565702441758,0.81925150688244,0.6711730315291486
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,497,397,100,1000.0,0.6084654102738565,0.6156588921916448,0.7877561170134103,0.6205596998920458,0.9290687946517263,0.9664916051704355,0.9341060228649251,0.7099744420886405,0.8446848825649264,0.7134925508337234,0.6448478331341285,0.8092473249032831,0.6548812328631198
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,1000.0,0.6349155966556357,0.654762847386794,0.8108146685313607,0.6574204267056204,0.9345352018236373,0.9692950251473091,0.9395328457753227,0.6563272030874006,0.8171534338610054,0.6677397344708325,0.6430097820363501,0.8066935428099916,0.6507544720113357
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.6096353055846591,0.631180584857316,0.7972289427931077,0.6355739872270163,0.924200674565705,0.9638849101282411,0.9290741199729273,0.6252243422291439,0.7994904423824032,0.6391849674608108,0.6249308400136191,0.7979413269475348,0.6367103612507927
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,True,497,397,100,1000.0,0.6159023277371729,0.6195977069015356,0.7896337678176194,0.6235214872778501,0.9263351168230848,0.9657658307347247,0.9327036398147328,0.719139967635753,0.8505058922068169,0.7233602726785137,0.5920895845055758,0.7722408160923842,0.5963558780390315
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,False,497,397,100,1000.0,0.5980950685839785,0.6020921716723601,0.7797835038921832,0.6080623129423705,0.9178802431045145,0.9613937031395101,0.9242778524363005,0.6957609857328944,0.8356093686925178,0.6982430170467081,0.5686392528869417,0.7594379204630328,0.5767459550372158
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,490,392,98,1000.0,0.626651652797175,0.6384199311830792,0.8000863414741004,0.6401381538134108,0.8955095897340513,0.9492994171168994,0.9011693833384848,0.6273427144782452,0.7949769379438344,0.6319883318625551,0.5446491672348048,0.7436642225460866,0.5530364758950753
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,490,392,98,1000.0,0.6003154513184461,0.6120157803731796,0.7843125627584759,0.6151461961007683,0.8758548770247392,0.9386059928588765,0.8809812098305972,0.5849552011214268,0.7714011152047318,0.5950596805391039,0.5167829165226403,0.7290307991374618,0.5314859060910062
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,True,426,340,86,1000.0,0.7106593736510801,0.719747914170083,0.8491242579788544,0.72101200548814,0.9633202055545592,0.9828264147983059,0.9659477616252916,0.6906930974893488,0.8336707382306517,0.6950068997820399,0.7498400973049926,0.8689077964818493,0.755000758786943
