country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,432,345,87,1000.0,0.6952178909833553,0.7139040568827879,0.8452279948152814,0.7144103632194614,0.931713807268066,0.9679919879959328,0.9370084888243181,0.7299302944392355,0.8625581726134133,0.7440066011421909,0.720696278099653,0.8489397086209358,0.7206986288733994
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,432,345,87,1000.0,0.6718047768664983,0.6928885661300246,0.833090762969118,0.6940402193444671,0.9192443429896339,0.9614309497709185,0.9243494711774104,0.6944852140283072,0.8446294791982605,0.7133989571307248,0.7054960671549098,0.8402229343632699,0.7059745794300237
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,432,345,87,1000.0,0.5997483223683958,0.6148733112041442,0.7854882670517086,0.6169918176758963,0.9143783239225535,0.9593987846580773,0.9204460280033957,0.6389862926210588,0.8004947881686516,0.6407919058851744,0.5986846145888636,0.7738665708049415,0.5988694694093996
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,432,345,87,1000.0,0.5782604043042804,0.5940622039693039,0.7730981154267491,0.5976806960763911,0.9019535011840543,0.9527423273322478,0.9077179422904681,0.6060666025910919,0.7791182129577618,0.6070251897624963,0.5815507336467185,0.7633158491867046,0.58265108561962
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,426,340,86,1000.0,0.6589542942138042,0.6708586468208192,0.8206109196421314,0.6734022814359046,0.959273203945247,0.9812264428759232,0.9628053321989374,0.6957509968994324,0.8360929130593884,0.699051359268134,0.7216568353180439,0.8517634095593636,0.7255009058641921
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,426,340,86,1000.0,0.6457066757232327,0.6575711522629597,0.8129821587030733,0.6609399903695091,0.9549187268520837,0.9790395087227892,0.9585183596401605,0.6697143562451506,0.8197451219172569,0.6719820649071384,0.7031098985076323,0.8422363931556763,0.709362141955883
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,276,220,56,10000.0,0.7042087281218097,0.7042221935911191,0.8411182338275702,0.7074798832772111,0.8892315450313681,0.9482216403718484,0.899124279269479,0.5624616969416699,0.7734487848287329,0.5982230227530436,0.5983907990779598,0.7735646508451711,0.5984022690372115
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,276,220,56,10000.0,0.7024061517418934,0.7024367581989391,0.8399965997562892,0.7055942876021274,0.8878572433842217,0.9474750651653986,0.8977089991101763,0.5588567507123512,0.7708705743380512,0.5942414423802769,0.5970259186305542,0.772688995930605,0.5970482844322466
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,432,345,87,1000.0,0.6647284129479502,0.6811746333700659,0.8254626087430806,0.6813885184329322,0.9285184287586311,0.9668080963867368,0.9347178952389458,0.6714700688877822,0.8212881181360052,0.6745141729913808,0.6648829279850546,0.8169930170688735,0.6674775899393006
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,1000.0,0.6392001429921604,0.6560038121124385,0.8104835071217691,0.6568835153164028,0.9159652900884281,0.9602217610050454,0.9220258303076305,0.6197067315534188,0.790968957171317,0.6256318912086807,0.6332201247023026,0.80009499619933,0.6401520029432058
