split,random_state,variables,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 0.09999999999999999, 1000000000.0]]","[[0.5217544649105792, 0.5297119250119058, 0.5356916057031609]]","(0.5742717320023734,)",0.7835071671773544,0.6138834810182827,0.9988278930430252,0.9994772388924653,0.9989547510641061,-0.0049378440835632365,0.6138522268624526,0.3768145564239919,,,,,,
1,116739,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.4385953302226535, 0.4385953302226536, 0.47850712293767045]]","(0.5280101446520452,)",0.7398118828524449,0.5473216220096797,0.9862895832178762,0.9940153445927922,0.9880665052859273,0.6089220322613487,0.796398985744827,0.6342513444953892,,,,,,
2,26225,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1000000000.0]]","[[0.3655034509276639, 0.3655034509276639, 0.4330542134345265]]","(0.50991058714801,)",0.7317159906591906,0.5354082909863607,0.9715812746496342,0.9872525893457529,0.9746676751698938,0.6635569985269292,0.8189941934752142,0.6707514889461166,,,,,,
3,777572,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 1000000000.0]]","[[0.44328343514168933, 0.44328343514168933, 0.45576334111360567]]","(0.4596411823668829,)",0.725133074017953,0.5258179750347262,0.9969291111939514,0.9986553016931322,0.9973124115998009,0.6533487810341061,0.8223560110364305,0.6762694088877499,,,,,,
4,288389,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 1000000000.0]]","[[0.4680497320086309, 0.5018313322762974, 0.5448321872344026]]","(0.5628126421971018,)",0.761893496152521,0.5804816994795116,0.9525408341713643,0.97877045626758,0.9579916060622466,0.5294200637415074,0.7442704007188627,0.5539384293862165,,,,,,
5,256787,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.4791632718449431, 0.47916327184494334, 0.49016132783691824]]","(0.5132712233298096,)",0.7470393675992588,0.5580678167431006,0.9857191395303703,0.9935993534601747,0.9872396751964772,0.5343024876732407,0.7382518516413746,0.5450157964519182,,,,,,
6,234053,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1000000000.0]]","[[0.486302394793403, 0.486302394793403, 0.5253080481796889]]","(0.5460859863497898,)",0.7574472518338218,0.573726339310609,0.9720051575716426,0.9872126423228742,0.9745888011621111,0.4618638269623604,0.7300380865643313,0.5329556078345101,,,,,,
7,146316,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.48243457554374897, 0.48243457554374897, 0.4980524538273019]]","(0.5054957141979384,)",0.7279694750151608,0.529939556553849,0.9875329454565285,0.9944912112806595,0.9890127693144735,0.30716771768018203,0.6073210036545127,0.3688388014799246,,,,,,
8,772246,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 0.09999999999999999, 1.0]]","[[0.47080698002034227, 0.4723591516597696, 0.4723591516597699]]","(0.49176272984834624,)",0.7411607661067453,0.5493192812159376,0.998833462369045,0.9994873127824317,0.9989748884130466,0.5341932948944768,0.7517322193947541,0.5651013296761627,,,,,,
9,107473,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 1000000000.0]]","[[0.41346183938049696, 0.4134618393804971, 0.45118055293914117]]","(0.49520647869603474,)",0.7341686716528166,0.5390036384364613,0.9848673633267422,0.9933485804872879,0.98674140235611,0.681508977562147,0.8283274753414333,0.6861264064055127,,,,,,
