split,random_state,variables,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.5239870992541548, 0.5301403138357594, 0.5318972177632967, 0.5377661118541027]]","(0.5771475711222924,)",0.7850487110013886,0.6163014786449418,0.9988495152730783,0.9994865992837763,0.9989734621478479,0.010340610317490784,0.6178364571770835,0.38172188781713007,,,,,,
1,116739,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.4427370092791575, 0.44273700927915743, 0.4564311607561683, 0.494298920837034]]","(0.5484634602744085,)",0.7515561077081971,0.5648365830334953,0.9866510880691144,0.9941415318062603,0.9883173852620977,0.6474650380498856,0.8169515714560479,0.6674098701045061,,,,,,
2,26225,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1000000000.0]]","[[0.3660878432311976, 0.3660878432311975, 0.36608784323119764, 0.43339673684249236]]","(0.5106996061778925,)",0.7322970415728544,0.5362589570963547,0.9719360593207556,0.9874156354377881,0.9749896371070108,0.6736334652533149,0.824576168053364,0.6799258569215696,,,,,,
3,777572,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.44622777344978193, 0.4462277734497818, 0.46492705192107203, 0.47199691242953074]]","(0.47526771557742165,)",0.7316459999806852,0.5353058692877368,0.9971382394950294,0.998729904717155,0.9974614225763374,0.6504100415208878,0.823687585694503,0.6784612388272392,,,,,,
4,288389,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.4724152161689414, 0.5134450167387798, 0.5275252797541696, 0.567876690331351]]","(0.5819485141811362,)",0.7729814107707176,0.5975002613970888,0.9559915194092412,0.9801465588538272,0.9606872768329989,0.5433080855227674,0.7512145824294908,0.5643233488547142,,,,,,
5,256787,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.4826698398630181, 0.48303174875108246, 0.5016041573896558, 0.5391278589221464]]","(0.5669364057733444,)",0.7645587663694491,0.5845501072323738,0.9532271458252942,0.9789398202346127,0.9583231716409758,0.5669078584282252,0.7538254273341065,0.5682527748954483,,,,,,
6,234053,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.49522638053620166, 0.5093587837467932, 0.5100669186695862, 0.5897803413316376]]","(0.5973781895275776,)",0.7741258026558224,0.5992707583375213,0.8698846161188722,0.9380563395564638,0.8799496961820717,0.3443930796425634,0.6441433497640898,0.41492065504530257,,,,,,
7,146316,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.48968972562858193, 0.48968972562858193, 0.5214478031590075, 0.5352707397737119]]","(0.5411882914656195,)",0.7504549964616465,0.5631827017142499,0.9888336806400752,0.995003757525221,0.9900324774893087,0.24401509443743208,0.5809771704088244,0.33753447253624413,,,,,,
8,772246,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.47608300434759315, 0.47608300434759326, 0.48820790829523225, 0.5393850297945485]]","(0.5533972859492995,)",0.7591155126407547,0.5762563615318358,0.973547802952565,0.9881823188598642,0.9765042953072582,0.6682733080274053,0.8176054945097221,0.6684787446524872,,,,,,
9,107473,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.41604467064114087, 0.41604467064114087, 0.42220454735104596, 0.458783113385507]]","(0.5041317573617721,)",0.7389648051029124,0.5460689831807853,0.9853737498233003,0.9935503965880363,0.9871423905602443,0.7256450901466945,0.8537068592413667,0.7288154015157586,,,,,,
0,670487,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.5271601659590333, 0.5271601659590334, 0.5271601659590334, 0.5373532223809121, 0.5852843033272238]]","(0.6179099402154546,)",0.7959242307307467,0.6334953810643309,0.9751869428438047,0.9887514442994052,0.9776294186041598,0.19408182608224267,0.6422488372056651,0.41248356889202886,,,,,,
1,116739,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.4443312256491276, 0.4443312256491275, 0.45833047721158965, 0.4647949617378638, 0.5023949328908418]]","(0.5553020173299144,)",0.7548955770751207,0.5698673322875795,0.9869284742286225,0.9942531981508824,0.9885394220332578,0.6547182974980099,0.8201794188088455,0.6726942790376156,,,,,,
2,26225,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1.0, 1000000000.0]]","[[0.3670032713399819, 0.36700327133998184, 0.36700327133998173, 0.36700327133998173, 0.4336049047831354]]","(0.5111971639987083,)",0.73259685060612,0.5366981455180058,0.9721329205063735,0.9874986466406511,0.9751535771171176,0.6704987123593381,0.8229276949098856,0.6772099910496977,,,,,,
