split,random_state,variables,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998, 9.999999999999997e-06]]","[[0.6413510641166086, 0.6736174340098167, 0.6820761111173214, 0.8004365457404458]]",0.8062878752983332,0.8993967389857014,0.8089144940981139,0.9672492331681798,0.9837775669087513,0.9678183011529026,0.847674803784807,0.9382761347402766,0.8803621050231537,0.20973685369050166,0.523836999901511,0.2744052024658156,0.5450697904572289,0.7383650677482417,0.5451829732708656
1,116739,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 10.0, 9.999999999999997e-06]]","[[0.6787844778859847, 0.7048556333673435, 0.7050687521829915, 0.7956453042165184]]",0.8062687612693665,0.899022064509585,0.8082406724750764,0.9649905490518416,0.9827022014280736,0.9657036166915822,0.8034692605298099,0.9002878649563444,0.810518239787653,0.13123467723237947,0.4673805229047998,0.2184445531907641,0.6576641481882552,0.8112100341443307,0.6580617194964462
2,26225,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.0009999999999999998]]","[[0.7164699540656908, 0.7184544969190443, 0.7197271016842229, 0.8058363479094721]]",0.8071807745896582,0.8986343272912485,0.8075436541861947,0.9552001120207162,0.9786763328156303,0.9578073644134503,0.8244346017622425,0.9089540601797026,0.8261974835171664,0.14458030599628469,0.4613053618216798,0.2128026368454309,0.7006605218523958,0.8606435353727463,0.7407072949788996
3,777572,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 1.0, 9.999999999999998e-05]]","[[0.6655953895554314, 0.6943887406639565, 0.6943887406639565, 0.7966315971052309]]",0.8000929003379204,0.8957931979260005,0.8024454534504908,0.9636602458635319,0.9821551604979437,0.9646287592927416,0.8631114930720005,0.9294792610999835,0.8639316968149713,0.20490394421632696,0.5230203367083148,0.27355027261047904,0.4784381634216608,0.6973905139946327,0.48635352900969797
4,288389,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 9.999999999999998e-05]]","[[0.7073240579609426, 0.7311491060256113, 0.7330285992955913, 0.8346696245855378]]",0.8351223949069979,0.914136751504576,0.8356460004513389,0.9690933491354797,0.9848500116016975,0.9699295453518637,0.8141053753739098,0.9085932579306285,0.8255417083569936,0.30913847974782094,0.5776537537906989,0.3336838592684854,0.428592027927694,0.6904315669571004,0.476695748650837
5,256787,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 1.0, 1.0, 9.999999999999998e-05]]","[[0.7075659394735571, 0.7075659394735571, 0.7075659394735571, 0.789217341867039]]",0.7918720023042278,0.8917775388674593,0.7952671788285028,0.987961987085052,0.9941255971860807,0.9882857029805816,0.7803350826275502,0.8848260625741908,0.7829171610105459,0.08645076532599139,0.49117602778588665,0.24125389027152208,0.2120757893511821,0.4697163128724116,0.22063341457845329
6,234053,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998, 9.999999999999998e-05]]","[[0.6781472098241751, 0.7021199003277478, 0.7047531255051084, 0.8077797799626592]]",0.8140300378389667,0.9033521246668331,0.8160450611400816,0.9690974058422768,0.984804782391873,0.9698404594219042,0.839897533241921,0.919857088318075,0.8461370629290068,0.28142495252061417,0.5735292838601251,0.328935839445108,0.5194463809626131,0.7427926376091113,0.5517409024863006
7,146316,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.0009999999999999998]]","[[0.7134545309071405, 0.7281313132080435, 0.7300312685144469, 0.8175215078216498]]",0.818530098136538,0.9047888643224926,0.8186428890019859,0.9555873528885469,0.9788506824379873,0.9581486585093135,0.8001919137433183,0.8959806111037154,0.8027812554737873,0.2600735079526404,0.5426050577097329,0.2944202486521826,0.0493730542149492,0.34890768351714735,0.12173657161730185
8,772246,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.0009999999999999998]]","[[0.7204889374586506, 0.7296883497558733, 0.734154713403161, 0.7899987179844479]]",0.7866998329234381,0.8870747385108819,0.7869015917041495,0.9617384149081872,0.9817959346851586,0.9639232573643042,0.8435326970175262,0.927075712417646,0.8594693765546858,0.16865697265377488,0.49502449628790535,0.2450492519250944,0.4778615144482057,0.6914179217394916,0.4780587425025577
9,107473,ndvi,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 9.999999999999998e-05]]","[[0.6650969060922054, 0.7091905014826361, 0.7116019465477847, 0.793846257183563]]",0.8045138124151763,0.8979538114506227,0.8063210474987005,0.9641200534524815,0.9823371871366673,0.9649863492315797,0.8685895965684757,0.9324605146663938,0.869482611411916,0.1651322948309888,0.4845194078993642,0.2347590566311505,0.6062377846792393,0.7932411354820643,0.6292314990208747
0,670487,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998, 0.0009999999999999998, 9.999999999999997e-09]]","[[0.6537596770737022, 0.6978588094173993, 0.7080859118380014, 0.7417618344509258, 0.8059221314449682]]",0.8124769229923903,0.9034178115172613,0.8161637421666379,0.9713027328914062,0.9857323186989738,0.9716682041276553,0.8339201323632421,0.9393784386913604,0.882431851078218,0.22369947950650282,0.5509104726837608,0.30350234891264477,0.5134315009367745,0.7190926614435238,0.5170942557419304
1,116739,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 10.0, 0.0009999999999999998, 0.0009999999999999998]]","[[0.6930119189621664, 0.7284395027679684, 0.7286924242851697, 0.7691151180186824, 0.8050511884961449]]",0.8162545414853775,0.9036352992159666,0.8165567539891295,0.9647347727013278,0.982698545203737,0.9656964307455411,0.7969157873658186,0.8940083732764605,0.7992509714884232,0.18018167650075523,0.5179362197239006,0.2682579277018846,0.6659878732015212,0.8176693320012873,0.6685831364954314
2,26225,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.009999999999999998, 0.0009999999999999998]]","[[0.7225103389167974, 0.7409920427820924, 0.7436713337373773, 0.7655129476760069, 0.8109777025921705]]",0.8135589773217895,0.9023278508506185,0.814195550420696,0.9574543557576595,0.9792261464003942,0.9588838457941662,0.8394583401369028,0.9163100619192375,0.8396241295744368,0.169078498336812,0.4874549344776139,0.23761231314657486,0.6986785690998432,0.8529894915591435,0.7275910727103261
3,777572,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.0009999999999999998, 0.0009999999999999998]]","[[0.6798795907373244, 0.7155887576861659, 0.7171892928203437, 0.7575465054392799, 0.8057713350027431]]",0.8102742873634676,0.9007878953434594,0.8114188323972992,0.9553812060739638,0.9780104395820344,0.9565044199314441,0.8691558135696482,0.9325680360896421,0.8696831419360921,0.24944467719384733,0.5594764046340607,0.3130138473422552,0.4358495637819061,0.6963504142702471,0.4849038994543448
4,288389,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.0009999999999999998, 9.999999999999997e-06]]","[[0.7151905718993457, 0.7537508236081244, 0.75624189231606, 0.7948390315014195, 0.8394476402335579]]",0.8418465075584302,0.9184148766410996,0.8434858856356862,0.9714069699444702,0.9858190467064177,0.9718391928491502,0.8204086864256804,0.9144468845372872,0.8362131046399506,0.3505527069780885,0.6147921830099643,0.37796942829015745,0.4714798481014073,0.7159693809427087,0.5126121544474855
5,256787,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 1.0, 0.009999999999999998, 0.0009999999999999998]]","[[0.7267164650470778, 0.7428972881957032, 0.7428972881957032, 0.7742025288600607, 0.8279234544838425]]",0.8338725448988609,0.9131763021319288,0.8338909587753437,0.9579738836362849,0.9794682600981359,0.9593580725396696,0.8109967359980275,0.9058419923879304,0.8205497151733353,0.24151041542254226,0.5384744227767058,0.28995470398470646,0.2783524902868342,0.5282265760872529,0.2790233156848623
6,234053,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998, 0.009999999999999998, 9.999999999999997e-07]]","[[0.6872483838148113, 0.7243548438754613, 0.7307944618851958, 0.7636947693672461, 0.8174786620970215]]",0.8227726920474,0.9093931540324749,0.8269959086011326,0.9725378188195574,0.9863912498966645,0.972967697872704,0.8444562947216825,0.9223681226090278,0.8507629536053025,0.3171591110822354,0.607431631237143,0.36897318662741657,0.5494648097889755,0.7669375558178266,0.5881932145238219
7,146316,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.0009999999999999998, 0.0009999999999999998]]","[[0.7236398071486836, 0.7527784408263174, 0.754144207617609, 0.781260756967501, 0.819142985234978]]",0.8207560189444307,0.9064607397465384,0.8216710727018416,0.9568940615487631,0.9787310640988272,0.9579144958320225,0.8216214103310633,0.9076105778575628,0.8237569610389391,0.24581337500595823,0.5515633189982991,0.3042220948644195,0.09554703561111677,0.3673281173642866,0.13492994580639112
8,772246,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.009999999999999998, 0.0009999999999999998]]","[[0.7280063747912153, 0.7443804880786421, 0.7484868346608331, 0.7722013499824333, 0.7984320646025533]]",0.7955901315372592,0.8924433611585373,0.7964551528759474,0.9632051715724966,0.9821613569257752,0.9646409310382801,0.8825210688302525,0.9465801672815766,0.8960140130908175,0.17971539590597485,0.5072450824100934,0.2572975736292224,0.5883140577170178,0.7720155524578626,0.5960080132368187
