split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.5239870992541548, 0.5301403138357595, 0.531897217763296, 0.5377661118541027]]",0.5771475711222922,0.7850487110013884,0.6163014786449414,0.9988495152730783,0.9994865992837764,0.9989734621478481,0.010340610317488785,0.6178364571770826,0.381721887817129,,,,,,
1,116739,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.4427370092791573, 0.44273700927915743, 0.45643116075616835, 0.494298920837034]]",0.5484634602744083,0.751556107708197,0.564836583033495,0.9866510880691144,0.9941415318062601,0.9883173852620972,0.6474650380498859,0.816951571456048,0.6674098701045064,,,,,,
2,26225,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1000000000.0]]","[[0.3660878432311976, 0.3660878432311979, 0.3660878432311976, 0.43339673684249236]]",0.5106996061778927,0.7322970415728546,0.5362589570963551,0.9719360593207556,0.987415635437788,0.9749896371070106,0.6736334652533149,0.8245761680533641,0.6799258569215697,,,,,,
3,777572,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.44622777344978204, 0.44622777344978204, 0.4649270519210722, 0.47199691242953074]]",0.47526771557742165,0.7316459999806855,0.5353058692877372,0.9971382394950294,0.9987299047171551,0.9974614225763376,0.6504100415208878,0.823687585694503,0.6784612388272392,,,,,,
4,288389,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.4724152161689411, 0.5134450167387798, 0.5275252797541696, 0.567876690331351]]",0.581948514181136,0.7729814107707178,0.5975002613970891,0.9559915194092412,0.9801465588538272,0.9606872768329989,0.5433080855227674,0.7512145824294905,0.5643233488547137,,,,,,
5,256787,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.4826698398630181, 0.48303174875108235, 0.5016041573896561, 0.5391278589221461]]",0.5669364057733441,0.764558766369449,0.5845501072323737,0.9532271458252942,0.9789398202346129,0.9583231716409762,0.5669078584282254,0.7538254273341065,0.5682527748954483,,,,,,
6,234053,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 1000000000.0]]","[[0.4952263805362017, 0.5093587837467932, 0.5100669186695862, 0.5897803413316376]]",0.5973781895275776,0.7741258026558225,0.5992707583375215,0.8698846161188722,0.9380563395564641,0.8799496961820722,0.3443930796425636,0.6441433497640899,0.4149206550453027,,,,,,
7,146316,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.4896897256285821, 0.4896897256285821, 0.5214478031590073, 0.5352707397737119]]",0.5411882914656196,0.7504549964616465,0.5631827017142499,0.9888336806400752,0.9950037575252209,0.9900324774893084,0.24401509443743186,0.5809771704088241,0.33753447253624386,,,,,,
8,772246,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.4760830043475929, 0.4760830043475929, 0.4882079082952321, 0.5393850297945486]]",0.5533972859492997,0.7591155126407547,0.5762563615318358,0.973547802952565,0.9881823188598642,0.9765042953072582,0.6682733080274051,0.8176054945097221,0.6684787446524872,,,,,,
9,107473,ndvi,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 1000000000.0]]","[[0.416044670641141, 0.416044670641141, 0.42220454735104596, 0.4587831133855068]]",0.5041317573617718,0.7389648051029121,0.5460689831807848,0.9853737498233003,0.9935503965880363,0.9871423905602443,0.7256450901466949,0.853706859241367,0.7288154015157593,,,,,,
