split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6835730457199247, 0.6835730457199247]]",0.6818441318289862,0.8270964051179166,0.6840884633589808,0.9948027703424527,0.997767547629281,0.9955400791021495,0.41275549896759,0.7336590571699039,0.5382556121674322,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.620514515458114, 0.620514515458114]]",0.6257915135442117,0.7971324363950211,0.6354201211530623,0.9946985202286219,0.9978137250348655,0.9956322298679543,0.6963009333650642,0.8359968889651532,0.6988907983594147,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[100.0, 1.0]]","[[0.6203156156908437, 0.6203156156908437]]",0.646806719590967,0.806635872965621,0.6506614315550094,0.9891439305463074,0.9952893401749037,0.9906008706657952,0.5631088001585021,0.7904512080916942,0.6248131123736189,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6085351733340767, 0.6085351733340767]]",0.6366374303778072,0.8029622611709797,0.6447483928648126,0.9925648289661894,0.9968635183826614,0.9937368742822588,0.8111967057438995,0.9007758123210665,0.8113970640626772,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.4500597584969526, 0.4500597584969526]]",0.5339099971586658,0.7352294864179234,0.5405623976983635,0.993833083228685,0.9974060044187304,0.9948187376505364,0.7482237934949747,0.8660231150781457,0.7499960358496551,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6397972907616115, 0.6397972907616115]]",0.6519712658522842,0.8094079979469477,0.6551413071404861,0.9937818292376693,0.9973806803494614,0.9947682215343544,0.7612054571768508,0.8737056959983567,0.7633616432199729,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.6161865385300566, 0.6161865385300566]]",0.6303057956411939,0.802034396714953,0.6432591735139187,0.9941503807088453,0.9975242482346042,0.9950546258160122,0.747521979076365,0.8854702393586324,0.7840575447898338,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0]]","[[0.5938160649711891, 0.5938160649711891]]",0.6129712709170201,0.7879399924795246,0.6208494317486333,0.9942467614945514,0.9975448493747711,0.9950957265141347,0.6765248928590974,0.8341927983749106,0.6958776248605641,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0]]","[[0.5469199159047694, 0.5469199159047694]]",0.5707766464638602,0.7665307616452689,0.5875694085484761,0.9989671504112728,0.9995882475671839,0.9991766646744337,0.6879245461327329,0.8335012740919812,0.6947243739129559,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0]]","[[0.6660602831638329, 0.6660602831638329]]",0.6673653748439958,0.8239342370869076,0.6788676270439845,0.9987065472443505,0.9994678645419568,0.9989360122520593,0.8430904869370849,0.919179350164283,0.8448906777684335,,,,,,
