split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998]]","[[0.6648244030124295, 0.7101271931484556, 0.7836301177297803]]",0.7928368293482371,0.8908828242068094,0.7936722064667009,0.9626780042053517,0.9817695266919493,0.9638714035409341,0.877287080312853,0.9422069460354912,0.8877539291575269,0.14597729297103001,0.4652033644654888,0.21641417031001042,0.4936246106604394,0.7149684996580892,0.5111799555033391
1,116739,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.703574744293908, 0.7455820353086114, 0.7954886721041546]]",0.8079807739848337,0.8996292064554638,0.8093327091076876,0.9649471369871453,0.9826927593819738,0.9656850593417577,0.8033819221075722,0.9002378088901167,0.8104281125552784,0.13924758220252098,0.47233292030263074,0.22309838760161133,0.5432938836268322,0.743477368071041,0.5527585968338422
2,26225,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999]]","[[0.7351356731429453, 0.7583377050863769, 0.7955754919634057]]",0.7971530741482906,0.8932915934918396,0.7979698710031901,0.9518588251717701,0.9775154013165797,0.9555363598111137,0.8033517241837846,0.8968063847703046,0.8042616917647837,0.11301902536685737,0.43636250044041425,0.19041223179061054,0.5121008115104649,0.7166127453292028,0.5135338267682569
3,777572,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.009999999999999998]]","[[0.6880542403771379, 0.7352708239111512, 0.7918580539352972]]",0.7966728427747494,0.8929721387507629,0.7973992405851117,0.9519996198339616,0.9764663372401153,0.9534865077631266,0.860909003122649,0.9278913522724261,0.8609823616219516,0.17540236529323183,0.4798821948773569,0.23028692096030953,0.35667740857425245,0.6122133999879728,0.37480524712483354
4,288389,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998]]","[[0.7286959537558308, 0.7641489361690736, 0.8218673038944206]]",0.825818645857778,0.9088551217929772,0.8260176324093275,0.9666156392891898,0.983696588237333,0.967658977709769,0.8111164251756037,0.9059651677279417,0.8207728851363175,0.2511518156335967,0.5403646212299618,0.291993923877,0.31123678412741096,0.6346660753261485,0.4028010271698964
5,256787,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.009999999999999998]]","[[0.7331774863223968, 0.7559086275465114, 0.8156459568095779]]",0.8187193935984862,0.9051893759341236,0.8193678063040082,0.9559071284713073,0.9783494907165432,0.9571677259853194,0.8017655257737857,0.9019506451907311,0.8135149663599761,0.18306731388354724,0.4777521451657274,0.22824711221045427,0.42940432859447963,0.6609298713211985,0.436828294804656
6,234053,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998]]","[[0.6964254355989031, 0.7361124201081983, 0.7937329078677993]]",0.803079256909524,0.896492511214932,0.803698822664455,0.9654619650578457,0.9831605253304441,0.9666046185680347,0.845174696188018,0.9209791812152011,0.8482026522318221,0.22427980856854635,0.5268385381611957,0.27755884529182573,0.3112447361815215,0.61058273433241,0.37281127546484233
7,146316,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999]]","[[0.7355409474919525, 0.7710290473858741, 0.8116719616528701]]",0.813751723591733,0.9025051614844568,0.8145155665060855,0.9509341777325859,0.977036921560779,0.9546011460929639,0.7922716039368893,0.890906727484816,0.7937147970777042,0.23680089667241933,0.5254464076760968,0.276093927339715,0.207081424811139,0.5226814771003798,0.2731959265038349
8,772246,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998]]","[[0.724555150847279, 0.7475335680402925, 0.7811121580802199]]",0.7839225084249234,0.8860829992642695,0.7851430815851634,0.961851123926249,0.9813324522854318,0.9630133819085392,0.883153980845708,0.9430853805235817,0.8894100349573089,0.1314629781640404,0.4616257882916427,0.2130983684158805,0.5763706914163849,0.7625215618746534,0.5814391323237608
9,107473,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.009999999999999998]]","[[0.6889778140977343, 0.7415109445765998, 0.786102874380016]]",0.7989713571516255,0.8940569639918334,0.7993378548622946,0.9518266856192528,0.9763065492934815,0.9531744781933452,0.8413138719898628,0.9198228281662884,0.8460740352158292,0.1293093123296547,0.4370156030070594,0.19098263727162373,0.48332979469312143,0.7099214516141967,0.5039884674620083
