split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 1.0, 0.0009999999999999998]]","[[0.7248688890865889, 0.7248688890865889, 0.7745397266193834]]",0.7861448856242251,0.8877287780449634,0.788062383369204,0.986494005688795,0.9936265476405276,0.9872937161760337,0.7607018388042723,0.8756064763120252,0.7666867013595611,0.11783853834483604,0.5192274548520164,0.2695971498721027,0.2934005561050691,0.5612897093632242,0.3150461378370527
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6617008322561906, 0.6779886662397636, 0.7844137680009744]]",0.790172251746828,0.8926744295599751,0.796867637190227,0.9746773607546885,0.9876335321415103,0.9754199938103156,0.8175644274221886,0.9046019871906938,0.8183047552293522,0.13207155983276664,0.49404027124617067,0.2440757896129899,0.511306932727438,0.7223827479983876,0.5218368346057021
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6932643257775809, 0.7046503045475433, 0.7850366802291328]]",0.7912497111625126,0.8895293790678882,0.7912625162249027,0.957485903063939,0.9800492457739158,0.9604965241420212,0.852632623719425,0.9326981887308181,0.8699259112617488,0.1255361618831785,0.45266758040631777,0.20490793835091017,0.42161382261450675,0.6687572771532494,0.447236295745428
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 1.0, 0.0009999999999999998]]","[[0.7054641075845971, 0.7054641075845971, 0.7735771485648794]]",0.7766429696934585,0.8816743421472649,0.7773496456008123,0.9870234986513303,0.9939016255556056,0.9878404412820752,0.8117431300687347,0.9130010635444189,0.83357094203324,0.14601060033239888,0.5236749453570587,0.2742354483947184,0.1318491269679658,0.5647329711879288,0.31892332874674595
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6696223771669008, 0.7024409179474409, 0.7777992892585324]]",0.7832299329424752,0.8853843909799501,0.7839055197909373,0.9711028267601023,0.9865125862492093,0.9732070828281038,0.841769277953723,0.91980065552922,0.8460332459119828,-0.00211801312278026,0.39807338479996573,0.15846241968610159,0.6105786918680491,0.7841775500261116,0.6149344299649547
5,256787,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.7123376723223663, 0.7170157628662205, 0.8008430662939304]]",0.8133209433861974,0.9018537470069447,0.8133401809904661,0.9604796902860622,0.9815151792659259,0.9633720471294227,0.8270683983009914,0.9108682094275898,0.8296808949458236,0.22351207058166112,0.5210378605630807,0.27148045214015226,-0.16900609586097937,0.17534211879341713,0.030744858622964805
6,234053,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6824646595304283, 0.7277560015729814, 0.7835351913753719]]",0.7918569112354198,0.8898816682456313,0.7918893834796278,0.9736749611224069,0.9876427445267107,0.9754381908162536,0.7716932031800132,0.8843830679859397,0.7821334109402233,0.15426943040712526,0.5073244245353828,0.25737807173015737,0.4138822649991647,0.658652735351828,0.43382342578644517
7,146316,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6937540497598813, 0.6976678139199232, 0.7974711342363363]]",0.8153300988144144,0.9032958925888811,0.8159434695679434,0.959790027737747,0.9811857689133344,0.9627255131180513,0.8124029945852674,0.9014620823302902,0.812633885879263,0.16090639043853927,0.4657772421412381,0.21694843929669755,0.400513258173394,0.6466678815810455,0.41817934906851706
8,772246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6541959537901679, 0.693737389796041, 0.79830651814084]]",0.7990254869246475,0.8949317675492611,0.8009028685688446,0.9769005211484483,0.988764296029714,0.9776548331031361,0.7969393823492049,0.8994418113682506,0.8089955720373998,0.20621720596488002,0.5322747785286377,0.2833164398577103,0.2934330690951167,0.6031875678234457,0.3638352419767639
9,107473,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.7080570523500717, 0.7243966935932941, 0.8092003662994836]]",0.8103833240004249,0.9004158306096638,0.8107486680124908,0.9613892395268543,0.9819674377825577,0.9642600488652413,0.8066849129014793,0.901780256895346,0.8132076317262362,0.1836046677865505,0.4895257346163171,0.23963544485164492,0.4256071764087265,0.6525609807047429,0.4258358335383358
10,709570,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 1.0, 0.0009999999999999998]]","[[0.702519342702913, 0.702519342702913, 0.7769634219961533]]",0.8086540922372034,0.8993047571806478,0.808749046287744,0.988851474130268,0.9947481423553065,0.9895238667193331,0.7764725649538304,0.8932806110937627,0.797950250156046,0.2029032936118449,0.555629987245032,0.3087246827259144,0.3081113591032021,0.5562185337843779,0.3093790573252432
11,776646,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 9.999999999999998e-05]]","[[0.6802065695082662, 0.6920062270361966, 0.8117618344646258]]",0.8181689205229448,0.9049694744081377,0.8189697496105409,0.9587237177120899,0.9797115769195063,0.9598347739501056,0.7998799178799416,0.8975737157931795,0.8056385752827753,0.16315036099756874,0.4742335815476956,0.22489748986755487,0.6184696992933763,0.7948614503206299,0.6318047252058152
12,935518,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6821815200138678, 0.7030143772750319, 0.7796356756531299]]",0.7828424779411782,0.8848861525344707,0.7830235029472585,0.9592599034799195,0.981011700937533,0.9623839573763516,0.8445616625392585,0.9204868003984492,0.8472959497077744,0.0742185603965223,0.40372652023677075,0.16299510314249166,0.6759562216119628,0.8368615833965887,0.7003373097650455
13,571858,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.7066025820346395, 0.720693121053215, 0.8219767586893194]]",0.8284146971994127,0.9116262810022873,0.8310624762140613,0.964789054832366,0.9835122083819272,0.9672962640362954,0.7348851438473629,0.8646946053183108,0.7476967604665893,0.28148306700319425,0.5617801343234193,0.3155969193204391,0.19929228545591826,0.4599395884796638,0.2115444250508425
14,91161,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 9.999999999999997e-06]]","[[0.6970170607154819, 0.7155739694781836, 0.7829957128912544]]",0.7848173670220959,0.8888530527343345,0.7900597493551456,0.9753131632043329,0.9878862222829926,0.9759191881765623,0.8339042220725613,0.9134347124447021,0.8343629738989355,0.11405572892557236,0.49491332240771285,0.24493919669664072,0.04191189648324045,0.45241020858670694,0.20467499683346768
15,619176,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6986753519191, 0.7094885819728658, 0.8201277254034702]]",0.8268621338248576,0.9094998130902183,0.8271899100111421,0.9582673091976266,0.9803407052119361,0.9610678982954362,0.7883176225601098,0.8894496738306858,0.7911207222775134,0.2930866849318827,0.5671384262697156,0.3216459945516896,-0.05280118641799647,0.2624097609068016,0.0688588826191648
16,442417,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6663126633506856, 0.6667143716736214, 0.7526758738817859]]",0.7544287597776957,0.8693485478297809,0.7557668976137488,0.9686914807587119,0.9853878011988857,0.9709891187515747,0.8606069826063945,0.930519216880368,0.8658660129836533,0.12294751218573985,0.48262411228293356,0.23292603375688967,0.29589076028917627,0.5850426555383176,0.34227490879932654
17,33326,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[10.0, 10.0, 9.999999999999997e-06]]","[[0.6463626278487858, 0.6686095063329766, 0.76087088098264]]",0.7743532529999391,0.8828537625299931,0.7794307660133656,0.9745953307359111,0.9875248246106558,0.9752052792223066,0.8474057256814569,0.9220882489668889,0.8502467388828233,-0.13254020892413676,0.3034413559877568,0.09207665652368854,0.6296557031669958,0.8318936178398854,0.6920469914027332
18,31244,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.7036671828741173, 0.7095533172077502, 0.8134156731720618]]",0.8155183867882702,0.9037118645790709,0.816695134180981,0.9596631419227342,0.9811044822943709,0.9625660051781054,0.81638704489159,0.9069284715610478,0.8225192525280584,0.2549753010764123,0.5369375693325873,0.288301953360787,0.45818156802438703,0.6776822349094436,0.4592532115118583
19,98246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,414,331,83,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6705950701232528, 0.6977675570984764, 0.7899449838126179]]",0.8023197735453752,0.895808680601528,0.8024731922410503,0.9585306330534231,0.9806221298325626,0.9616197615173512,0.8317704617274786,0.9159838824717673,0.8390264729480524,0.19754102410443364,0.49510955548009866,0.2451334719277009,0.3964432659021542,0.6454851476994569,0.41665107590058964
