split,random_state,variables,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6360166020841366, 0.6620906199977034, 0.783840950859421]]",0.7900732028139662,0.8897436188085339,0.7916437072105057,0.9628546073151497,0.9817944347295924,0.9639203120659998,0.8686817355600049,0.940329895399755,0.8842203121825142,0.1560586557443533,0.4657971249346975,0.21696696159743017,0.4320518476175542,0.6778544263257682,0.4594866232894363
1,116739,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999997e-06]]","[[0.6780670474962781, 0.7049069120837739, 0.7954687049809586]]",0.8060845182021235,0.8989237571480325,0.8080639211651349,0.9649399019650884,0.9826766265595219,0.9656533523864022,0.8032349120261303,0.9001530936350014,0.8102755919806636,0.13035663403628417,0.46677176446521385,0.21787588010196907,0.6564203014690627,0.8104354377741687,0.6568055988002085
2,26225,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 1.0, 0.0009999999999999998]]","[[0.7137589939772677, 0.7137589939772677, 0.768501303891558]]",0.7701627552636061,0.8788652383781304,0.7724041072294479,0.9860716862622871,0.9934179124575022,0.9868791487914216,0.764675001550928,0.8749677799118301,0.7655686158838367,0.03523241488501483,0.4741674833395634,0.22483480225657512,0.5835024739252648,0.7644817291954155,0.5844323142736125
3,777572,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6612009679855533, 0.6899037851376122, 0.7945130144355573]]",0.7979533883270221,0.8946233075626051,0.8003508624342556,0.9631522848543607,0.9819005678170817,0.9641287250795074,0.8602225886876903,0.9279304317257404,0.861054886122719,0.19722836673198407,0.5180077823575797,0.26833206258301767,0.4754292367472416,0.6954193701758365,0.4836081004157572
4,288389,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.7038697630036992, 0.7236043027176077, 0.8217851766534288]]",0.8230100434164224,0.9076388933979237,0.8238083608086075,0.9667323044256373,0.9836983179439887,0.9676623807258325,0.8109609481370977,0.9061546246136655,0.821116203708733,0.25679112703721085,0.5406451126407871,0.2922971378223693,0.42094419580321996,0.6816002117308884,0.4645788486315918
5,256787,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999997e-06]]","[[0.7062837847619321, 0.7102214600828993, 0.8227273214517812]]",0.8266172097764717,0.910432282323996,0.8288869406976803,0.9671288584138823,0.9837670751529769,0.9677976581550429,0.8048363327485191,0.9018404518479006,0.8133162005892256,0.20618229137457078,0.5123971803565275,0.2625508704373197,0.2995136853537932,0.5621207231245214,0.31597970736603487
6,234053,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6735357613724752, 0.6962871732094753, 0.7934864612194881]]",0.799572401268217,0.8952062485526303,0.8013942274476737,0.9655373444635927,0.9831440917033596,0.9665723050512239,0.8394030050396996,0.918529281159943,0.8436960403482017,0.22370979576757566,0.5248029199469872,0.2754181047848839,0.5875105676283903,0.7728651575308011,0.59732055172511
7,146316,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.7119161829719717, 0.7217997536491472, 0.8124390517033302]]",0.8140163052062034,0.9023048191614966,0.8141539866820612,0.9523095254362737,0.9773719635948948,0.9552559552213403,0.7939134204812369,0.891915975664306,0.7955141076452109,0.22439767531509602,0.5128650436560981,0.2630305530043714,0.045839301560634205,0.3343790778621568,0.11180936771194633
8,772246,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.7147510924851816, 0.7200390227098135, 0.7804862102634702]]",0.7773779585211835,0.8817870977753168,0.7775484858030162,0.9592542361873216,0.980656322005447,0.9616868218892508,0.8503587136792076,0.9310874099385319,0.8669237649460437,0.1332778093910686,0.47051526760550955,0.22138461704988427,0.44618172618943064,0.6679873322182839,0.4462070760041
9,107473,None,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.661959682508175, 0.7013046539493532, 0.7873997939002383]]",0.7975368274242187,0.8942176588799251,0.7996252214526941,0.9622746867698112,0.981442272114921,0.9632289334940985,0.8618994629404657,0.9294970574581016,0.8639647798232695,0.13131717645804553,0.45982208029178995,0.21143634552386933,0.5747207631645168,0.7792600795488133,0.6072462715784228
