,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,504,403,101,1.0,0.21734056425774764,0.22856055914325912,0.4912872692466787,0.24136318092385858,0.14843513716733392,0.45827101649803353,0.21001232456214092,0.013648252196784783,0.3551439234921628,0.12612720639340716,1e-05,0.2060671020025465,0.4906174868543821,0.7169213340698924,0.5139761992445543
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,497,397,100,10.0,0.2744918780964493,0.26996537409237775,0.5503114950805873,0.30284274161783126,0.2198109309682873,0.5804547434048515,0.33692770914119197,0.017603918756952885,0.31930652952107735,0.10195665979479464,0.01,0.3443046736001167,0.6280170402051749,0.7971620892031942,0.6354673964628014
2,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,504,403,101,1.0,0.21964747902837897,0.23084433557887596,0.4935647400840557,0.24360615265424146,0.1501494150250584,0.4604486558028417,0.2120129646306438,0.0032039666942071943,0.35593681035672403,0.12669101296691854,1e-05,0.2183477343122569,0.49615823912280355,0.7190663029210235,0.5170563479965091
3,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,648,518,130,10.0,0.18492313506769403,0.21404665511725773,0.4905102676366385,0.24060032265696674,0.13389301651106056,0.44061854795576966,0.1941447048026509,0.0377326744842873,0.26303246856258355,0.06918607951812651,1e-08,0.6580088503470969,0.765443252528759,0.8757992872962136,0.7670243916285556
4,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,504,403,101,0.1,0.4205578774766988,0.44069907924844653,0.6691496441434738,0.4477612462573376,0.2584033981876419,0.6215331532461389,0.3863034605840884,-0.1021821815963524,0.3225614521905761,0.1040458904392933,1e-05,0.15115859091211734,0.4874939142866025,0.7364236661702246,0.5423198160955944
5,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,490,392,98,100.0,0.30620883626949774,0.31150246139629967,0.5602882962447362,0.31392297490882926,0.11796488614464407,0.42569880926706455,0.1812194762113966,0.0390550227648786,0.3046282157554068,0.09279834983432265,100000000.0,-0.4389294033901076,-0.10902416161366357,-0.5492704887337099,0.3016980697937685
6,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,648,518,130,100.0,0.19445018649175586,0.22315976738110355,0.4745830591813891,0.22522908006196588,0.08366065958328506,0.3526072371364115,0.12433186368097354,-0.05106902248934819,0.048097387554635176,0.0023133586895807746,1e-08,0.4033920335532908,0.6054350809299981,0.7883336938657272,0.6214700128839821
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,504,403,101,0.1,0.21327473648096484,0.21799291188491476,0.5056324121878306,0.2556641362548842,0.19680444028552546,0.5298395846135235,0.2807299854234312,0.06081856145559161,0.3658405948704535,0.1338393408551673,1e-08,0.3587835069161612,0.6614603654828197,0.8263408577075396,0.6828392131168323
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,504,403,101,1.0,0.2583887666126564,0.27723893642100095,0.5658033466390097,0.3201334270679033,0.2602327292659845,0.6105484741434821,0.37276943927893424,0.10254973818494906,0.461179735036718,0.21268674800853743,1e-08,-0.18215916862946907,0.2544391199321131,0.7334912551167473,0.5380094213327412
9,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,497,397,100,100.0,0.42623142559903215,0.4413590258278588,0.6698064879888947,0.44864073135201743,0.26244141170668045,0.6127664333445179,0.3754827018337614,0.0756314667995418,0.4397926992239019,0.19341761829064544,100000000.0,-0.43566689234927586,-0.10724628054075236,-0.5458625744014082,0.2979659501321329
