,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,506,404,102,10.0,0.1451796869482876,0.148205247331598,0.3945643657169902,0.1556810386936508,0.29013689409886545,0.5433598639855507,0.29523994179039614,0.22722352070765184,0.5098593605943572,0.2599565675856868,506,404,102,100000.0,-0.41640454890996054,-0.10662349093990131,-0.39536946566650916,0.15631701438142095,0.05390529369936903,0.3834558467438651,0.14703838640205458,-0.050376388828692775,-0.02288173582000206,0.0005235738341363653
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,499,399,100,100.0,0.23153578026708638,0.2388590048059024,0.4933293119297275,0.2433738100090584,0.4278819878500012,0.6634617690371708,0.44018151897393215,0.21492434234292956,0.4815088316085892,0.23185075491706872,499,399,100,100000000.0,-0.44345354387007446,-0.12910415460653235,-0.5414642651965437,0.29318355048483297,8.845174517291277e-05,0.13152543896202182,0.017298941094152528,-0.045140501516224285,0.08362980142882773,0.006993943687025156
2,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,506,404,102,10.0,0.14470256578622612,0.14811845806858392,0.3947116092871085,0.15579725450601903,0.2905260134691804,0.5437157019256826,0.29562676452053777,0.22756985232633742,0.5107767556274669,0.2608928940893211,506,404,102,100000.0,-0.4158408839731657,-0.10629759123844584,-0.3930850927919503,0.1545158901752562,0.05432890993287731,0.3837029342240919,0.1472279417321778,-0.05096357523663064,-0.031325437730210036,0.0009812830489892665
3,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,648,518,130,100.0,0.13466963276269867,0.1771400449821363,0.42651293988468536,0.18191328788907724,0.3361910335768863,0.5870628731795543,0.34464281706583344,0.09456748057878384,0.3489118260415,0.12173946235161397,648,518,130,100000000.0,-0.49916502739967783,-0.08599965703826506,-0.5299030413355352,0.28079723321664996,4.1150530697531273e-05,0.19537418622935168,0.038171072644781395,-0.6416213733107956,0.033419395893684846,0.0011168560218988396
4,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,506,404,102,1.0,0.27833133133032445,0.2857154499094475,0.5453943352158761,0.29745498088556743,0.4966767207161066,0.7081113887258367,0.5014217388432329,0.1139180584978925,0.4577898918852989,0.20957158511235366,506,404,102,100000000.0,-0.44076731605052566,-0.12900520213141697,-0.5413573194162357,0.2930677472855322,1.7621127612943432e-05,0.10387701821289282,0.010790434912801666,-0.04261361548684928,0.024993737703792807,0.0006246869244059942
5,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,492,393,99,100.0,0.27008844305138907,0.26877642212596553,0.5208785311936778,0.27131444425848317,0.42743435245866246,0.6609071447824418,0.4367982540244795,0.04506322423678666,0.3334898359030065,0.11121547065061421,492,393,99,100000000.0,-0.44689340646822534,-0.13072302281073034,-0.5448618538073821,0.29687443973441696,8.068049182519133e-05,0.12951814452488536,0.01677494976116909,-0.04761112024308978,0.15686549455358095,0.024606783381539536
6,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,648,518,130,100.0,0.14685108132287586,0.1842400494193469,0.43339222954252643,0.18782882462784192,0.33739776515360187,0.5894482677487585,0.34744926035201207,0.028453338289124108,0.309395316099469,0.09572546162429035,648,518,130,100000000.0,-0.4991588948775354,-0.08599790248000838,-0.5298781832191533,0.28077088905163056,2.873408196568672e-05,0.21098961005179523,0.04451661554980861,-0.6415926682868267,-0.09006899057878759,0.008112423063881727
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,506,404,102,1.0,0.1543957633822177,0.1487813854307689,0.4190571118565988,0.17560886299759393,0.38058283339443133,0.6205535311456024,0.38508668501727616,0.22863078326879682,0.546733494064202,0.2989175135316508,506,404,102,100000.0,-0.4190166144103405,-0.1079828400501952,-0.41680485118781746,0.17372628397369866,0.049845301127223296,0.4106926054936218,0.16866841620713968,-0.05302898311366255,-0.09012495608724491,0.008122507709727824
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,506,404,102,1000.0,0.20020105949351158,0.20578886414162745,0.45427495004374635,0.20636573023724825,0.2735701910893986,0.5259327630007616,0.2766052711976153,0.2182832947964849,0.4741841401929537,0.22485059881053077,506,404,102,100000000.0,-0.44098456252055573,-0.128914293210727,-0.5412273065787708,0.2929269973865108,0.0019330277451131694,0.3981925558992631,0.15855731157358777,-0.042430622651204564,-0.21755423364930468,0.04732984457873625
9,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,499,399,100,100.0,0.3579674107060688,0.365148091555451,0.617626854252225,0.38146293109349916,0.6117458661458408,0.7846858351434688,0.6157318598748031,0.2186361000281185,0.5351263621179174,0.2863602234335565,499,399,100,100000000.0,-0.4434611579915235,-0.1285818172584121,-0.5413334202389736,0.29304187186762515,0.0038015493018822566,0.5198060933743055,0.2701983747090572,-0.04469554620802896,-0.3248976398818494,0.1055584764007959
