split,random_state,variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
5,256787,pre,2016,True,True,432,345,87,"[1.0, 1000000000.0]","[-0.17558066637730324, 0.053097825136305545]",0.07028057318857561,0.2840981338632885,0.08071174966460301,0.09918843062796956,0.36662851458845025,0.13441646770933346,0.03214524434406063,0.24846584180165654,0.061735274542205815,,,,,,
1,116739,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.10539717142001007, 0.07028231685843353]",0.09428684054171588,0.3106130023239325,0.09648043721268731,0.16599459447268727,0.4153687605952536,0.17253120727843713,0.12280116332397473,0.3831997290000507,0.14684203230571233,,,,,,
0,670487,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.12735072466652436, 0.0521493170894632]",0.09976873574974665,0.3163520598689598,0.10007862578333393,0.15885048298878923,0.40658095448362874,0.16530807254881857,0.13178285722617966,0.39074415839769655,0.15268099732192417,,,,,,
2,26225,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.21327025957506632, 0.007507482680502209]",0.0915868006229017,0.3036002752268859,0.09217312711784086,0.1474688975956484,0.39379306138231157,0.155072975192853,0.1873355765392387,0.4520715713038185,0.20436870558110343,,,,,,
4,288389,pre,2016,True,True,432,345,87,"[0.01, 1000000000.0]","[-0.11828018786351122, 0.10845647895918838]",0.11437186986290981,0.3521872364837826,0.1240358495420838,0.1931542505262832,0.4397044023026988,0.1933399614043736,0.07253441559001961,0.3013185843395871,0.09079288926841285,,,,,,
3,777572,pre,2016,True,True,432,345,87,"[0.01, 1000000000.0]","[-0.046409642045041166, 0.14255457799491877]",0.173237037910699,0.4187354620135011,0.1753393871476602,0.21588587804650572,0.4648351250641338,0.21607169349338892,-0.2510860693325123,0.06793832482028239,0.004615615979386199,,,,,,
4,288389,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[-0.027565345856428204, 0.054347513608062094]",0.06690290639549867,0.2608867821417309,0.06806191309626695,0.1058269369198036,0.3272716067973648,0.10710670461572894,0.14864432619589474,0.423942899595747,0.1797275821176496,,,,,,
3,777572,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[0.03966314550351728, 0.10323192815208752]",0.10965549151244369,0.33117361314764565,0.10967596204526646,0.1346963105369272,0.36915431064447757,0.13627490506739945,0.0613507937667791,0.27412422992065477,0.075144093429592,,,,,,
5,256787,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[-0.001601268596673533, 0.07207932982757878]",0.08702313401742423,0.2975364239930659,0.08852792360258148,0.13285635708164822,0.3667726515932383,0.13452217795673496,0.06193366960206148,0.27953396040232825,0.07813923501821042,,,,,,
2,26225,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[0.025347639645673305, 0.10041338570655449]",0.10632662454840758,0.32608309249045175,0.10633018320813652,0.12932191247488267,0.3618067126929975,0.13090409734971326,0.09265320534899735,0.3085345291951745,0.09519355570568798,,,,,,
1,116739,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[0.022416431268874958, 0.10780959365185441]",0.11705993222045108,0.3421443993615333,0.11706279001446439,0.14193737976148868,0.37909579505455615,0.14371362182804603,0.03768009719697507,0.23031442634311555,0.0530447349817584,,,,,,
0,670487,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[0.020921819446048717, 0.10354082294690543]",0.11070053486295484,0.3330851439914505,0.11094571314780531,0.14774965439099774,0.3865807763233693,0.14944469662277887,0.029954821919978336,0.2119081481154403,0.04490506323771538,,,,,,
8,772246,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[0.02159324726077243, 0.10822743698697904]",0.1122305242599505,0.3351457846876927,0.11232269699392926,0.13839863955640708,0.37427356718090804,0.1400807030903217,0.05182112318354348,0.25012630726894214,0.06256316958799726,,,,,,
