variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
['pre'],2009,True,False,936,748,188,"[[0.01, 0.0001]]","[[0.3277257775042445, 0.5824141187414437]]",0.5849251024212978,0.7661476613015271,0.5869822389177995,0.6733454545729487,0.8206190280688661,0.6734155892286905,0.6075928666654988,0.784196166974091,0.6149636282968565,-0.08793894671098679,0.08642168533813127,0.007468707696682973
['pre'],2009,False,True,936,748,188,[[0.01]],[[0.08960267369017674]],0.09222940226982879,0.3050289977520049,0.09304268946959263,0.12081236191120848,0.34809135607133906,0.12116759217158377,0.13165953018973808,0.3690413845488666,0.13619154350974444,0.05359275386961293,0.37650936935445894,0.1417593052116924
['pre'],2009,False,False,936,748,188,[[0.01]],[[0.321786743897409]],0.323813975918936,0.5692429056436296,0.32403748562560214,0.34458813409116973,0.5871075151925801,0.3446952343956057,0.3567926658853693,0.5975008824174157,0.35700730448959045,-0.04440845089067169,0.24214669765944075,0.058635023187372605
['pre'],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.32500092422759935, 0.6005759481906309]]",0.6225042175983362,0.7946213819246584,0.6314231406118538,0.8021483593883655,0.8969280037384856,0.8044798438903048,0.6943057222527076,0.8347197352892266,0.6967570364813165,-0.6270658845575328,-0.3715443920571834,0.13804523526914203
['pre'],2016,False,True,432,345,87,[[0.01]],[[0.11208094470342225]],0.12826247520802114,0.35907782502686236,0.12893688442602197,0.1677300982263502,0.41090258351835784,0.16884093314206106,0.14376973906299229,0.3881560926087865,0.1506651522293208,0.03519008562229409,0.234091638314627,0.05479889512882615
['pre'],2016,False,False,432,345,87,[[0.01]],[[0.317815981897002]],0.34339674801677256,0.5875691396388579,0.3452374938559477,0.39433688023624036,0.6280253708908747,0.3944158664826208,0.37723308886613827,0.6143212261278055,0.37739056887117034,-0.32945135627408084,-0.13791425732522392,0.01902034237356808
['tmp'],2009,True,False,936,748,188,"[[0.01, 1e-05]]","[[0.5559933136470949, 0.7032702524465111]]",0.705109088885497,0.8405673011467042,0.7065533877570541,0.7718163043082743,0.8785970789263052,0.7719328270978362,0.7201242598174333,0.8516308847624113,0.7252751638812075,0.232496723325322,0.4964808598829667,0.24649324423013
['tmp'],2009,False,True,936,748,188,[[0.001]],[[0.34346137190266657]],0.3631921590947358,0.6033106828564553,0.36398378004872234,0.3950768706208285,0.6285755787350842,0.39510725818214604,0.37943280904596,0.6248219445794008,0.39040246242798377,0.1544886664970465,0.5605475594995663,0.31421356646091975
['tmp'],2009,False,False,936,748,188,[[0.01]],[[0.552363547644122]],0.5551486970454784,0.7450985527920883,0.5551718533728643,0.5764099410130031,0.7593301584419913,0.5765822895195395,0.5369593084722123,0.7336765449642106,0.5382812726306214,0.26959983975348956,0.5357222299860867,0.2869983077012655
['tmp'],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.6192899462388842, 0.7594750722874657]]",0.7723960200499588,0.8797388660845269,0.7739404724996891,0.8734556434231372,0.9352085609721549,0.8746150525156088,0.8177378280642873,0.905196611573224,0.8193809056036461,0.021032835844262077,0.3234199897030272,0.10460048973950622
['tmp'],2016,False,True,432,345,87,[[0.001]],[[0.4304913260271107]],0.44133467302094176,0.6644911229905786,0.4415484525332802,0.46831483634335125,0.6843961676239642,0.46839811425836925,0.4822475284296299,0.698206097971365,0.48749175524439936,0.09473348395536862,0.46808284526532973,0.2191015500316866
['tmp'],2016,False,False,432,345,87,[[0.01]],[[0.6151863495642378]],0.6322157896042764,0.7951511231480733,0.6322653086436425,0.6570213133479359,0.8109163129745931,0.6575852666483082,0.6490200984194759,0.8082629436751898,0.6532889861184831,0.2894676258817761,0.5406865182067614,0.2923419109705505
['ndvi'],2009,True,False,936,748,188,"[[0.01, 1e-08]]","[[0.22553958031513802, 0.6349264988217382]]",0.6363122771533873,0.7983760221427524,0.6374042727324847,0.7107124114826551,0.843145258052456,0.7108939261763426,0.5956327983257783,0.7787806926937463,0.6064993673125513,0.04504044362856241,0.27228332245181136,0.07413820768539708
['ndvi'],2009,False,True,936,748,188,[[0.001]],[[0.2643220517239302]],0.27568482298516617,0.5253053267771155,0.2759456863404121,0.301838264119601,0.5495690434521698,0.30202613352093294,0.14062156497859712,0.4091993590147067,0.16744411541804685,0.050020094884948296,0.3048386323767939,0.09292659178935411
['ndvi'],2009,False,False,936,748,188,[[0.01]],[[0.215078677063197]],0.21963187309241183,0.4687435017649535,0.21972047044687096,0.24224693001813002,0.4924785668369767,0.24253513879380253,0.18740953749171252,0.4333078745020134,0.1877557141054526,0.12902588201839482,0.3593844142197001,0.12915715718403697
['ndvi'],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.25744743523510616, 0.7632153019026007]]",0.7764226269253274,0.8812346443290366,0.7765744983657237,0.8756850168542757,0.9371971486450851,0.8783384954284776,0.8046025853748682,0.8986765575262265,0.8076195550471892,0.03728173415687208,0.3031581738560493,0.09190487837573462
['ndvi'],2016,False,True,432,345,87,[[0.001]],[[0.4801450318708863]],0.49288222179812924,0.7031277110629196,0.49438857806458053,0.5432592689810147,0.73720125104853,0.5434656845475176,0.45295401807274593,0.6864411238168789,0.4712014164669797,0.07543512463397317,0.3605768866185686,0.1300156911635401
