variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
[['pre']],2009,True,False,936,748,188,"[[0.01, 0.0001]]","[[0.3277257775042445, 0.5824141187414437]]",0.5849251024212978,0.7661476613015271,0.5869822389177995,0.6733454545729487,0.8206190280688661,0.6734155892286905,0.6075928666654988,0.784196166974091,0.6149636282968565,0.10856464638197483,0.32958087632268707,0.10862355403763035,0.17316245860512536,0.4303172880346951,0.18517296838153474
[['pre']],2009,False,True,936,748,188,[[0.01]],[[0.08960267369017674]],0.09222940226982879,0.3050289977520049,0.09304268946959263,0.12081236191120848,0.34809135607133906,0.12116759217158377,0.13165953018973808,0.3690413845488666,0.13619154350974444,,,,0.062250960967088154,0.4105174446338614,0.16852457234871548
[['pre']],2009,False,False,936,748,188,[[0.01]],[[0.321786743897409]],0.323813975918936,0.5692429056436296,0.32403748562560214,0.34458813409116973,0.5871075151925801,0.3446952343956057,0.3567926658853693,0.5975008824174157,0.35700730448959045,-0.00927325634345344,0.26181751323274244,0.06854841023537726,0.15442490131265874,0.40186331437256395,0.16149412343850217
[['pre']],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.32500092422759935, 0.6005759481906309]]",0.6225042175983362,0.7946213819246584,0.6314231406118538,0.8021483593883655,0.8969280037384856,0.8044798438903048,0.6943057222527076,0.8347197352892266,0.6967570364813165,-0.01611277882922768,0.1502160008173511,0.022564846901558425,0.14419619697182773,0.3797662487385104,0.14422240368092015
[['pre']],2016,False,True,432,345,87,[[0.01]],[[0.11208094470342225]],0.12826247520802114,0.35907782502686236,0.12893688442602197,0.1677300982263502,0.41090258351835784,0.16884093314206106,0.14376973906299229,0.3881560926087865,0.1506651522293208,,,,0.07012924205203785,0.4131445201992865,0.17068839457069865
[['pre']],2016,False,False,432,345,87,[[0.01]],[[0.317815981897002]],0.34339674801677256,0.5875691396388579,0.3452374938559477,0.39433688023624036,0.6280253708908747,0.3944158664826208,0.37723308886613827,0.6143212261278055,0.37739056887117034,-0.3395958748037149,-0.10946062659712491,0.011981628775035209,-0.20856124792418118,-0.05973763449576327,0.0035685849751494057
[['tmp']],2009,True,False,936,748,188,"[[0.01, 1e-05]]","[[0.5559933136470949, 0.7032702524465111]]",0.705109088885497,0.8405673011467042,0.7065533877570541,0.7718163043082743,0.8785970789263052,0.7719328270978362,0.7201242598174333,0.8516308847624113,0.7252751638812075,0.36950052689454793,0.6083618844325651,0.3701041824303417,0.43582942872205366,0.6780085798910362,0.4596956344058597
[['tmp']],2009,False,True,936,748,188,[[0.001]],[[0.34346137190266657]],0.3631921590947358,0.6033106828564553,0.36398378004872234,0.3950768706208285,0.6285755787350842,0.39510725818214604,0.37943280904596,0.6248219445794008,0.39040246242798377,,,,0.18223876476074818,0.6572115388684027,0.43192700682177393
[['tmp']],2009,False,False,936,748,188,[[0.01]],[[0.552363547644122]],0.5551486970454784,0.7450985527920883,0.5551718533728643,0.5764099410130031,0.7593301584419913,0.5765822895195395,0.5369593084722123,0.7336765449642106,0.5382812726306214,0.2922078489100848,0.5498013709525138,0.3022815475012637,0.3465012128786388,0.5888092597898517,0.346696344414273
[['tmp']],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.6192899462388842, 0.7594750722874657]]",0.7723960200499588,0.8797388660845269,0.7739404724996891,0.8734556434231372,0.9352085609721549,0.8746150525156088,0.8177378280642873,0.905196611573224,0.8193809056036461,0.3154761356396719,0.5695843670216092,0.3244263511554072,0.4869497089584581,0.7490113421043924,0.5610179906010231
[['tmp']],2016,False,True,432,345,87,[[0.001]],[[0.4304913260271107]],0.44133467302094176,0.6644911229905786,0.4415484525332802,0.46831483634335125,0.6843961676239642,0.46839811425836925,0.4822475284296299,0.698206097971365,0.48749175524439936,,,,0.11866431760088048,0.5882290592628132,0.3460134261612142
[['tmp']],2016,False,False,432,345,87,[[0.01]],[[0.6151863495642378]],0.6322157896042764,0.7951511231480733,0.6322653086436425,0.6570213133479359,0.8109163129745931,0.6575852666483082,0.6490200984194759,0.8082629436751898,0.6532889861184831,0.18820594249762201,0.47902331089033856,0.22946333237634195,0.31163732958188806,0.5617036532272167,0.31551099404880134
[['ndvi']],2009,True,False,936,748,188,"[[0.01, 1e-08]]","[[0.22553958031513802, 0.6349264988217382]]",0.6363122771533873,0.7983760221427524,0.6374042727324847,0.7107124114826551,0.843145258052456,0.7108939261763426,0.5956327983257783,0.7787806926937463,0.6064993673125513,0.20712421832828165,0.45680257473125035,0.20866859228109957,0.13830189319812047,0.37253364319961224,0.138781315315576
[['ndvi']],2009,False,True,936,748,188,[[0.001]],[[0.2643220517239302]],0.27568482298516617,0.5253053267771155,0.2759456863404121,0.301838264119601,0.5495690434521698,0.30202613352093294,0.14062156497859712,0.4091993590147067,0.16744411541804685,,,,0.03614745579447065,0.26278610191951207,0.06905653536205218
[['ndvi']],2009,False,False,936,748,188,[[0.01]],[[0.215078677063197]],0.21963187309241183,0.4687435017649535,0.21972047044687096,0.24224693001813002,0.4924785668369767,0.24253513879380253,0.18740953749171252,0.4333078745020134,0.1877557141054526,0.15148188332133727,0.39257524611709,0.1541153238638938,0.041051002085693455,0.21878869107579657,0.047868491342660344
[['ndvi']],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.25744743523510616, 0.7632153019026007]]",0.7764226269253274,0.8812346443290366,0.7765744983657237,0.8756850168542757,0.9371971486450851,0.8783384954284776,0.8046025853748682,0.8986765575262265,0.8076195550471892,0.24230695549400816,0.499862356329112,0.24986237527489216,0.37982063175934044,0.7265221546342551,0.5278344411744005
[['ndvi']],2016,False,True,432,345,87,[[0.001]],[[0.4801450318708863]],0.49288222179812924,0.7031277110629196,0.49438857806458053,0.5432592689810147,0.73720125104853,0.5434656845475176,0.45295401807274593,0.6864411238168789,0.4712014164669797,,,,0.0969465488619532,0.459886715815939,0.21149579138397023
[['ndvi']],2016,False,False,432,345,87,[[0.01]],[[0.244861108267257]],0.2711041050526384,0.5222069030850431,0.27270004962967165,0.31740996478254013,0.5635449550051937,0.31758291631180585,0.32405180734528516,0.5883246934257897,0.3461259448945495,0.23152245379073078,0.48116883024433366,0.23152344319870038,0.2917148761783531,0.622436225589264,0.3874268549258092
"[['pre', 'tmp']]",2009,True,False,936,748,188,"[[0.1, 0.01, 0.0001]]","[[0.48447855307209753, 0.5864791050228975, 0.7163411328719212]]",0.7181340470486626,0.8479666150222818,0.7190473801923466,0.7881749842780033,0.887992202674911,0.7885301520114402,0.7343351385232695,0.8592173450649178,0.7382544460604059,0.39867555483560113,0.6320462396474973,0.3994824490525416,0.4582625958710561,0.6926924956547569,0.4798228935364154
"[['pre', 'tmp']]",2009,False,True,936,748,188,"[[0.01, 0.01]]","[[0.19913701940712725, 0.37363111906098745]]",0.3925680811071255,0.6266171179113802,0.3926490124595646,0.4409097098146083,0.6652215702196296,0.4425197374854696,0.3973929346287468,0.6356508876729423,0.4040520509993995,,,,0.18857304593566404,0.6301313957436385,0.397065575901826
"[['pre', 'tmp']]",2009,False,False,936,748,188,"[[0.1, 0.01]]","[[0.4807991010730441, 0.5833543044966605]]",0.585841813050962,0.7654260930784528,0.5858771039653442,0.6148689512893455,0.7844083814994265,0.6152965089665499,0.5700276283032845,0.7554637637187442,0.5707254982920906,0.32117302034651785,0.5775403524540155,0.3335528587127084,0.36464008503963374,0.6051004970551929,0.36614661153644146
"[['pre', 'tmp']]",2016,True,False,432,345,87,"[[0.1, 0.01, 0.01]]","[[0.5052548383406703, 0.6738933818363734, 0.7620092430843887]]",0.77457823911302,0.8808257543372068,0.7758540095037093,0.845276114204897,0.9220974074867385,0.8502636288937643,0.8010934207130294,0.898263405614827,0.8068771458667472,0.279631246138641,0.5617091296233511,0.3155171463022226,0.49046157303901416,0.7290885333469261,0.5315700894579718
"[['pre', 'tmp']]",2016,False,True,432,345,87,"[[0.01, 0.0001]]","[[0.21844742000003992, 0.4487968984773298]]",0.45969554988340233,0.6788069415465262,0.46077886389174905,0.5099721946462956,0.7142051160232843,0.510088947753833,0.5165760931792374,0.7212794578078335,0.5202440562555624,,,,0.1359593811476515,0.6027139484462373,0.36326410365165357
"[['pre', 'tmp']]",2016,False,False,432,345,87,"[[0.1, 0.01]]","[[0.5009054966917378, 0.670913395810407]]",0.686912869954318,0.8288839799804615,0.6870486522682501,0.7244842285384894,0.8518681544551322,0.725679352574793,0.7224174163812461,0.8531951226342114,0.727941917286807,0.25096624761932995,0.5563509784867713,0.30952641126318786,0.4784121494639604,0.705712144331928,0.49802963065756795
"[['pre', 'ndvi']]",2009,True,False,936,748,188,"[[0.01, 0.01, 1e-08]]","[[0.4018099488769525, 0.45089390161773213, 0.6880129731607708]]",0.6897078660276793,0.8308283095245137,0.6902756799073612,0.7583887619100924,0.8709830222587083,0.7586114250629135,0.6630775584260141,0.8209582009192994,0.6739723676566527,0.3112479053010344,0.558407858042134,0.3118193359232041,0.3019855934103727,0.5533999968620124,0.3062515565268753
"[['pre', 'ndvi']]",2009,False,True,936,748,188,"[[0.001, 0.001]]","[[0.1585579494564913, 0.34873830865858857]]",0.3605693944227757,0.6013548646413595,0.36162767322782774,0.4053403092602269,0.6367795080749142,0.40548814190412974,0.2587828754908892,0.5297748378226222,0.2806613787899857,,,,0.1184606650908484,0.5092884784216835,0.25937475425307355
"[['pre', 'ndvi']]",2009,False,False,936,748,188,"[[0.01, 0.01]]","[[0.3963664120737542, 0.44555018850510353]]",0.44858663019546896,0.669799267142259,0.44863105826430727,0.4789106483346395,0.6923171970658004,0.4793031013530463,0.4468678190249684,0.6706238519146237,0.4497363507568071,0.2038510441411976,0.4666504798641906,0.21776267035747937,0.22347240674601476,0.4767466827322452,0.22728739949620005
