,country,satellite,bands,num_features,points,month_range,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14955,"range(4, 10)",False,False,False,648,518,130,0.6118327002369531,0.7349952601224119,0.8587022266948554,0.7373695141307028,0.6127839628131806,0.7936367132798747,0.6298592326656821,0.2857991254143706,0.5608645575983204,0.3145690519699597
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14955,"range(4, 10)",False,False,True,648,518,130,0.7480893429741299,0.9191076167183175,0.9594715707939815,0.9205856951618703,0.6835081761268595,0.8542497986967486,0.7297427185734354,0.44572735871637414,0.6718785696884193,0.4514208124065561
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14955,"range(4, 10)",False,True,False,648,518,130,0.5071641804776215,0.9025636090750598,0.9513359136087364,0.9050400205217691,0.6136550080155657,0.7987842040888942,0.6380562047019281,0.44341419137911486,0.7024002016127846,0.49336604322568045
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14955,"range(4, 10)",False,True,True,648,518,130,0.7133989372706313,0.8991741786783753,0.949608035931023,0.9017554219047752,0.7885688334733807,0.8925881838844603,0.796713666010159,0.45929199705000356,0.6809761971422953,0.4637285810743822
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,4749,"range(4, 10)",True,False,False,648,518,130,0.5182697193816288,0.7091481667747593,0.8438067741032798,0.7120098720225834,0.68397067048515,0.828155459553578,0.6858414651883981,0.2892582102413602,0.5701733616467757,0.3250976623315848
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,4749,"range(4, 10)",True,False,True,648,518,130,0.7154237058673542,0.912275003064918,0.9561615749217361,0.9142449573568149,0.7813021609043049,0.8942125287231942,0.7996160465255294,0.4960909953660716,0.7046005603517559,0.4964619496480084
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,4749,"range(4, 10)",True,True,False,648,518,130,0.5071641804776215,0.9025636090750598,0.9513359136087364,0.9050400205217691,0.6136550080155657,0.7987842040888942,0.6380562047019281,0.44341419137911486,0.7024002016127846,0.49336604322568045
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,4749,"range(4, 10)",True,True,True,648,518,130,0.7133989372706313,0.8991741786783753,0.949608035931023,0.9017554219047752,0.7885688334733807,0.8925881838844603,0.796713666010159,0.45929199705000356,0.6809761971422953,0.4637285810743822
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"range(1, 13)",False,False,False,384,307,77,0.592125943420869,0.80137438827531,0.896922495893733,0.8044699636402434,0.7048319712729776,0.8461096556530913,0.7159015493893927,0.3622301800643658,0.6154905460322093,0.3788286122550272
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"range(1, 13)",False,False,True,384,307,77,0.5980323139132601,0.8067329630971187,0.9000375858843618,0.8100676560045499,0.7135230003612465,0.8504642845962801,0.7232894993738626,0.3670796072131064,0.6179450104234028,0.38185603590717937
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"range(1, 13)",False,True,False,384,307,77,0.5743752992751778,0.7983147663140067,0.8948513068159982,0.8007588613102998,0.5377044042514914,0.7384596545740931,0.5453226614336889,0.267272782299536,0.5587191384828283,0.31216707570699387
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"range(1, 13)",False,True,True,384,307,77,0.5812111067486934,0.8885819551316912,0.9437407563509075,0.8906466151977829,0.6181828129601445,0.7912013586363187,0.6259995899079566,0.4319941984855671,0.6709443775139676,0.4501663577176055
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"range(1, 13)",True,False,False,384,307,77,0.5422318359590704,0.7792868868406421,0.8846361333437136,0.7825810884173167,0.6904185522771489,0.8372337344863531,0.7009603261619651,0.3226139779501557,0.5872996981719438,0.34492093547285635
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"range(1, 13)",True,False,True,384,307,77,0.5516061807616826,0.880175804094153,0.9395423939639794,0.8827399100555655,0.6670957274718359,0.8364426841008452,0.6996363637858264,0.42303838779746517,0.664004332557329,0.440901753654904
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"range(1, 13)",True,True,False,384,307,77,0.5743752992751778,0.7983147663140067,0.8948513068159982,0.8007588613102998,0.5377044042514914,0.7384596545740931,0.5453226614336889,0.267272782299536,0.5587191384828283,0.31216707570699387
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"range(1, 13)",True,True,True,384,307,77,0.5812111067486934,0.8885819551316912,0.9437407563509075,0.8906466151977829,0.6181828129601445,0.7912013586363187,0.6259995899079566,0.4319941984855671,0.6709443775139676,0.4501663577176055
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",False,False,False,648,518,130,0.5737194238081648,0.8223963125652611,0.908218662885703,0.8248611396138942,0.5502668142359657,0.7698872859999731,0.5927264331444044,0.20471007787034134,0.6245476910178186,0.3900598183556886
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",False,False,True,648,518,130,0.7839912422475819,0.9473355454365374,0.9735731720005948,0.9478447212392997,0.7596764244487674,0.887638847128015,0.7879027229307516,0.6016280915917172,0.7756909855954982,0.6016965051341154
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",False,True,False,648,518,130,0.5622043082874232,0.8333493074253072,0.914269210963462,0.8358881901157514,0.5650784536105053,0.760366608635698,0.5781573795281528,0.3038378469503856,0.6622309010604821,0.43854976631937803
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",False,True,True,648,518,130,0.7449628272366505,0.8948708303502434,0.9478437172969673,0.8984077124193331,0.7845901720142822,0.8933803266399866,0.7981284080273691,0.4583191299625854,0.6861317113423406,0.47077672530956904
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",True,False,False,648,518,130,0.5737194238081648,0.8223963125652611,0.908218662885703,0.8248611396138942,0.5502668142359657,0.7698872859999731,0.5927264331444044,0.20471007787034134,0.6245476910178186,0.3900598183556886
