,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,False,384,307,77,0.5921259434208711,0.8013743882753106,0.8969224958937333,0.804469963640244,0.7048319712729754,0.84610965565309,0.7159015493893907,0.36223018006436747,0.6154905460322093,0.3788286122550272
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,True,384,307,77,0.5980323139132531,0.8067329630971192,0.9000375858843614,0.8100676560045493,0.7135230003612452,0.8504642845962801,0.7232894993738626,0.36707960721311006,0.6179450104234068,0.3818560359071843
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,False,384,307,77,0.5743752992751782,0.7983147663140076,0.8948513068159989,0.8007588613103009,0.5377044042515055,0.7384596545740998,0.5453226614336988,0.26727278229954554,0.5587191384828323,0.3121670757069983
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,True,384,307,77,0.5812111067487343,0.8885819551316652,0.9437407563508943,0.890646615197758,0.6181828129602067,0.7912013586363571,0.6259995899080174,0.43199419848554355,0.6709443775139623,0.45016635771759833
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,False,384,307,77,0.542231835959073,0.7792868868406428,0.8846361333437139,0.7825810884173172,0.6904185522771603,0.8372337344863595,0.7009603261619759,0.3226139779501658,0.5872996981719527,0.34492093547286673
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,True,384,307,77,0.551606180761677,0.8801758040941524,0.9395423939639812,0.8827399100555688,0.6670957274720264,0.8364426841009467,0.6996363637859961,0.42303838779755754,0.6640043325573681,0.44090175365495593
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,False,384,307,77,0.5743752992751782,0.7983147663140076,0.8948513068159989,0.8007588613103009,0.5377044042515055,0.7384596545740998,0.5453226614336988,0.26727278229954554,0.5587191384828323,0.3121670757069983
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,True,384,307,77,0.5812111067487343,0.8885819551316652,0.9437407563508943,0.890646615197758,0.6181828129602067,0.7912013586363571,0.6259995899080174,0.43199419848554355,0.6709443775139623,0.45016635771759833
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[4, 5, 6, 7, 8, 9]",True,False,False,False,384,307,77,0.6067263161724202,0.7772298868972518,0.8827401587901011,0.779230187940773,0.6952917633904481,0.8383046148499829,0.7027546272787781,0.3924144821648402,0.6343855221735658,0.40244499074342777
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[4, 5, 6, 7, 8, 9]",True,False,False,True,384,307,77,0.6603375016319049,0.9101139046353383,0.9546240083795319,0.9113069973746045,0.8211892831692671,0.907681748052231,0.8238861557471537,0.5659846669334012,0.7524110076762909,0.5661223244724515
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[4, 5, 6, 7, 8, 9]",True,False,True,False,384,307,77,0.4983237882125661,0.6537326453222234,0.8105668269911399,0.6570185810184845,0.4553178018549964,0.6765773394320049,0.4577568962328904,0.22360100819620565,0.5348358716604629,0.2860494096148071
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,11239,"[4, 5, 6, 7, 8, 9]",True,False,True,True,384,307,77,0.6319571131908456,0.9117677988125585,0.9559453799188636,0.9138315693882205,0.6704494507384842,0.8322812877408274,0.69269214192353,0.4919162986761294,0.704365777238344,0.4961311481445765
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[4, 5, 6, 7, 8, 9]",True,True,False,False,384,307,77,0.4876997755038966,0.7410396796646812,0.8622521432484763,0.743478758536591,0.6272376862784292,0.8013718214118734,0.6421967961529834,0.3007459763238737,0.5995650066521037,0.3594781972017371
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[4, 5, 6, 7, 8, 9]",True,True,False,True,384,307,77,0.6317941675881981,0.9090737780232561,0.954534940814078,0.9111369532349354,0.8207520515076586,0.9067279074845263,0.8221554982112675,0.5682874978760742,0.7541649448139637,0.5687647639862489
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[4, 5, 6, 7, 8, 9]",True,True,True,False,384,307,77,0.4983237882125661,0.6537326453222234,0.8105668269911399,0.6570185810184845,0.4553178018549964,0.6765773394320049,0.4577568962328904,0.22360100819620565,0.5348358716604629,0.2860494096148071
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,3440,"[4, 5, 6, 7, 8, 9]",True,True,True,True,384,307,77,0.6319571131908456,0.9117677988125585,0.9559453799188636,0.9138315693882205,0.6704494507384842,0.8322812877408274,0.69269214192353,0.4919162986761294,0.704365777238344,0.4961311481445765
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,False,376,300,76,0.5273181645095587,0.6462652373824901,0.8082640402923876,0.6532907588297744,0.5196798947189101,0.7326454564845211,0.5367693649074122,0.18252498484381374,0.4801033714774201,0.23049924730398563
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,True,376,300,76,0.5291378987206871,0.6484178103084638,0.8097232138707229,0.6556516830811324,0.5221272808895607,0.734450062360303,0.5394168941010529,0.18367885339604884,0.48068019864119765,0.23105345336574123
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,False,376,300,76,0.4139963394489198,0.6223772260080723,0.7926366576263147,0.6282728710130157,0.6839881696332419,0.8284660287852015,0.6863559608511223,0.222392523446437,0.5158543818286122,0.26610574325177966
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,True,376,300,76,0.4649371934394872,0.9495103344380851,0.9753995138693268,0.951404211656519,0.7161409030036738,0.8487604405842144,0.7203942855007097,0.5723418223881256,0.766055597925364,0.586841179112787
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,False,376,300,76,0.5273181645095587,0.6462652373824901,0.8082640402923876,0.6532907588297744,0.5196798947189101,0.7326454564845211,0.5367693649074122,0.18252498484381374,0.4801033714774201,0.23049924730398563
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,True,376,300,76,0.5291378987206871,0.6484178103084638,0.8097232138707229,0.6556516830811324,0.5221272808895607,0.734450062360303,0.5394168941010529,0.18367885339604884,0.48068019864119765,0.23105345336574123
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,False,376,300,76,0.4139963394489198,0.6223772260080723,0.7926366576263147,0.6282728710130157,0.6839881696332419,0.8284660287852015,0.6863559608511223,0.222392523446437,0.5158543818286122,0.26610574325177966
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,True,376,300,76,0.4649371934394872,0.9495103344380851,0.9753995138693268,0.951404211656519,0.7161409030036738,0.8487604405842144,0.7203942855007097,0.5723418223881256,0.766055597925364,0.586841179112787
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,False,False,False,376,300,76,0.4766515378333239,0.8408618223980167,0.9179738065426878,0.8426759094984719,0.351689850540691,0.6493397372999739,0.42164209443679906,0.11641580551257136,0.6278862555260161,0.3942411498784815
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,False,False,True,376,300,76,0.6822797972828799,0.9041821217683339,0.9530978085476426,0.9083954326583188,0.7305216266668682,0.863359590999684,0.7453897833711416,0.470258525734521,0.6965943184664787,0.4852436445197779
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,False,True,False,376,300,76,0.3838179736281962,0.5498763322772509,0.7436046116361816,0.5529478184465965,0.5750397577322465,0.7600002419448771,0.5776003677562718,0.02389932813058704,0.5032661608981547,0.2532768287051673
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,False,True,True,376,300,76,0.5860401780983805,0.9029346489808778,0.9525932306072006,0.9074338629986632,0.818854967418917,0.9073545174883685,0.82329222040655,0.5219394720844851,0.7252641680450461,0.5260081134500729
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,True,False,False,376,300,76,0.4766515378333239,0.8408618223980167,0.9179738065426878,0.8426759094984719,0.351689850540691,0.6493397372999739,0.42164209443679906,0.11641580551257136,0.6278862555260161,0.3942411498784815
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,True,False,True,376,300,76,0.6822797972828799,0.9041821217683339,0.9530978085476426,0.9083954326583188,0.7305216266668682,0.863359590999684,0.7453897833711416,0.470258525734521,0.6965943184664787,0.4852436445197779
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,True,True,False,376,300,76,0.3838179736281962,0.5498763322772509,0.7436046116361816,0.5529478184465965,0.5750397577322465,0.7600002419448771,0.5776003677562718,0.02389932813058704,0.5032661608981547,0.2532768287051673
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"[4, 5, 6, 7, 8, 9]",True,True,True,True,376,300,76,0.5860401780983805,0.9029346489808778,0.9525932306072006,0.9074338629986632,0.818854967418917,0.9073545174883685,0.82329222040655,0.5219394720844851,0.7252641680450461,0.5260081134500729
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,False,923,738,185,0.5677505365149631,0.7560284680752974,0.8710603884924474,0.7587462004006134,0.4196807989612025,0.6623931383377631,0.438764669716951,0.35628728125736986,0.6100663142576243,0.37218090779188234
