,country,satellite,bands,num_features,points,month_range,cloud_limit,na_limit,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,False,False,False,648,518,130,0.6118327002369968,0.7349952601224169,0.8587022266948622,0.7373695141307145,0.6127839628132052,0.7936367132798825,0.6298592326656944,0.2857991254143919,0.5608645575983336,0.31456905196997453
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,False,False,True,648,518,130,0.7480893429741065,0.9191076167183114,0.9594715707939699,0.9205856951618481,0.683508176126695,0.8542497986966792,0.7297427185733169,0.44572735871625146,0.6718785696883535,0.45142081240646764
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,False,True,False,648,518,130,0.5071641804778444,0.9025636090748383,0.9513359136085157,0.9050400205213491,0.6136550080017453,0.7987842040819205,0.6380562046907873,0.4434141913899641,0.7024002016174994,0.49336604323230376
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,False,True,True,648,518,130,0.7133989372704317,0.8991741786784216,0.949608035931016,0.9017554219047617,0.7885688334731387,0.8925881838843415,0.796713666009947,0.4592919970498449,0.6809761971421907,0.4637285810742398
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,True,False,False,648,518,130,0.5182697193816719,0.7091481667747661,0.8438067741032839,0.7120098720225904,0.6839706704851246,0.8281554595535703,0.6858414651883852,0.28925821024126463,0.5701733616467471,0.3250976623315523
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,True,False,True,648,518,130,0.7154237058676308,0.9122750030648792,0.9561615749217559,0.9142449573568526,0.7813021609045382,0.8942125287232503,0.7996160465256298,0.4960909953661464,0.7046005603518058,0.49646194964807877
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,True,True,False,648,518,130,0.5071641804778444,0.9025636090748383,0.9513359136085157,0.9050400205213491,0.6136550080017453,0.7987842040819205,0.6380562046907873,0.4434141913899641,0.7024002016174994,0.49336604323230376
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,10,50,True,True,True,648,518,130,0.7133989372704317,0.8991741786784216,0.949608035931016,0.9017554219047617,0.7885688334731387,0.8925881838843415,0.796713666009947,0.4592919970498449,0.6809761971421907,0.4637285810742398
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,False,False,False,384,307,77,0.5921259434208711,0.8013743882753106,0.8969224958937333,0.804469963640244,0.7048319712729754,0.84610965565309,0.7159015493893907,0.36223018006436747,0.6154905460322093,0.3788286122550272
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,False,False,True,384,307,77,0.5980323139132531,0.8067329630971192,0.9000375858843614,0.8100676560045493,0.7135230003612452,0.8504642845962801,0.7232894993738626,0.36707960721311006,0.6179450104234068,0.3818560359071843
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,False,True,False,384,307,77,0.5743752992751782,0.7983147663140076,0.8948513068159989,0.8007588613103009,0.5377044042515055,0.7384596545740998,0.5453226614336988,0.26727278229954554,0.5587191384828323,0.3121670757069983
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,False,True,True,384,307,77,0.5812111067487343,0.8885819551316652,0.9437407563508943,0.890646615197758,0.6181828129602067,0.7912013586363571,0.6259995899080174,0.43199419848554355,0.6709443775139623,0.45016635771759833
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,True,False,False,384,307,77,0.542231835959073,0.7792868868406428,0.8846361333437139,0.7825810884173172,0.6904185522771603,0.8372337344863595,0.7009603261619759,0.3226139779501658,0.5872996981719527,0.34492093547286673
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,True,False,True,384,307,77,0.551606180761677,0.8801758040941524,0.9395423939639812,0.8827399100555688,0.6670957274720264,0.8364426841009467,0.6996363637859961,0.42303838779755754,0.6640043325573681,0.44090175365495593
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,True,True,False,384,307,77,0.5743752992751782,0.7983147663140076,0.8948513068159989,0.8007588613103009,0.5377044042515055,0.7384596545740998,0.5453226614336988,0.26727278229954554,0.5587191384828323,0.3121670757069983
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,10,50,True,True,True,384,307,77,0.5812111067487343,0.8885819551316652,0.9437407563508943,0.890646615197758,0.6181828129602067,0.7912013586363571,0.6259995899080174,0.43199419848554355,0.6709443775139623,0.45016635771759833
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,False,False,False,648,518,130,0.5737194238006171,0.8223963125642306,0.9082186628879525,0.8248611396179804,0.550266814253803,0.7698872860064643,0.5927264331543993,0.2047100778907116,0.6245476909886072,0.3900598183192008
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,False,False,True,648,518,130,0.7839912422456605,0.9473355454363817,0.9735731719998966,0.9478447212379402,0.7596764244376688,0.88763884712359,0.787902722922896,0.6016280915825218,0.7756909855899721,0.6016965051255423
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,False,True,False,648,518,130,0.5622043083056586,0.83334930742607,0.9142692109619901,0.8358881901130599,0.5650784535341649,0.7603666085905144,0.5781573794594406,0.3038378468720314,0.6622309010636522,0.43854976632357673
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,False,True,True,648,518,130,0.744962827234789,0.8948708303503741,0.9478437172967711,0.8984077124189613,0.7845901720090473,0.8933803266365812,0.7981284080212845,0.4583191299572057,0.6861317113409869,0.4707767253077114
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,True,False,False,648,518,130,0.5737194238006171,0.8223963125642306,0.9082186628879525,0.8248611396179804,0.550266814253803,0.7698872860064643,0.5927264331543993,0.2047100778907116,0.6245476909886072,0.3900598183192008
