country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,504,403,101,1000.0,0.5645157741896554,0.5744899043918335,0.7580726471937946,0.5746741384234074,0.8157311157804903,0.9122156665348049,0.8321374222715384,0.6200864337416102,0.7887996007867759,0.6222048102013771,0.37715151877051045,0.6329512139776488,0.4006272392757793
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,100.0,0.586395816614848,0.6106517722003205,0.7866651895955028,0.6188421205213284,0.916664057203806,0.9610611951015489,0.9236386207300173,0.8158341526589296,0.9042724651707122,0.8177086912659169,0.6245427900553526,0.7905858581968579,0.6250259991808623
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,0.1,0.5764566619725627,0.5829447051099346,0.7681806145814442,0.5901014566187253,0.819000267307388,0.9065974550370346,0.821918945479628,0.5343568149246971,0.7313692269338864,0.5349009461058706,0.36883937154852164,0.6465305699111529,0.41800177782964015
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,0.1,0.6728531907667823,0.6804873343938109,0.826414488143438,0.6829609062133806,0.847126548688137,0.9211722515527319,0.8485583170307295,0.5970418781337088,0.7761148756374174,0.6023543001856839,0.43898368236174157,0.682711887698505,0.46609552160485607
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,504,403,101,0.01,0.5543933180335919,0.5639174791941914,0.7646155904409342,0.5846370011453385,0.8678596160545864,0.9331532144507938,0.8707749216398492,0.6237954323242598,0.7986163746931588,0.6377881139280438,0.44747012913511486,0.6953070927577089,0.48345195323917717
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.6321745800404,0.639988442009799,0.801664549148576,0.6426660493615896,0.7754020921391538,0.8813340312973101,0.776749674722768,0.5893911716185071,0.7690865708922721,0.5914941535268338,0.36404142647043325,0.6175895836528712,0.38141689383652677
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,648,518,130,100.0,0.6121349635203337,0.6160597931151379,0.7984941396590727,0.6375928910698827,0.953108402602729,0.9780504241065475,0.9565826320949975,0.6917875521026597,0.8388422980739068,0.703656401037913,0.5856510975491747,0.7759838445974145,0.6021509270761845
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1000.0,0.6184450767525874,0.6273097376394257,0.7922311177912571,0.6276301439967846,0.8484315665590767,0.9283271949862808,0.8617913809510962,0.6690173256512324,0.827425533928432,0.6846330141967507,0.5304206756479757,0.7294309817889789,0.5320695571936337
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,504,403,101,10.0,0.33073731288419694,0.34822081954893747,0.6040817724754556,0.3649147878370881,0.5939971263640573,0.7736185327125006,0.5984856341562423,0.21488848673494154,0.4811189097555825,0.23147540532440036,0.1813349055283806,0.560827933631551,0.31452797114143544
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1.0,0.5101905618775217,0.5190558404322356,0.7329057728681067,0.5371508719033967,0.7860161847609362,0.8884839873618235,0.7894037957983651,0.7433797149440071,0.8646526792601904,0.7476242557518257,0.4244461312976463,0.6661076403614137,0.4436993885478504
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6175294869730228,0.6210716363421929,0.7889681880579993,0.6224708017675226,0.9018225955962879,0.9534843394352949,0.9091323855483606,0.6617733559450159,0.8142276928312892,0.6629667357733642,0.5249134248776512,0.7316888304185504,0.5353685445592662
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,True,497,397,100,100.0,0.5344888077118684,0.5455760627305866,0.7547362029004987,0.5696267359686628,0.9655184471696407,0.9841477422887814,0.9685467786521058,0.7815675759744516,0.8907687212837089,0.7934689148174138,0.7314889467197607,0.855664596537982,0.7321619017685075
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,0.1,0.564539290136729,0.5712801354401896,0.773320519466271,0.5980246258275832,0.8970204603194238,0.9482730792402382,0.899221832811763,0.5781031093373687,0.7982702435104395,0.6372353816742165,0.3989354058630932,0.670944026865109,0.4501658871859681
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,False,384,307,77,100.0,0.4997986019658667,0.5317908696837108,0.7387796599904471,0.5457953860156007,0.7657895879753973,0.8769122146723797,0.7689750322416177,0.6569630403484144,0.8171643907661418,0.6677576415361997,0.28358150332592924,0.5667065739160637,0.321156340919683
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,504,403,101,1.0,0.3192400832933255,0.3377226730286744,0.5939415224446393,0.35276653208385594,0.5885933803140768,0.7703005354374431,0.5933629148952116,0.44375164828796054,0.6676014210493589,0.4456916573871234,0.07911275656564198,0.4582216142431197,0.2099670477595704
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,1000.0,0.7150679637267997,0.7167270287250893,0.8466705762111489,0.716851064621719,0.8773212702079849,0.9411196816884223,0.8857062552613173,0.6799482816523428,0.8358389350854027,0.6986267254047,0.45870802406545463,0.6790068655161098,0.4610503234180124
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,504,403,101,0.1,0.5390684165643996,0.5569080361269267,0.7526356817380032,0.5664604694252289,0.7705324825359876,0.879802940472911,0.7740532140647806,0.7044228463600397,0.8420466488552322,0.7090425588483267,0.3465128360406502,0.6186460775650239,0.38272296928658955
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,504,403,101,100.0,0.5849697051839765,0.59870783959679,0.7818997203493294,0.6113671726823595,0.9440170909119701,0.9733197867115431,0.9473514072042036,0.7391072773780776,0.8603131842822668,0.7401387750498936,0.6444777962511071,0.80480164615518,0.6477056896540876
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.4304950611671744,0.4521710309637512,0.6884799004069931,0.4740045732644232,0.7606472443692391,0.8739699868431158,0.763823537902556,0.4345013111017644,0.6723160355687456,0.45200885168287486,0.3342299952850476,0.6598702996142992,0.435428812313065
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,100.0,0.5922071666680602,0.6123590070394269,0.78602803752498,0.6178400757753713,0.8012371307441994,0.8967899889410239,0.8042322842648418,0.7050119939775703,0.8462087184103272,0.7160691951136484,0.3623369613540942,0.6155623532601049,0.37891701075111817
