country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,100.0,0.6349882955863674,0.6567907015101793,0.8166655791818629,0.6669426682204476,0.9669678188491424,0.9844506070700692,0.9691429977606277,0.6079951005672372,0.7924006016131093,0.6278987134368176,0.6424221204986176,0.8064693686052725,0.6503928424985869
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,432,345,87,1000.0,0.522967704010573,0.5308232090611098,0.7287887600600197,0.5311330567898209,0.7763310379207116,0.886578151008249,0.7860208178452056,0.5074300063401325,0.7147017647585833,0.5107986125490332,0.40928577046580883,0.64608390629007,0.4174244139670359
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,432,345,87,100.0,0.5974692004668911,0.59950629109448,0.7799948718857526,0.6083920001680716,0.9550205634248979,0.9787634706550917,0.9579779314888006,0.6737461989457688,0.8215156486852642,0.6748879610347703,0.6563581403084218,0.8103022462483244,0.65658973027508
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,432,345,87,100.0,0.7090298854376276,0.7240870545773743,0.8552254435486875,0.7314105592930492,0.9667330340666747,0.9841141931453427,0.9684807451501087,0.7298968727474118,0.8618116795345266,0.7427193709821216,0.7358844127594726,0.8585384344638639,0.7370882434516624
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,1000.0,0.527858104390236,0.5308242277603519,0.7325021610088305,0.5365594158826066,0.7765903988407624,0.8862682083743609,0.7854713371750996,0.5944586982505731,0.7721208606148579,0.5961706233966287,0.2661952814231613,0.5915342596720745,0.34991278036578927
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1000.0,0.6263301390909735,0.6292083069076255,0.7935189017325864,0.6296722474068902,0.8284709107265209,0.9140401260876805,0.8354693520983828,0.6952273785239096,0.8372431282606796,0.7009760558197288,0.43076362932352186,0.656852527271089,0.43145524258241674
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,False,420,336,84,1000.0,0.6077466892401624,0.6179108617497366,0.7883084469954411,0.6214302076043642,0.8751842908301901,0.93852428671656,0.8808278367568276,0.4373950444252981,0.6975581811740468,0.4865874161228443,0.4183763339548512,0.6935900413778842,0.48106714549857504
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,432,345,87,100.0,0.6581287970880944,0.6725088237500918,0.8297540774773839,0.6884918290903445,0.949181463307267,0.9767796682390756,0.9540985202852386,0.5793079235864869,0.7798550388418635,0.6081738816070443,0.5780291770969035,0.7707477476264131,0.5940520904711889
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,648,518,130,1000.0,0.6684133628870053,0.6706744340236661,0.8192430894596203,0.6711592396273435,0.8401332362290856,0.9204235876467189,0.8471795806964573,0.6373454398656542,0.8125868969910267,0.6602974651615054,0.4341845788767871,0.6638690448301034,0.44072210868363393
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,420,336,84,1000.0,0.6679417688487972,0.6732503546685971,0.8216208444732218,0.6750608120728901,0.9307658997273557,0.9673810313258817,0.9358260597691266,0.5017608235068749,0.7117342754107779,0.5065656787945051,0.6622415167395977,0.8183366100859776,0.6696748074070094
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,648,518,130,100.0,0.6388845244331544,0.642501430828821,0.8131277932760104,0.6611768081979142,0.9600144635386952,0.9813629699917694,0.9630732788710665,0.7097363827803205,0.8506213588110133,0.7235566960654947,0.6197765620265487,0.792086866558351,0.627401604174227
