country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,432,345,87,1000.0,0.6610555055401297,0.6797398423365595,0.8250019220777368,0.6806281714319601,0.8636284378723533,0.9330917875010752,0.8706602839019517,0.620321033495207,0.7917567399159534,0.6268787352023387,0.5379071579485122,0.7362244515933645,0.5420264431239503
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,432,345,87,100.0,0.7118279824268298,0.7273980870833612,0.8551619769901164,0.7313020068896444,0.9726634565399987,0.9868853949897016,0.9739427828439794,0.6796474188644019,0.8331430448219627,0.6941273331352109,0.707515921800808,0.8429545303221532,0.7105723401906419
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,432,345,87,100.0,0.6859823797109682,0.7025607377826868,0.844615602719215,0.7133755163567428,0.9730356450814857,0.9871717764583706,0.9745081162359752,0.6740350405806179,0.8280259870908396,0.6856270352977594,0.7037597650063547,0.8408649777459867,0.7070539107997587
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,432,345,87,1000.0,0.5346447464975175,0.562997171726889,0.7520974538497408,0.565650580087263,0.817449173335324,0.9088709993779313,0.8260464935102395,0.5449597155220347,0.7391722497617932,0.5463756148179107,0.4835848128303796,0.6972581707671138,0.4861689567015017
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,432,345,87,100.0,0.7152359818731625,0.7290241617764137,0.858273037326986,0.73663260660249,0.967992031856407,0.9846633351350639,0.9695618835593072,0.726716451345188,0.8595464442013526,0.738820089739189,0.7358387297318756,0.858178574557096,0.7364704658288492
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1000.0,0.6626281688657103,0.6659305382112843,0.8160550667178613,0.665945871915893,0.8438600984179994,0.9219953713643279,0.8500754648172448,0.7131095651664786,0.8477565647573965,0.7186911930892618,0.4544036437999168,0.6745335917595958,0.4549955664121011
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,432,345,87,1000.0,0.5602526197468873,0.5675415547860732,0.7533615376103068,0.5675536063505656,0.8016078406824719,0.901073771854319,0.8119339423237694,0.5781365236353995,0.7608400189439614,0.5788775344266475,0.43157096692386887,0.6579201806685728,0.4328589641309675
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,1000.0,0.6217800572550691,0.6243064697766114,0.7910604438450519,0.6257766258163305,0.8295774238125173,0.9154316720326418,0.8380151461604781,0.66353437194741,0.8156165307243818,0.6652303251908764,0.3778835527742256,0.6320304113283403,0.399462440843871
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,426,340,86,1000.0,0.6650134206483945,0.6805144843764412,0.8251444639355434,0.6808633863634753,0.927964769475049,0.9661736668401225,0.9334915544952881,0.6125258664367665,0.7857541154203679,0.6174095299000448,0.6456810841995926,0.809002427389791,0.654484927522574
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,432,345,87,100.0,0.6326759855619587,0.6605929787902187,0.8184269736296391,0.66982271116457,0.9677979540716694,0.9847890700142775,0.9698095124195856,0.7487798246950075,0.8661669178570146,0.7502451295899203,0.7364832014214483,0.8582168052488246,0.7365360848114989
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,1000.0,0.5688518578190427,0.5924403375001067,0.7697737459071691,0.5925516198879549,0.8285674523323188,0.9155140754998253,0.8381660224382999,0.5791949143903206,0.7623542006716406,0.5811839272816961,0.49445159828920193,0.7051512001933331,0.49723821513409816
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,100.0,0.6971297799134074,0.7002311809014685,0.8440427640986123,0.7124081876272258,0.9707871592388392,0.9861772633520747,0.9725455947525873,0.672054090174887,0.8490068989965043,0.7208127145436605,0.6400934938962604,0.8003180881823113,0.6405090422717898
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,384,307,77,1000.0,0.6583643332230282,0.6695579631886421,0.8201058761690779,0.672573648127051,0.937601332735723,0.9703421071463169,0.9415638049011542,0.7881896964232328,0.8905587401389227,0.7930948696378252,0.6710964752387651,0.8212222679296126,0.6744060133434564
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,100.0,0.7226061525584762,0.7255639991756424,0.8555724634389487,0.7320042401949911,0.9697136640732067,0.9855474080643568,0.9713036935423719,0.762719713559646,0.889067777600473,0.790441513167444,0.7015666048402107,0.838272622366857,0.7027009894098072
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,True,432,345,87,100.0,0.5929457362082924,0.6299565737857483,0.8034998606980361,0.6456120261417635,0.965487498754009,0.9837126296043508,0.9676905376431066,0.7131252620760185,0.8471739843293726,0.7177037597245041,0.7173815184634353,0.8469846390637064,0.7173829788098769
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,420,336,84,1000.0,0.6332403296650021,0.6364379199890791,0.7985013636285386,0.6376044277166357,0.8864394728869927,0.9455501993465903,0.8940651794843767,0.5443264588662258,0.7454529972025895,0.5557001710383239,0.6002212256466669,0.7854401267580216,0.616916192721657
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,432,345,87,100.0,0.625543545240585,0.6289698766251111,0.7966237226887166,0.6346093555504293,0.9597275477141154,0.9809462578309538,0.962255560752552,0.7104539313154381,0.8436151423271963,0.7116865083637356,0.6859740592729769,0.8283810783781982,0.6862152110150266
