country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,False,False,648,518,130,[10.0],[0.6118977766718002],0.6130709741311551,0.783864768029305,0.6144439745576362,0.7350229710898708,0.8587175819580551,0.7373958855638891,0.6127392112865955,0.7936195520827098,0.629831993447961,0.04761919330349018,0.4281822154485069,0.18334000962639155
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,True,False,648,518,130,[1.0],[0.5075151526342084],0.5139664527002623,0.7297273792424402,0.5325020480160402,0.7951391328656852,0.8940408089778416,0.7993089681177533,0.6532536947310219,0.8124043382938768,0.6600008088787118,-0.30332639260843197,0.37360396644253846,0.13957992374159742
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,True,False,False,648,518,130,[1.0],[0.6044605429640336],0.6088366040331927,0.7837534400288815,0.6142694547571055,0.8024739733996438,0.8974877817182568,0.8054843183335574,0.6686675505110786,0.8269157077543876,0.6837895877309398,-0.1382152233826237,0.35737073671950675,0.127713843463443
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.5645392901344582],0.5712801354380164,0.773320519464822,0.5980246258253422,0.8970204603194359,0.9482730792408092,0.899221832812846,0.5781031093354096,0.7982702435088433,0.637235381671668,-0.42974645919191046,0.38512726598134406,0.14832301100226494
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,False,False,False,384,307,77,[100.0],[0.5922071666680603],0.6123590070394271,0.7860280375249802,0.6178400757753717,0.8012371307441999,0.8967899889410246,0.804232284264843,0.7050119939775782,0.8462087184103311,0.716069195113655,-0.06424045471912687,0.37464972523226286,0.14036241661661006
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,False,True,False,384,307,77,[100.0],[0.5152575022634976],0.5426746473864423,0.7449980409942002,0.555022081085196,0.7725561281543908,0.880436216812349,0.7751679318748416,0.643576754779508,0.8105132362450604,0.6569317061284412,-0.1568609676002044,0.3625894833228274,0.13147113341631494
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,True,False,False,384,307,77,[100.0],[0.517610193865299],0.5444583097703873,0.7448086400682153,0.5547399103202644,0.757547862796132,0.8727400029498107,0.7616751127488356,0.7024417065565086,0.8422783247853614,0.7094327764032347,-0.2009494513673853,0.3154771645818085,0.0995258413725775
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,True,True,False,384,307,77,[100.0],[0.4997986019658665],0.5317908696837108,0.7387796599904471,0.5457953860156007,0.7657895879753971,0.87691221467238,0.7689750322416182,0.6569630403484015,0.8171643907661343,0.6677576415361876,-0.20897863225106028,0.3349670001773763,0.1122028912078304
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5737194238010357],0.5768937223553785,0.7716365055528411,0.5954228967017998,0.8217040430547123,0.9075710786468517,0.8236852627962099,0.5414085598893648,0.7673524405834339,0.5888297680693524,-0.3389008529897579,0.429596069135145,0.18455278261636826
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.5661870375397319],0.5691076770111954,0.7669177288184503,0.5881628027760502,0.8191457619641226,0.9061830510047558,0.8211677219282879,0.5539641606122814,0.7709855199749988,0.5944186720111192,-0.34531953200332155,0.43129849539268855,0.18601839212799698
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,2014-2021,False,True,False,False,376,300,76,[1000.0],[0.5273181645095588],0.5292284011023778,0.7277285642941773,0.5295888632896646,0.6456359979223502,0.8073494865107913,0.6518131933692384,0.5196798947189099,0.732645456484521,0.5367693649074121,0.01784421670422809,0.3841855769246074,0.14759855751689344
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,2014-2021,False,True,True,False,376,300,76,[1000.0],[0.5337467998603644],0.535377622788856,0.7319368833428743,0.5357316011976804,0.6508668894259244,0.8103782376941715,0.6567128881283111,0.5287125889500501,0.739226752516828,0.5464561916365757,0.010914168684375558,0.38408911072584995,0.1475244449781742
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,2009-2021,False,True,False,False,923,738,185,[10.0],[0.5215122724958572],0.5215278638642531,0.7251965924052127,0.5259100976361323,0.7325750650733783,0.8584568346898598,0.7369481370257333,0.4310123721069524,0.6678807527039468,0.4460646998323905,-0.017523657645597712,0.34458920927871717,0.11874172315133154
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,2009-2021,False,True,True,False,923,738,185,[10.0],[0.5231293771303458],0.5230500675002145,0.7257669671059009,0.5267376905420978,0.7309646587767014,0.8575769635255046,0.7354382483696247,0.42463094459092776,0.6632692396804565,0.4399260843062908,-0.017284199214269158,0.3406227875381439,0.11602388339025552
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,2009-2021,True,True,False,False,936,748,188,[1.0],[0.5351288961329037],0.5405374299041155,0.7383364713183637,0.5451407448788529,0.7244542435202328,0.853680158046515,0.7287698122423228,0.44134579437842425,0.6708912719454755,0.45009509877261794,0.08413546972244257,0.4408268365469899,0.19432829982002656
